Time,cumulative_mean_fraction_lambda_W
82.25,0.573684
82.5,0.573797
82.75,0.573652
83,0.57367
83.25,0.573695
83.5,0.573851
83.75,0.573856
84,0.573799
84.25,0.573833
84.5,0.573726
84.75,0.573613
85,0.573444
85.25,0.573586
85.5,0.573518
85.75,0.573518
86,0.573556
86.25,0.573727
86.5,0.573563
86.75,0.573405
87,0.573196
87.25,0.573238
87.5,0.573139
87.75,0.572975
88,0.572961
88.25,0.573032
88.5,0.572901
88.75,0.572735
89,0.572777
89.25,0.572856
89.5,0.572811
89.75,0.572599
90,0.572588
90.25,0.57256
90.5,0.572477
90.75,0.572395
91,0.572263
91.25,0.571921
91.5,0.571871
91.75,0.571777
92,0.571705
92.25,0.571849
92.5,0.571694
92.75,0.571711
93,0.571576
93.25,0.571465
93.5,0.571292
93.75,0.571227
94,0.571331
94.25,0.571114
94.5,0.570884
94.75,0.570598
95,0.570211
95.25,0.569858
95.5,0.569759
95.75,0.569491
96,0.569466
96.25,0.56928
96.5,0.568967
96.75,0.568759
97,0.568474
97.25,0.568318
97.5,0.568051
97.75,0.567882
98,0.567576
98.25,0.567403
98.5,0.567106
98.75,0.566857
99,0.566618
99.25,0.566331
99.5,0.566142
99.75,0.565853
100,0.565634
100.25,0.565335
100.5,0.56509
100.75,0.564737
101,0.564444
101.25,0.56425
101.5,0.564049
101.75,0.563765
102,0.563536
102.25,0.563402
102.5,0.563059
102.75,0.56295
103,0.562709
103.25,0.562475
103.5,0.562201
103.75,0.562028
104,0.561741
104.25,0.561477
104.5,0.561245
104.75,0.561121
105,0.560887
105.25,0.560698
105.5,0.560486
105.75,0.560272
106,0.559958
106.25,0.559669
106.5,0.559406
106.75,0.559218
107,0.558999
107.25,0.558767
107.5,0.558462
107.75,0.558219
108,0.558054
108.25,0.557853
108.5,0.557658
108.75,0.557387
109,0.55716
109.25,0.556851
109.5,0.556519
109.75,0.556335
110,0.556051
110.25,0.555795
110.5,0.555615
110.75,0.555357
111,0.555107
111.25,0.554818
111.5,0.554579
111.75,0.554393
112,0.554199
112.25,0.554036
112.5,0.553667
112.75,0.553346
113,0.553087
113.25,0.55283
113.5,0.552536
113.75,0.552173
114,0.551976
114.25,0.55179
114.5,0.551559
114.75,0.551251
115,0.550935
115.25,0.550762
115.5,0.550551
115.75,0.550294
116,0.550029
116.25,0.54984
116.5,0.549616
116.75,0.549334
117,0.549202
117.25,0.549003
117.5,0.548861
117.75,0.548726
118,0.548557
118.25,0.548285
118.5,0.548064
118.75,0.547819
119,0.547618
119.25,0.547411
119.5,0.547143
119.75,0.546885
120,0.546666
120.25,0.546502
120.5,0.546339
120.75,0.54615
121,0.545979
121.25,0.545777
121.5,0.545563
121.75,0.545344
122,0.545142
122.25,0.544918
122.5,0.544699
122.75,0.544532
123,0.544303
123.25,0.544082
123.5,0.543897
123.75,0.543673
124,0.5435
124.25,0.543314
124.5,0.543148
124.75,0.542999
125,0.542828
125.25,0.54266
125.5,0.542517
125.75,0.542395
126,0.542184
126.25,0.542018
126.5,0.541845
126.75,0.541695
127,0.541545
127.25,0.54142
127.5,0.54125
127.75,0.54111
128,0.540985
128.25,0.540827
128.5,0.540751
128.75,0.540582
129,0.540448
129.25,0.540306
129.5,0.540148
129.75,0.539985
130,0.539882
130.25,0.539755
130.5,0.539635
130.75,0.539491
131,0.539369
131.25,0.539242
131.5,0.539117
131.75,0.539013
132,0.538879
132.25,0.538746
132.5,0.538613
132.75,0.538512
133,0.538408
133.25,0.5383
133.5,0.538225
133.75,0.538154
134,0.53803
134.25,0.537929
134.5,0.537814
134.75,0.537733
135,0.537642
135.25,0.53755
135.5,0.537477
135.75,0.537389
136,0.53727
136.25,0.537169
136.5,0.537074
136.75,0.536981
137,0.536852
137.25,0.536776
137.5,0.536712
137.75,0.536629
138,0.536521
138.25,0.536442
138.5,0.536371
138.75,0.536284
139,0.536201
139.25,0.536096
139.5,0.536023
139.75,0.535979
140,0.535917
140.25,0.535853
140.5,0.535788
140.75,0.535685
141,0.535618
141.25,0.535541
141.5,0.535505
141.75,0.535436
142,0.535357
142.25,0.53528
142.5,0.535206
142.75,0.535133
143,0.535076
143.25,0.535025
143.5,0.534962
143.75,0.534912
144,0.534856
144.25,0.534816
144.5,0.534778
144.75,0.53473
145,0.53468
145.25,0.534631
145.5,0.534559
145.75,0.534524
146,0.534452
146.25,0.534395
146.5,0.534319
146.75,0.534269
147,0.53422
147.25,0.534159
147.5,0.534119
147.75,0.534101
148,0.534049
148.25,0.534008
148.5,0.533969
148.75,0.533928
149,0.533902
149.25,0.533869
149.5,0.533831
149.75,0.533792
150,0.533737
150.25,0.53369
150.5,0.533666
150.75,0.533623
151,0.53359
151.25,0.533563
151.5,0.533516
151.75,0.533464
152,0.533432
152.25,0.533391
152.5,0.533354
152.75,0.533308
153,0.533264
153.25,0.533249
153.5,0.533229
153.75,0.533202
154,0.533182
154.25,0.533171
154.5,0.533137
154.75,0.533105
155,0.533088
155.25,0.53307
155.5,0.533057
155.75,0.533037
156,0.533012
156.25,0.532991
156.5,0.532991
156.75,0.532968
157,0.532932
157.25,0.532911
157.5,0.532897
157.75,0.532873
158,0.532856
158.25,0.532831
158.5,0.532812
158.75,0.532801
159,0.53278
159.25,0.532772
159.5,0.532744
159.75,0.532747
160,0.532747
160.25,0.532738
160.5,0.532718
160.75,0.532698
161,0.532682
161.25,0.532679
161.5,0.532657
161.75,0.532618
162,0.5326
162.25,0.532581
162.5,0.532568
162.75,0.532548
163,0.532532
163.25,0.532524
163.5,0.532509
163.75,0.532501
164,0.53248
164.25,0.532475
164.5,0.532466
164.75,0.532447
165,0.53243
165.25,0.53242
165.5,0.532405
165.75,0.532398
166,0.532379
166.25,0.532379
166.5,0.532368
166.75,0.532356
167,0.532354
167.25,0.532339
167.5,0.532314
167.75,0.532316
168,0.532308
168.25,0.532302
168.5,0.532298
168.75,0.532289
169,0.532281
169.25,0.532272
169.5,0.532269
169.75,0.532265
170,0.532266
170.25,0.532261
170.5,0.53226
170.75,0.532249
171,0.532247
171.25,0.532243
171.5,0.532245
171.75,0.532237
172,0.532238
172.25,0.532222
172.5,0.532211
172.75,0.532209
173,0.532204
173.25,0.532195
173.5,0.532191
173.75,0.532181
174,0.53218
174.25,0.532174
174.5,0.53217
174.75,0.532167
175,0.532158
175.25,0.532149
175.5,0.532147
175.75,0.532144
176,0.532131
176.25,0.532121
176.5,0.532119
176.75,0.532111
177,0.532104
177.25,0.532101
177.5,0.532098
177.75,0.532089
178,0.532084
178.25,0.532081
178.5,0.532076
178.75,0.532073
179,0.532075
179.25,0.532074
179.5,0.532066
179.75,0.532067
180,0.532068
180.25,0.532065
180.5,0.532057
180.75,0.532054
181,0.532054
181.25,0.532049
181.5,0.532044
181.75,0.532037
182,0.532037
182.25,0.532032
182.5,0.532026
182.75,0.532024
183,0.532022
183.25,0.532022
183.5,0.532017
183.75,0.532016
184,0.532016
184.25,0.532009
184.5,0.532001
184.75,0.531988
185,0.53198
185.25,0.531985
185.5,0.531984
185.75,0.531985
186,0.531978
186.25,0.531971
186.5,0.531965
186.75,0.531963
187,0.531959
187.25,0.531953
187.5,0.531949
187.75,0.531943
188,0.531946
188.25,0.53195
188.5,0.531948
188.75,0.531943
189,0.531941
189.25,0.531936
189.5,0.531932
189.75,0.531926
190,0.531922
190.25,0.531922
190.5,0.531919
190.75,0.531915
191,0.531913
191.25,0.531909
191.5,0.531907
191.75,0.531904
192,0.5319
192.25,0.531894
192.5,0.531893
192.75,0.531891
193,0.531886
193.25,0.531884
193.5,0.531884
193.75,0.531883
194,0.531881
194.25,0.531881
194.5,0.531873
194.75,0.531874
195,0.531871
195.25,0.531868
195.5,0.531866
195.75,0.531864
196,0.531863
196.25,0.531863
196.5,0.531862
196.75,0.531859
197,0.531857
197.25,0.531856
197.5,0.531854
197.75,0.531853
198,0.531853
198.25,0.531852
198.5,0.531852
198.75,0.531851
199,0.53185
199.25,0.531846
199.5,0.531846
199.75,0.531845
200,0.531842
200.25,0.531842
200.5,0.531842
200.75,0.531841
201,0.53184
201.25,0.531839
201.5,0.531839
201.75,0.531839
202,0.531832
202.25,0.531827
202.5,0.531827
202.75,0.531825
203,0.531822
203.25,0.531823
203.5,0.53182
203.75,0.531817
204,0.531817
204.25,0.531817
204.5,0.531817
204.75,0.531815
205,0.531814
205.25,0.531813
205.5,0.531808
205.75,0.531806
206,0.531806
206.25,0.531806
206.5,0.531807
206.75,0.531805
207,0.531804
207.25,0.531803
207.5,0.531803
207.75,0.531801
208,0.531801
208.25,0.531801
208.5,0.531799
208.75,0.531796
209,0.531793
209.25,0.531793
209.5,0.531791
209.75,0.531791
210,0.53179
210.25,0.53179
210.5,0.53179
210.75,0.53179
211,0.531787
211.25,0.531788
211.5,0.531789
211.75,0.531788
212,0.531788
212.25,0.531785
212.5,0.531784
212.75,0.531783
213,0.531785
213.25,0.531783
213.5,0.531782
213.75,0.53178
214,0.53178
214.25,0.53178
214.5,0.531779
214.75,0.531777
215,0.531776
215.25,0.531775
215.5,0.531772
215.75,0.531772
216,0.531771
216.25,0.531771
216.5,0.531768
216.75,0.531768
217,0.531768
217.25,0.531768
217.5,0.531768
217.75,0.531766
218,0.531766
218.25,0.531766
218.5,0.531767
218.75,0.531767
219,0.531767
219.25,0.531767
219.5,0.531767
219.75,0.531767
220,0.531767
220.25,0.531766
220.5,0.531766
220.75,0.531766
221,0.531766
221.25,0.531766
221.5,0.531766
