Time,cumulative_mean_fraction_lambda_H
82.25,0.27602
82.5,0.276145
82.75,0.276232
83,0.276134
83.25,0.276014
83.5,0.275897
83.75,0.275832
84,0.276005
84.25,0.276119
84.5,0.276234
84.75,0.276438
85,0.276462
85.25,0.276399
85.5,0.276401
85.75,0.276442
86,0.276448
86.25,0.276341
86.5,0.276485
86.75,0.2766
87,0.27677
87.25,0.276704
87.5,0.276747
87.75,0.276823
88,0.276808
88.25,0.276864
88.5,0.277007
88.75,0.277095
89,0.277106
89.25,0.27704
89.5,0.277104
89.75,0.277183
90,0.277033
90.25,0.27682
90.5,0.276702
90.75,0.27673
91,0.276669
91.25,0.276947
91.5,0.277084
91.75,0.277144
92,0.277147
92.25,0.276972
92.5,0.277051
92.75,0.277054
93,0.277287
93.25,0.277305
93.5,0.277363
93.75,0.277237
94,0.277123
94.25,0.277258
94.5,0.277353
94.75,0.277567
95,0.277846
95.25,0.278179
95.5,0.278223
95.75,0.278428
96,0.278392
96.25,0.278588
96.5,0.278793
96.75,0.278896
97,0.279007
97.25,0.279026
97.5,0.279095
97.75,0.279131
98,0.279222
98.25,0.279291
98.5,0.279409
98.75,0.279535
99,0.279587
99.25,0.27977
99.5,0.279859
99.75,0.280025
100,0.280128
100.25,0.280312
100.5,0.280514
100.75,0.280783
101,0.28093
101.25,0.281044
101.5,0.281176
101.75,0.281324
102,0.281447
102.25,0.281566
102.5,0.281724
102.75,0.281708
103,0.281754
103.25,0.281801
103.5,0.281906
103.75,0.282037
104,0.282159
104.25,0.282268
104.5,0.282469
104.75,0.282434
105,0.282543
105.25,0.282674
105.5,0.282849
105.75,0.282999
106,0.283099
106.25,0.283326
106.5,0.283457
106.75,0.283469
107,0.283532
107.25,0.283641
107.5,0.283806
107.75,0.283908
108,0.283982
108.25,0.284095
108.5,0.284144
108.75,0.284246
109,0.284362
109.25,0.284504
109.5,0.284607
109.75,0.284656
110,0.284751
110.25,0.28486
110.5,0.28489
110.75,0.284949
111,0.285049
111.25,0.285185
111.5,0.285269
111.75,0.285325
112,0.285357
112.25,0.285362
112.5,0.285526
112.75,0.285701
113,0.285809
113.25,0.285971
113.5,0.286127
113.75,0.286316
114,0.286387
114.25,0.286471
