Time,susceptible_lambda_C
86.25,1553.87
86.5,1564.04
86.75,1590.8
87,1584.7
87.25,1604.69
87.5,1611.81
87.75,1625.07
88,1647.35
88.25,1661.16
88.5,1683.38
88.75,1721.25
89,1735.64
89.25,1754.97
89.5,1776.72
89.75,1799.09
90,1846.55
90.25,1876.63
90.5,1884.22
90.75,1904.73
91,1920.74
91.25,1934.43
91.5,1927.24
91.75,1941.28
92,1954.01
92.25,1967.89
92.5,1975.54
92.75,2003.32
93,1999.2
93.25,2013.57
93.5,2021.14
93.75,2024.47
94,2026.74
94.25,2037.43
94.5,2030.1
94.75,2051.17
95,2068.93
95.25,2075.11
95.5,2097.27
95.75,2120.63
96,2154.38
96.25,2162.15
96.5,2188.76
96.75,2187.77
97,2210.14
97.25,2236.46
97.5,2251.66
97.75,2254.77
98,2255.83
98.25,2260.31
98.5,2267.91
98.75,2266.46
99,2280.19
99.25,2253.82
99.5,2246.59
99.75,2229.57
100,2222.2
100.25,2248.13
100.5,2256.1
100.75,2264.95
101,2266.11
101.25,2273.62
101.5,2277.28
101.75,2290.55
102,2295.89
102.25,2289.71
102.5,2284.88
102.75,2282.4
103,2280.37
103.25,2266.39
103.5,2267.67
103.75,2262.54
104,2259.46
104.25,2265.53
104.5,2261.87
104.75,2238.02
105,2219.26
105.25,2202.16
105.5,2195.09
105.75,2199.32
106,2189.94
106.25,2181.88
106.5,2185.19
106.75,2185.32
107,2176.33
107.25,2187.79
107.5,2180.25
107.75,2168.88
108,2180.89
108.25,2159.86
108.5,2166.43
108.75,2170.56
109,2155.4
109.25,2144.26
109.5,2132.1
109.75,2120.1
110,2101.83
110.25,2083.21
110.5,2071.92
110.75,2067.24
111,2036.2
111.25,2024.27
111.5,2006.51
111.75,1992.77
112,1960.12
112.25,1940.19
112.5,1922.93
112.75,1903.13
113,1902.32
113.25,1886.35
113.5,1865.33
113.75,1830.11
114,1825.24
114.25,1800.67
114.5,1779.86
114.75,1769.79
115,1752.43
115.25,1724.66
115.5,1706.09
115.75,1690.96
116,1686.79
116.25,1669.93
116.5,1659.96
116.75,1647.59
117,1655.35
117.25,1632.63
117.5,1613.04
117.75,1601.54
118,1584.59
118.25,1565.8
118.5,1549.08
118.75,1536.27
119,1521.41
119.25,1503.38
119.5,1489.85
119.75,1488.06
120,1470.18
120.25,1459.12
120.5,1437.95
120.75,1407.61
121,1394.22
121.25,1375.84
121.5,1349.06
121.75,1343.2
122,1330.39
122.25,1315.83
122.5,1292.63
122.75,1289.04
123,1273.22
123.25,1268.79
123.5,1248.94
123.75,1242.54
124,1221.89
124.25,1210.74
124.5,1185.28
124.75,1172.14
125,1135.39
125.25,1114.76
125.5,1092.13
125.75,1086.26
126,1079.46
126.25,1063.4
126.5,1047.27
126.75,1035.84
127,1015.12
127.25,999.788
127.5,980.352
127.75,962.317
128,941.834
128.25,929.131
128.5,921.254
128.75,907.399
129,895.414
129.25,885.781
129.5,869.201
129.75,849.149
130,837.42
130.25,819.953
130.5,805.014
130.75,794.753
131,786.069
131.25,767.363
131.5,755.451
131.75,752.734
132,735.843
132.25,716.147
132.5,705.269
132.75,694.093
133,687.403
133.25,679.825
133.5,669.72
133.75,661.053
134,654.793
134.25,647.497
134.5,640.205
134.75,631.633
135,615.634
135.25,605.479
135.5,597.296
135.75,588.915
136,572.873
136.25,560.97
