Time,total_fraction_lambda_W
0,-nan
0.25,-nan
0.5,-nan
0.75,-nan
1,-nan
90,0.135708
90.25,0.14486
90.5,0.136044
90.75,0.137579
91,0.152774
91.25,0.120172
91.5,0.137159
91.75,0.132158
92,0.141131
92.25,0.144812
92.5,0.142208
92.75,0.139252
93,0.143788
93.25,0.135639
93.5,0.133492
93.75,0.141114
94,0.155492
94.25,0.135718
94.5,0.150539
94.75,0.138413
95,0.125569
95.25,0.126483
95.5,0.141676
95.75,0.130903
96,0.146992
96.25,0.134761
96.5,0.13025
96.75,0.140259
97,0.131446
97.25,0.138359
97.5,0.148428
97.75,0.147372
98,0.144059
98.25,0.14676
98.5,0.140014
98.75,0.142855
99,0.142426
99.25,0.12927
99.5,0.133496
99.75,0.147598
100,0.153816
100.25,0.143285
100.5,0.146616
100.75,0.13258
101,0.133198
101.25,0.141882
101.5,0.139776
101.75,0.142674
102,0.144107
102.25,0.161451
102.5,0.140244
102.75,0.155379
103,0.148881
103.25,0.147861
103.5,0.150543
103.75,0.150176
104,0.148116
104.25,0.138118
104.5,0.139472
104.75,0.153032
105,0.142921
105.25,0.152272
105.5,0.150883
105.75,0.149636
106,0.152886
106.25,0.139962
106.5,0.150844
106.75,0.159336
107,0.149834
107.25,0.151899
107.5,0.142923
107.75,0.141635
108,0.149907
108.25,0.146463
108.5,0.143418
108.75,0.14382
109,0.156589
109.25,0.155531
109.5,0.146867
109.75,0.156806
110,0.137431
110.25,0.142412
110.5,0.161464
110.75,0.147377
111,0.14058
111.25,0.128663
111.5,0.148426
111.75,0.151052
112,0.161179
112.25,0.166737
112.5,0.140914
112.75,0.133622
113,0.15038
113.25,0.150601
113.5,0.13179
113.75,0.142957
114,0.156121
114.25,0.142651
114.5,0.143608
114.75,0.146885
115,0.132461
115.25,0.157441
115.5,0.153847
115.75,0.141931
116,0.126768
116.25,0.138103
116.5,0.130666
116.75,0.142683
117,0.145776
117.25,0.141698
117.5,0.154989
117.75,0.150753
118,0.146638
118.25,0.132234
118.5,0.149185
118.75,0.128045
119,0.147389
119.25,0.146071
119.5,0.144708
119.75,0.12284
120,0.129072
120.25,0.136982
120.5,0.134042
120.75,0.132192
121,0.137971
121.25,0.119235
121.5,0.129683
121.75,0.12503
122,0.128193
122.25,0.130403
122.5,0.129446
122.75,0.147086
123,0.111771
123.25,0.116169
123.5,0.124325
123.75,0.12218
124,0.120989
124.25,0.11662
124.5,0.135643
124.75,0.136811
125,0.120691
125.25,0.123042
125.5,0.127654
125.75,0.125733
126,0.0932255
126.25,0.120611
126.5,0.113136
126.75,0.113786
127,0.116623
127.25,0.134094
127.5,0.128757
127.75,0.114435
128,0.151213
128.25,0.118342
128.5,0.126975
128.75,0.116733
129,0.135315
129.25,0.104009
129.5,0.100832
129.75,0.117162
130,0.146795
130.25,0.111608
130.5,0.137644
130.75,0.118933
131,0.108961
131.25,0.106081
131.5,0.136805
131.75,0.101825
132,0.111982
132.25,0.120965
132.5,0.101637
132.75,0.107168
133,0.110758
133.25,0.109601
133.5,0.12039
133.75,0.119671
134,0.112494
134.25,0.128437
134.5,0.115795
134.75,0.110549
135,0.140082
135.25,0.104816
135.5,0.124384
135.75,0.105603
136,0.107884
136.25,0.100991
136.5,0.0908474
136.75,0.098752
137,0.0838328
137.25,0.134035
137.5,0.111414
137.75,0.127815
138,0.110875
138.25,0.120297
138.5,0.109677
138.75,0.0817317
139,0.124194
139.25,0.0849812
139.5,0.120722
139.75,0.0903363
140,0.109753
140.25,0.129323
140.5,0.116226
140.75,0.0864061
141,0.11605
141.25,0.0943446
141.5,0.15587
141.75,0.0968396
142,0.12052
142.25,0.0849977
142.5,0.107535
142.75,0.0923783
143,0.107239
143.25,0.0977456
143.5,0.158381
143.75,0.100404
144,0.104992
144.25,0.148732
144.5,0.122462
144.75,0.138075
145,0.108015
145.25,0.099433
145.5,0.0928105
145.75,0.13555
146,0.0814237
146.25,0.0753141
146.5,0.0789188
146.75,0.179336
147,0.107316
147.25,0.0432181
147.5,0.105401
147.75,0.071776
148,0.0854549
148.25,0.126586
148.5,0.078521
148.75,0.111894
149,0.116088
149.25,0.0795813
149.5,0.0944336
149.75,0.135467
150,0.0618574
150.25,0.0733602
150.5,0.123304
150.75,0.100027
151,0.115951
151.25,0.174402
151.5,0.0699376
151.75,0.0660788
152,0.0865858
152.25,0.0610616
152.5,0.0553423
152.75,0.0855817
153,0.0649613
153.25,0.158958
153.5,0.103869
153.75,0.0822548
154,0.0928186
154.25,0.132055
154.5,0.0969416
154.75,0.123376
155,0.111205
155.25,0.0755314
155.5,0.11629
155.75,0.129978
156,0.0744319
156.25,0.16618
156.5,0.085532
156.75,0.0999443
157,0.0799457
157.25,0.076632
157.5,0.101252
157.75,0.0628216
158,0.0885796
158.25,0.0642656
158.5,0.0781989
158.75,0.13892
159,0.0698185
159.25,0.127261
159.5,0.103837
159.75,0.250326
160,0.173358
160.25,0.144223
160.5,0.0827057
160.75,0.0472616
161,0.0924443
161.25,0.128946
161.5,0.0551209
161.75,0.0357418
162,0.0601514
162.25,0.05859
162.5,0.0519761
162.75,0.0921878
163,0.141741
163.25,0.176934
163.5,0.105287
163.75,0.105619
164,0.0769538
164.25,0.183378
164.5,0.103563
164.75,0.0407528
165,0.0638492
165.25,0.0399591
165.5,0.0305053
165.75,0.0855665
166,0.0366409
166.25,0.116256
166.5,0.0877171
166.75,0.117168
167,0.116876
167.25,0.0173475
167.5,0.124321
167.75,0.11442
168,0.143304
