Time,cumulative_mean_fraction_lambda_C
82,0.150305
82.25,0.150295
82.5,0.150059
82.75,0.150116
83,0.150196
83.25,0.150291
83.5,0.150253
83.75,0.150312
84,0.150196
84.25,0.150048
84.5,0.150041
84.75,0.14995
85,0.150094
85.25,0.150015
85.5,0.150081
85.75,0.15004
86,0.149996
86.25,0.149932
86.5,0.149952
86.75,0.149995
87,0.150034
87.25,0.150057
87.5,0.150114
87.75,0.150202
88,0.150231
88.25,0.150104
88.5,0.150092
88.75,0.15017
89,0.150117
89.25,0.150104
89.5,0.150085
89.75,0.150217
90,0.150379
90.25,0.15062
90.5,0.150822
90.75,0.150875
91,0.151068
91.25,0.151132
91.5,0.151045
91.75,0.151079
92,0.151148
92.25,0.151179
92.5,0.151254
92.75,0.151236
93,0.151136
93.25,0.151229
93.5,0.151344
93.75,0.151536
94,0.151546
94.25,0.151628
94.5,0.151763
94.75,0.151835
95,0.151944
95.25,0.151963
95.5,0.152019
95.75,0.152081
96,0.152142
96.25,0.152132
96.5,0.152239
96.75,0.152345
97,0.152519
97.25,0.152656
97.5,0.152854
97.75,0.152987
98,0.153202
98.25,0.153306
98.5,0.153486
98.75,0.153608
99,0.153795
99.25,0.153899
99.5,0.153998
99.75,0.154122
100,0.154237
100.25,0.154354
100.5,0.154396
100.75,0.15448
101,0.154627
101.25,0.154706
101.5,0.154775
101.75,0.154911
102,0.155018
102.25,0.155032
102.5,0.155217
102.75,0.155343
103,0.155537
103.25,0.155724
103.5,0.155893
103.75,0.155935
104,0.1561
104.25,0.156256
104.5,0.156286
104.75,0.156445
105,0.15657
105.25,0.156628
105.5,0.156665
105.75,0.156729
106,0.156942
106.25,0.157006
106.5,0.157137
106.75,0.157313
107,0.157469
107.25,0.157592
107.5,0.157731
107.75,0.157873
108,0.157964
108.25,0.158052
108.5,0.158198
108.75,0.158367
109,0.158478
109.25,0.158645
109.5,0.158874
109.75,0.159009
110,0.159199
110.25,0.159344
110.5,0.159495
110.75,0.159694
111,0.159844
111.25,0.159997
111.5,0.160151
111.75,0.160283
112,0.160444
112.25,0.160601
112.5,0.160807
112.75,0.160953
113,0.161104
113.25,0.1612
113.5,0.161338
113.75,0.161511
114,0.161638
114.25,0.161739
114.5,0.161841
114.75,0.162028
115,0.16215
115.25,0.162274
115.5,0.162373
115.75,0.162491
116,0.162588
116.25,0.16271
116.5,0.162783
116.75,0.16298
117,0.163039
117.25,0.163127
117.5,0.163215
117.75,0.163262
118,0.163421
118.25,0.163542
118.5,0.163682
118.75,0.163808
119,0.163925
119.25,0.164086
119.5,0.164225
119.75,0.164318
120,0.164441
120.25,0.164545
120.5,0.164602
120.75,0.164738
121,0.164851
121.25,0.164965
121.5,0.165026
121.75,0.165163
122,0.165301
122.25,0.165441
122.5,0.165574
122.75,0.165671
123,0.165796
123.25,0.165896
123.5,0.165996
123.75,0.166148
124,0.166281
124.25,0.166371
124.5,0.166489
124.75,0.166581
125,0.166716
125.25,0.166836
125.5,0.166949
125.75,0.166989
126,0.167098
126.25,0.167198
126.5,0.167298
126.75,0.167388
127,0.167484
127.25,0.167567
127.5,0.167675
127.75,0.167729
128,0.16781
128.25,0.167925
128.5,0.167995
128.75,0.168108
129,0.168208
129.25,0.168292
129.5,0.168364
129.75,0.168439
130,0.168521
130.25,0.168579
130.5,0.168665
130.75,0.168758
131,0.168852
131.25,0.168915
131.5,0.169003
131.75,0.169056
132,0.169149
132.25,0.16924
132.5,0.169307
132.75,0.169353
133,0.169408
133.25,0.169461
133.5,0.169516
133.75,0.169569
134,0.169654
134.25,0.169721
134.5,0.169787
134.75,0.16983
135,0.169895
135.25,0.169933
135.5,0.169974
135.75,0.170024
136,0.170088
136.25,0.170148
136.5,0.170224
136.75,0.170264
137,0.17033
137.25,0.170377
137.5,0.170437
137.75,0.170482
138,0.170545
138.25,0.170585
138.5,0.170625
138.75,0.170654
139,0.170699
139.25,0.170763
139.5,0.170806
139.75,0.170851
140,0.1709
140.25,0.170973
140.5,0.171028
140.75,0.171073
141,0.171116
141.25,0.171148
141.5,0.17118
141.75,0.171226
142,0.171285
142.25,0.171323
142.5,0.171361
142.75,0.171392
143,0.171408
143.25,0.171434
143.5,0.171461
143.75,0.171493
144,0.171523
144.25,0.171558
144.5,0.171589
144.75,0.171628
145,0.171646
145.25,0.171674
145.5,0.171716
145.75,0.17174
146,0.171768
146.25,0.171794
146.5,0.171816
146.75,0.171864
147,0.171878
147.25,0.171905
147.5,0.171922
147.75,0.171934
148,0.171958
148.25,0.171991
148.5,0.172009
148.75,0.172049
149,0.172069
149.25,0.172086
149.5,0.17211
149.75,0.17214
150,0.172175
150.25,0.172198
150.5,0.172215
150.75,0.172244
151,0.17227
151.25,0.172309
151.5,0.172335
151.75,0.17235
152,0.172364
152.25,0.172389
152.5,0.172417
152.75,0.17244
153,0.172457
153.25,0.172488
153.5,0.1725
153.75,0.172515
154,0.172523
154.25,0.172522
154.5,0.172541
154.75,0.172566
155,0.172587
155.25,0.172586
155.5,0.1726
155.75,0.17262
156,0.172626
156.25,0.172641
156.5,0.172636
156.75,0.172648
157,0.172671
157.25,0.17268
157.5,0.172702
157.75,0.172729
158,0.172727
158.25,0.172739
158.5,0.172748
158.75,0.172764
159,0.172778
159.25,0.172792
159.5,0.172807
159.75,0.172808
160,0.172817
160.25,0.172825
160.5,0.172838
160.75,0.172854
161,0.172852
161.25,0.172862
161.5,0.17288
161.75,0.172903
162,0.172919
162.25,0.17293
162.5,0.172937
162.75,0.17295
163,0.172964
163.25,0.172966
163.5,0.172969
163.75,0.172979
164,0.172998
164.25,0.173008
164.5,0.173013
164.75,0.173019
165,0.173026
165.25,0.17303
165.5,0.173048
165.75,0.173061
166,0.17307
166.25,0.173072
166.5,0.173078
166.75,0.173092
167,0.173092
167.25,0.173097
167.5,0.173125
167.75,0.173129
168,0.173137
168.25,0.173133
168.5,0.173138
168.75,0.173147
169,0.173158
169.25,0.173159
169.5,0.173163
169.75,0.173163
170,0.173167
170.25,0.173167
170.5,0.173169
170.75,0.173177
171,0.173189
171.25,0.17319
171.5,0.173193
171.75,0.173195
172,0.1732
172.25,0.173202
172.5,0.173209
172.75,0.173212
173,0.173214
173.25,0.17322
173.5,0.173226
173.75,0.173227
174,0.173229
174.25,0.173238
174.5,0.173239
174.75,0.173241
175,0.173249
175.25,0.173254
175.5,0.173254
175.75,0.173259
176,0.173271
176.25,0.173279
176.5,0.17328
176.75,0.173281
177,0.173283
177.25,0.173288
177.5,0.173292
177.75,0.173295
178,0.173297
178.25,0.1733
178.5,0.173299
178.75,0.173305
179,0.173304
179.25,0.1733
179.5,0.173303
179.75,0.173303
180,0.173302
180.25,0.173304
180.5,0.173308
180.75,0.173311
181,0.173316
181.25,0.173317
181.5,0.173319
181.75,0.173325
182,0.17332
182.25,0.173322
182.5,0.173323
182.75,0.173322
183,0.173329
183.25,0.17333
183.5,0.173325
183.75,0.173325
184,0.173329
184.25,0.173332
184.5,0.173334
184.75,0.173336
185,0.173341
185.25,0.173336
185.5,0.173335
185.75,0.173339
186,0.173343
186.25,0.173348
186.5,0.173355
186.75,0.173353
187,0.173354
187.25,0.173357
187.5,0.17336
187.75,0.173364
188,0.173365
188.25,0.173364
188.5,0.173366
188.75,0.173373
189,0.173376
189.25,0.173378
189.5,0.173383
189.75,0.173383
190,0.173379
190.25,0.173383
190.5,0.173382
190.75,0.173382
191,0.173383
191.25,0.173385
191.5,0.173386
191.75,0.173389
192,0.173393
192.25,0.173398
192.5,0.173398
192.75,0.173399
193,0.173401
193.25,0.173402
193.5,0.173403
193.75,0.173404
194,0.173404
194.25,0.173405
194.5,0.173411
194.75,0.173414
195,0.173413
195.25,0.173414
195.5,0.173416
195.75,0.17342
196,0.17342
196.25,0.17342
196.5,0.173419
196.75,0.173423
197,0.173425
197.25,0.173426
197.5,0.173426
197.75,0.173427
198,0.173427
198.25,0.173428
198.5,0.173427
198.75,0.173429
199,0.173427
199.25,0.173428
199.5,0.173429
199.75,0.173429
200,0.173428
200.25,0.173427
200.5,0.173427
200.75,0.173426
201,0.173428
201.25,0.173427
201.5,0.173426
201.75,0.173425
202,0.173423
202.25,0.173425
202.5,0.173426
202.75,0.173424
203,0.173426
203.25,0.173425
203.5,0.173427
203.75,0.173428
204,0.173432
204.25,0.173431
204.5,0.173435
204.75,0.173436
205,0.173437
205.25,0.173436
205.5,0.173439
205.75,0.173442
206,0.173442
206.25,0.173442
206.5,0.173441
206.75,0.173443
207,0.173443
207.25,0.173444
207.5,0.173444
207.75,0.173444
208,0.173444
208.25,0.173443
208.5,0.173445
208.75,0.173448
209,0.173447
209.25,0.173448
209.5,0.173448
209.75,0.173449
210,0.173447
210.25,0.173448
210.5,0.173449
210.75,0.173448
211,0.173449
211.25,0.173448
211.5,0.173448
211.75,0.173448
212,0.173449
212.25,0.173451
212.5,0.173453
212.75,0.173452
213,0.173452
213.25,0.173451
213.5,0.173452
213.75,0.173452
214,0.173452
214.25,0.173452
214.5,0.173453
214.75,0.173452
215,0.173452
215.25,0.173453
215.5,0.173453
215.75,0.173453
216,0.173454
216.25,0.173455
216.5,0.173456
216.75,0.173456
217,0.173456
217.25,0.173456
217.5,0.173456
217.75,0.173455
218,0.173455
218.25,0.173456
218.5,0.173456
218.75,0.173456
219,0.173456
219.25,0.173456
219.5,0.173456
219.75,0.173456
220,0.173456
220.25,0.173456
220.5,0.173456
220.75,0.173455
221,0.173455
221.25,0.173455
221.5,0.173455
221.75,0.173455
222,0.173457
222.25,0.173456
222.5,0.173456
222.75,0.173456
223,0.173456
223.25,0.173456
223.5,0.173456
223.75,0.173456
224,0.173456
224.25,0.173456
224.5,0.173456
224.75,0.173456
225,0.173456
225.25,0.173456
225.5,0.173456
225.75,0.173455
226,0.173455
226.25,0.173455
226.5,0.173455
226.75,0.173455
227,0.173455
227.25,0.173455
227.5,0.173456
227.75,0.173456
228,0.173457
228.25,0.17346
228.5,0.173459
228.75,0.173459
229,0.173459
229.25,0.173459
229.5,0.173459
229.75,0.17346
230,0.173462
230.25,0.173463
230.5,0.173463
230.75,0.173463
231,0.173463
231.25,0.173463
231.5,0.173463
231.75,0.173463
232,0.173463
232.25,0.173463
232.5,0.173463
232.75,0.173463
233,0.173463
233.25,0.173463
233.5,0.173463
233.75,0.173463
234,0.173464
234.25,0.173464
234.5,0.173464
234.75,0.173464
235,0.173464
235.25,0.173464
235.5,0.173464
235.75,0.173464
236,0.173464
236.25,0.173464
236.5,0.173464
236.75,0.173464
237,0.173465
237.25,0.173465
237.5,0.173465
237.75,0.173465
238,0.173465
238.25,0.173465
238.5,0.173466
238.75,0.173466
239,0.173466
239.25,0.173466
239.5,0.173466
239.75,0.173466
240,0.173466
240.25,0.173466
240.5,0.173466
240.75,0.173466
241,0.173466
241.25,0.173466
241.5,0.173465
241.75,0.173465
242,0.173465
242.25,0.173465
242.5,0.173465
242.75,0.173465
243,0.173465
243.25,0.173465
243.5,0.173465
243.75,0.173465
244,0.173465
244.25,0.173465
244.5,0.173465
244.75,0.173465
245,0.173465
245.25,0.173465
245.5,0.173465
245.75,0.173465
246,0.173465
246.25,0.173465
246.5,0.173465
246.75,0.173465
247,0.173465
247.25,0.173465
247.5,0.173465
247.75,0.173465
248,0.173465
248.25,0.173465
248.5,0.173465
248.75,0.173465
249,0.173465
249.25,0.173465
249.5,0.173465
249.75,0.173465
250,0.173465
250.25,0.173465
250.5,0.173465
250.75,0.173465
251,0.173465
251.25,0.173465
251.5,0.173465
251.75,0.173465
252,0.173465
252.25,0.173465
252.5,0.173465
252.75,0.173465
253,0.173465
253.25,0.173465
253.5,0.173465
253.75,0.173465
254,0.173465
254.25,0.173465
254.5,0.173465
254.75,0.173465
255,0.173465
255.25,0.173465
255.5,0.173465
255.75,0.173465
256,0.173465
256.25,0.173465
256.5,0.173465
256.75,0.173465
257,0.173465
257.25,0.173465
257.5,0.173465
257.75,0.173465
258,0.173465
258.25,0.173465
258.5,0.173465
258.75,0.173465
259,0.173465
259.25,0.173465
259.5,0.173465
259.75,0.173465
260,0.173465
260.25,0.173465
260.5,0.173465
260.75,0.173465
261,0.173465
261.25,0.173465
261.5,0.173465
261.75,0.173465
262,0.173465
262.25,0.173465
262.5,0.173465
262.75,0.173465
263,0.173465
263.25,0.173465
263.5,0.173465
263.75,0.173465
264,0.173465
264.25,0.173465
264.5,0.173465
264.75,0.173465
265,0.173465
265.25,0.173465
265.5,0.173465
265.75,0.173465
266,0.173465
266.25,0.173465
266.5,0.173465
266.75,0.173465
267,0.173465
267.25,0.173465
267.5,0.173465
267.75,0.173465
268,0.173465
268.25,0.173465
268.5,0.173465
268.75,0.173465
269,0.173465
269.25,0.173465
269.5,0.173465
269.75,0.173465
270,0.173465
270.25,0.173465
270.5,0.173465
270.75,0.173465
271,0.173465
271.25,0.173465
271.5,0.173465
271.75,0.173465
272,0.173465
272.25,0.173465
272.5,0.173465
272.75,0.173465
273,0.173465
273.25,0.173465
273.5,0.173465
273.75,0.173465
274,0.173465
274.25,0.173465
274.5,0.173465
274.75,0.173465
275,0.173465
275.25,0.173465
275.5,0.173465
275.75,0.173465
276,0.173465
276.25,0.173465
276.5,0.173465
276.75,0.173465
277,0.173465
277.25,0.173465
277.5,0.173465
277.75,0.173465
278,0.173465
278.25,0.173465
278.5,0.173465
278.75,0.173465
279,0.173465
279.25,0.173465
279.5,0.173465
279.75,0.173465
280,0.173465
280.25,0.173465
280.5,0.173465
280.75,0.173465
281,0.173465
281.25,0.173465
281.5,0.173465
281.75,0.173465
282,0.173465
282.25,0.173465
282.5,0.173465
282.75,0.173465
283,0.173465
283.25,0.173465
283.5,0.173465
283.75,0.173465
284,0.173465
284.25,0.173465
284.5,0.173465
284.75,0.173465
285,0.173465
285.25,0.173465
285.5,0.173465
285.75,0.173465
286,0.173465
286.25,0.173465
286.5,0.173465
286.75,0.173465
287,0.173465
287.25,0.173465
287.5,0.173465
287.75,0.173465
288,0.173465
288.25,0.173465
288.5,0.173465
288.75,0.173465
289,0.173465
289.25,0.173465
289.5,0.173465
289.75,0.173465
290,0.173465
290.25,0.173465
290.5,0.173465
290.75,0.173465
291,0.173465
291.25,0.173465
291.5,0.173465
291.75,0.173465
292,0.173465
292.25,0.173465
292.5,0.173465
292.75,0.173465
293,0.173465
