Time,total_fraction_lambda_H
0,-nan
0.25,-nan
0.5,-nan
0.75,-nan
1,-nan
94.5,0.838561
94.75,0.850651
95,0.863864
95.25,0.863024
95.5,0.847381
95.75,0.85842
96,0.841568
96.25,0.854286
96.5,0.858619
96.75,0.848298
97,0.856633
97.25,0.850111
97.5,0.839106
97.75,0.840465
98,0.842946
98.25,0.840377
98.5,0.84749
98.75,0.843949
99,0.84492
99.25,0.8585
99.5,0.854054
99.75,0.838687
100,0.83269
100.25,0.843762
100.5,0.840313
100.75,0.854513
101,0.854058
101.25,0.844866
101.5,0.847391
101.75,0.844219
102,0.84254
102.25,0.824653
102.5,0.846152
102.75,0.830543
103,0.837081
103.25,0.838767
103.5,0.835223
103.75,0.835986
104,0.837822
104.25,0.848089
104.5,0.847521
104.75,0.832343
105,0.843877
105.25,0.833974
105.5,0.835704
105.75,0.8365
106,0.832452
106.25,0.847122
106.5,0.835412
106.75,0.825468
107,0.836069
107.25,0.834777
107.5,0.843109
107.75,0.845182
108,0.835895
108.25,0.83991
108.5,0.842239
108.75,0.84229
109,0.829073
109.25,0.829784
109.5,0.839094
109.75,0.828408
110,0.848721
110.25,0.843314
110.5,0.822782
110.75,0.838261
111,0.844905
111.25,0.857465
111.5,0.837488
111.75,0.834613
112,0.82393
112.25,0.817578
112.5,0.844904
112.75,0.853203
113,0.835478
113.25,0.835478
113.5,0.854739
113.75,0.843214
114,0.829505
114.25,0.843327
114.5,0.843313
114.75,0.839105
115,0.854856
115.25,0.828587
115.5,0.832541
115.75,0.845165
116,0.861421
116.25,0.849073
116.5,0.857158
116.75,0.84415
117,0.842213
117.25,0.846065
117.5,0.830934
117.75,0.836038
118,0.840023
118.25,0.854681
118.5,0.837044
118.75,0.859055
119,0.840486
119.25,0.840379
119.5,0.842398
119.75,0.865195
120,0.858829
120.25,0.850645
120.5,0.853907
120.75,0.855986
121,0.848966
121.25,0.869539
121.5,0.858575
121.75,0.863231
122,0.860073
122.25,0.857778
122.5,0.858798
122.75,0.841063
123,0.877395
123.25,0.872718
123.5,0.864504
123.75,0.867011
124,0.86791
124.25,0.872675
124.5,0.852521
124.75,0.851905
125,0.868974
125.25,0.866482
125.5,0.862023
125.75,0.864128
126,0.898232
126.25,0.869498
126.5,0.877065
126.75,0.876549
127,0.873681
127.25,0.855721
127.5,0.861401
127.75,0.87627
128,0.838412
128.25,0.872662
128.5,0.864107
128.75,0.874439
129,0.854217
129.25,0.88757
129.5,0.891212
129.75,0.874188
130,0.843729
130.25,0.880548
130.5,0.853006
130.75,0.873206
131,0.883656
131.25,0.885602
131.5,0.853594
131.75,0.891617
132,0.880197
132.25,0.870494
132.5,0.890727
132.75,0.886056
133,0.882719
133.25,0.882522
133.5,0.87209
133.75,0.873587
134,0.881128
134.25,0.865627
134.5,0.877838
134.75,0.882972
135,0.852866
135.25,0.889104
135.5,0.869289
135.75,0.888133
136,0.885591
136.25,0.893761
136.5,0.903267
136.75,0.895052
137,0.911141
137.25,0.859816
137.5,0.882437
137.75,0.866539
138,0.883813
138.25,0.87357
138.5,0.885395
138.75,0.913452
139,0.869862
139.25,0.909636
139.5,0.874169
139.75,0.904913
140,0.884709
140.25,0.864325
140.5,0.878565
140.75,0.90925
141,0.879623
141.25,0.901184
141.5,0.838644
141.75,0.899178
142,0.875339
142.25,0.911142
142.5,0.889123
142.75,0.903854
143,0.889461
143.25,0.898557
143.5,0.837668
143.75,0.895483
144,0.891724
144.25,0.846851
144.5,0.873802
144.75,0.858558
145,0.888296
145.25,0.897517
145.5,0.904025
145.75,0.861623
146,0.916226
146.25,0.92208
146.5,0.91826
146.75,0.816329
147,0.889936
147.25,0.954336
147.5,0.891518
147.75,0.925888
148,0.911406
148.25,0.86989
148.5,0.919292
148.75,0.885398
149,0.881126
149.25,0.917978
149.5,0.902904
149.75,0.861455
150,0.935881
150.25,0.924265
150.5,0.874203
150.75,0.897361
151,0.88135
151.25,0.823036
151.5,0.927732
151.75,0.932112
152,0.910811
152.25,0.937229
152.5,0.943253
152.75,0.912497
153,0.933111
153.25,0.838723
153.5,0.894342
153.75,0.916265
154,0.905315
154.25,0.866171
154.5,0.901164
154.75,0.874861
155,0.887023
155.25,0.922844
155.5,0.882078
155.75,0.86806
156,0.924292
156.25,0.832004
156.5,0.913264
156.75,0.898672
157,0.918821
157.25,0.92202
157.5,0.897184
157.75,0.935795
158,0.910378
158.25,0.934396
158.5,0.920612
158.75,0.859114
159,0.929145
159.25,0.871245
159.5,0.894484
159.75,0.747357
160,0.824602
160.25,0.854462
160.5,0.91634
160.75,0.951724
161,0.906544
161.25,0.86988
161.5,0.944012
161.75,0.963302
162,0.938772
162.25,0.940438
162.5,0.947202
162.75,0.906365
163,0.856689
163.25,0.821794
163.5,0.893491
163.75,0.893447
164,0.922069
164.25,0.81465
164.5,0.895407
164.75,0.958368
165,0.935411
165.25,0.959465
165.5,0.968899
165.75,0.913448
166,0.962767
166.25,0.882884
166.5,0.91154
166.75,0.881532
167,0.882304
167.25,0.982312
167.5,0.874707
167.75,0.884725
168,0.855395
168.25,0.937208
168.5,0.785717
168.75,0.782329
169,0.859358
169.25,0.847611
169.5,0.86713
169.75,0.839485
170,0.811499
170.25,0.87088
170.5,0.783916
170.75,0.9314
171,0.764814
171.25,0.855971
171.5,0.755453
171.75,0.812252
172,0.877045
172.25,0.958086
172.5,0.711636
172.75,0.922269
173,0.898996
173.25,0.890188
173.5,0.891583
173.75,0.97067
174,0.816915
174.25,0.958983
174.5,0.845081
174.75,0.887502
175,0.961236
175.25,0.971688
175.5,0.912671
175.75,0.900045
176,0.869118
176.25,0.967549
176.5,0.91806
176.75,0.928358
177,0.959623
177.25,0.893633
177.5,0.899839
177.75,0.971031
178,0.888855
178.25,0.89971
178.5,0.823883
178.75,0.872116
179,0.708161
179.25,0.978836
179.5,0.975912
179.75,0.705405
180,0.826824
180.25,0.885538
180.5,0.949146
180.75,0.937824
181,0.739589
181.25,0.858077
181.5,0.956506
181.75,0.956851
182,0.970912
182.25,0.940293
182.5,0.974449
182.75,0.980454
183,0.939271
183.25,0.812776
183.5,0.970259
183.75,0.888606
184,0.893718
184.25,0.984054
184.5,0.932929
184.75,0.991289
185,0.940353
185.25,0.869119
185.5,0.86757
185.75,0.354173
186,0.782476
186.25,0.937238
186.5,0.926349
186.75,0.920317
187,0.888719
187.25,0.94542
187.5,0.987341
187.75,0.987202
188,0.811902
188.25,0.816851
188.5,0.875373
188.75,0.986695
189,0.882464
189.25,0.956348
189.5,0.837626
189.75,0.986571
190,0.92074
190.25,0.933255
190.5,0.96449
190.75,0.881759
191,0.943804
191.25,0.936596
191.5,0.926147
191.75,0.968569
192,0.917521
192.25,0.989674
192.5,0.955182
192.75,0.996999
193,0.996787
193.25,0.971075
193.5,0.814754
193.75,0.956419
194,0.954255
194.25,0.910638
194.5,0.883099
194.75,0.239903
195,0.987651
195.25,0.938406
195.5,0.999835
195.75,0.978713
196,0.918754
196.25,0.905122
196.5,0.833493
196.75,0.758546
197,0.431561
197.25,0.987165
197.5,0.95858
197.75,0.348495
198,0.872563
198.25,0.999779
198.5,0.966139
198.75,0.863759
199,0.980461
199.25,0.958877
199.5,0.912347
199.75,0.999989
200,0.999983
200.25,0.559129
200.5,0.936628
200.75,0.997221
201,0
201.25,0.9397
201.5,0.621394
201.75,0.974822
202,0.999336
202.25,0.999981
202.5,0
202.75,0.984926
203,0.994976
203.25,0.830486
203.5,0.999942
203.75,0.999922
204,0
204.25,0.993016
204.5,0.85795
204.75,0.999976
205,0
205.25,0.995459
205.5,0.996101
205.75,0
206,0.870911
206.25,-nan
206.5,0
206.75,0.721604
207,0.999969
207.25,0
207.5,0.856375
207.75,0.999946
208,0.574114
208.25,0.943983
208.5,0.970585
208.75,0.723228
209,0.999993
209.25,0.988965
209.5,0.999991
209.75,0
210,0.873913
210.25,0
210.5,0
210.75,0.947086
211,0.999931
211.25,0.904642
211.5,0
211.75,0.999986
212,0
212.25,0.740618
212.5,0
212.75,0.996337
213,0
213.25,0.999987
213.5,0.590836
213.75,0.982487
214,-nan
214.25,-nan
214.5,0.999964
214.75,0.999994
215,0.999971
215.25,0.999511
215.5,0.999958
215.75,-nan
216,0.999967
216.25,0
216.5,0.999964
216.75,-nan
217,-nan
217.25,-nan
217.5,0.999868
217.75,0.999994
218,-nan
218.25,0
218.5,0
218.75,-nan
219,-nan
219.25,0
219.5,-nan
219.75,-nan
220,-nan
220.25,0.999992
220.5,-nan
220.75,0.99999
221,-nan
221.25,-nan
221.5,-nan
221.75,-nan
222,0
222.25,0.999996
222.5,-nan
222.75,-nan
223,-nan
223.25,0.999912
223.5,-nan
223.75,-nan
224,-nan
224.25,-nan
224.5,-nan
224.75,0
225,0.999981
225.25,-nan
225.5,-nan
225.75,0.999994
226,-nan
226.25,-nan
226.5,-nan
226.75,-nan
227,-nan
227.25,-nan
227.5,0
227.75,-nan
228,0
228.25,0.999983
228.5,0.999972
228.75,0
229,-nan
229.25,-nan
229.5,-nan
229.75,0
230,0
230.25,0
230.5,-nan
230.75,-nan
231,-nan
231.25,-nan
231.5,-nan
231.75,-nan
232,-nan
232.25,-nan
232.5,-nan
232.75,-nan
233,0.999999
233.25,-nan
233.5,-nan
233.75,-nan
234,0
234.25,-nan
234.5,-nan
234.75,-nan
235,-nan
235.25,-nan
235.5,-nan
235.75,-nan
236,-nan
236.25,-nan
236.5,-nan
236.75,-nan
237,0
237.25,-nan
237.5,-nan
237.75,-nan
238,0
238.25,-nan
238.5,0
238.75,-nan
239,0.99999
239.25,-nan
239.5,-nan
239.75,-nan
240,-nan
240.25,0
240.5,-nan
240.75,-nan
241,-nan
241.25,-nan
241.5,0.99999
241.75,-nan
242,-nan
242.25,-nan
242.5,-nan
242.75,-nan
243,0
243.25,-nan
243.5,-nan
243.75,-nan
244,-nan
244.25,-nan
244.5,-nan
244.75,-nan
245,-nan
245.25,-nan
245.5,-nan
245.75,-nan
246,-nan
246.25,-nan
246.5,-nan
246.75,-nan
247,-nan
247.25,-nan
247.5,-nan
247.75,-nan
248,-nan
248.25,-nan
248.5,-nan
248.75,-nan
249,-nan
249.25,-nan
249.5,-nan
249.75,-nan
250,-nan
250.25,-nan
250.5,-nan
250.75,-nan
251,-nan
251.25,-nan
251.5,-nan
251.75,-nan
252,-nan
252.25,-nan
252.5,-nan
252.75,-nan
253,-nan
253.25,-nan
253.5,-nan
253.75,-nan
254,-nan
254.25,-nan
254.5,-nan
254.75,-nan
255,-nan
255.25,-nan
255.5,-nan
255.75,-nan
256,-nan
256.25,-nan
256.5,-nan
256.75,-nan
257,-nan
257.25,-nan
257.5,-nan
257.75,-nan
258,-nan
258.25,-nan
258.5,-nan
258.75,-nan
259,-nan
259.25,-nan
259.5,-nan
259.75,-nan
260,-nan
260.25,-nan
260.5,-nan
260.75,-nan
261,-nan
261.25,-nan
261.5,-nan
261.75,-nan
262,-nan
262.25,-nan
262.5,-nan
262.75,-nan
263,-nan
263.25,-nan
263.5,-nan
263.75,-nan
264,-nan
264.25,-nan
264.5,-nan
264.75,-nan
265,-nan
265.25,-nan
265.5,-nan
265.75,-nan
266,-nan
266.25,-nan
266.5,-nan
266.75,-nan
267,-nan
267.25,-nan
267.5,-nan
267.75,-nan
268,-nan
268.25,-nan
268.5,-nan
268.75,-nan
269,-nan
269.25,-nan
269.5,-nan
269.75,-nan
270,-nan
270.25,-nan
270.5,-nan
270.75,-nan
271,-nan
271.25,-nan
271.5,-nan
271.75,-nan
272,-nan
272.25,-nan
272.5,-nan
272.75,-nan
273,-nan
273.25,-nan
273.5,-nan
273.75,-nan
274,-nan
274.25,-nan
274.5,-nan
274.75,-nan
275,-nan
275.25,-nan
275.5,-nan
275.75,-nan
276,-nan
276.25,-nan
276.5,-nan
276.75,-nan
277,-nan
277.25,-nan
277.5,-nan
277.75,-nan
278,-nan
278.25,-nan
278.5,-nan
278.75,-nan
279,-nan
279.25,-nan
279.5,-nan
279.75,-nan
280,-nan
280.25,-nan
280.5,-nan
280.75,-nan
281,-nan
281.25,-nan
281.5,-nan
281.75,-nan
282,-nan
282.25,-nan
282.5,-nan
282.75,-nan
283,-nan
283.25,-nan
283.5,-nan
283.75,-nan
284,-nan
284.25,-nan
284.5,-nan
284.75,-nan
285,-nan
285.25,-nan
285.5,-nan
285.75,-nan
286,-nan
286.25,-nan
286.5,-nan
286.75,-nan
287,-nan
287.25,-nan
287.5,-nan
287.75,-nan
288,-nan
288.25,-nan
288.5,-nan
288.75,-nan
289,-nan
289.25,-nan
289.5,-nan
289.75,-nan
290,-nan
290.25,-nan
290.5,-nan
290.75,-nan
291,-nan
291.25,-nan
291.5,-nan
291.75,-nan
292,-nan
292.25,-nan
292.5,-nan
292.75,-nan
293,-nan
293.25,-nan
293.5,-nan
293.75,-nan
