Day,num_positive,num_tested,num_hospitalised,num_cumulative_hospitalizations,num_critical,num_fatalities
101,5451,6751,3297,10269,526,424
102,5406,6721,3334,10712,567,464
103,5284,6521,3353,11145,615,483
104,5217,6521,3413,11606,648,513
105,5180,6385,3507,12086,658,548
106,4991,6157,3547,12533,673,584
107,4849,6024,3574,12990,725,616
108,4813,5957,3560,13421,751,654
109,4586,5713,3565,13835,761,693
110,4290,5298,3550,14266,751,747
111,4268,5237,3513,14661,745,806
112,4080,5020,3469,15080,758,855
113,3844,4750,3373,15464,782,899
114,3705,4576,3320,15857,799,933
115,3525,4390,3236,16226,777,981
116,3461,4277,3148,16572,764,1043
117,3182,3933,3086,16923,785,1083
118,3135,3817,2996,17268,814,1131
119,2848,3517,2911,17577,829,1171
120,2740,3379,2804,17888,815,1220
121,2533,3141,2719,18191,802,1273
122,2363,2980,2567,18427,788,1328
123,2248,2811,2471,18697,792,1372
124,2073,2574,2382,18960,786,1414
125,2015,2484,2290,19216,764,1467
126,1848,2290,2162,19432,726,1524
127,1786,2186,2074,19655,698,1569
128,1642,2069,1968,19857,675,1617
129,1517,1882,1875,20067,676,1664
130,1419,1784,1839,20269,652,1702
131,1375,1717,1758,20456,630,1755
132,1157,1460,1631,20592,613,1793
133,1123,1399,1528,20747,599,1834
134,1112,1353,1472,20904,562,1879
135,998,1226,1383,21040,548,1919
136,885,1070,1308,21166,522,1956
137,880,1080,1206,21274,485,2006
138,831,1040,1116,21388,476,2035
139,771,947,1046,21503,452,2067
140,738,901,1009,21601,425,2098
141,675,835,952,21699,399,2132
142,648,791,876,21782,398,2163
143,563,716,828,21869,372,2193
144,512,634,788,21958,362,2215
145,518,645,747,22021,326,2247
146,507,613,690,22079,305,2277
147,378,459,626,22130,298,2303
148,370,473,583,22186,278,2323
149,360,448,540,22240,258,2345
150,335,417,506,22289,237,2371
151,312,392,464,22333,216,2396
152,299,371,408,22366,202,2413
153,265,324,389,22410,194,2425
154,225,296,364,22443,177,2444
155,242,306,349,22479,151,2462
156,197,249,336,22524,143,2470
157,202,246,308,22549,141,2483
158,204,245,281,22570,125,2497
159,174,209,265,22598,114,2507
160,169,209,249,22616,99,2518
161,162,197,236,22646,96,2527
162,131,159,226,22669,89,2530
163,120,146,211,22691,87,2536
164,115,151,181,22705,87,2540
165,114,143,171,22720,73,2555
166,94,111,160,22730,72,2562
167,90,104,143,22741,70,2565
168,79,102,133,22749,65,2567
169,78,101,111,22758,57,2573
170,66,76,102,22772,59,2578
171,69,86,86,22777,53,2586
172,73,86,78,22783,44,2592
173,64,75,73,22793,43,2597
174,57,68,69,22799,40,2600
175,65,74,74,22816,39,2602
176,40,44,72,22821,37,2605
177,50,62,69,22827,35,2606
178,38,50,61,22833,26,2613
179,40,50,60,22838,21,2615
180,41,53,61,22844,21,2617
181,28,42,53,22846,19,2619
182,36,45,51,22850,20,2622
183,34,44,40,22856,23,2624
184,24,28,37,22858,24,2624
185,34,40,32,22859,22,2625
186,16,22,31,22864,21,2627
187,19,23,29,22867,24,2627
188,13,15,27,22871,22,2629
189,24,27,28,22874,20,2630
190,17,28,24,22874,16,2633
191,16,18,21,22877,12,2634
192,14,15,21,22879,10,2634
193,11,14,22,22881,10,2634
194,19,26,18,22882,8,2635
195,5,11,17,22884,6,2637
196,8,9,14,22885,8,2637
197,9,13,12,22886,7,2637
198,11,11,14,22889,6,2637
199,9,12,12,22889,3,2638
200,12,12,10,22889,4,2638
201,6,6,12,22893,5,2638
202,4,5,12,22894,5,2638
203,6,7,12,22896,4,2638
204,9,11,12,22897,3,2640
205,6,7,11,22897,3,2640
206,5,7,8,22897,4,2640
207,4,5,8,22897,4,2640
208,3,5,9,22898,3,2640
209,4,4,6,22899,2,2640
210,3,4,6,22900,2,2640
211,2,2,5,22901,2,2640
212,2,2,4,22901,1,2641
213,2,2,5,22902,1,2641
214,2,3,6,22903,0,2642
215,3,3,6,22903,0,2642
216,0,0,5,22903,0,2642
217,3,3,4,22903,0,2642
218,1,1,4,22904,0,2642
219,1,2,3,22904,0,2642
220,3,5,4,22905,0,2642
221,0,1,3,22905,0,2642
222,1,1,3,22906,1,2642
223,1,2,3,22906,1,2642
224,0,1,3,22906,1,2642
225,3,3,4,22907,1,2642
226,1,1,5,22909,2,2642
227,1,1,5,22909,2,2642
228,2,2,4,22909,3,2642
229,0,0,4,22909,3,2642
230,1,1,3,22909,3,2643
231,0,0,3,22909,3,2643
232,1,1,3,22909,3,2643
233,0,0,2,22909,3,2643
234,0,0,0,22909,2,2644
235,0,0,0,22909,2,2644
236,1,1,0,22909,1,2644
237,0,0,0,22909,1,2644
238,0,0,0,22909,0,2645
239,0,0,0,22909,0,2645
240,0,0,0,22909,0,2645
241,0,0,1,22910,0,2645
242,0,0,1,22910,0,2645
243,1,1,1,22910,0,2645
244,0,0,1,22910,0,2645
245,0,0,1,22910,0,2645
246,0,0,1,22910,0,2645
247,0,0,1,22910,0,2645
248,0,0,1,22910,0,2645
249,0,0,0,22910,0,2645
250,0,0,0,22910,0,2645
251,0,0,0,22910,0,2645
252,0,0,0,22910,0,2645
253,0,0,0,22910,0,2645
254,0,0,0,22910,0,2645
255,0,0,0,22910,0,2645
256,0,0,0,22910,0,2645
257,0,0,0,22910,0,2645
258,0,0,0,22910,0,2645
259,0,0,0,22910,0,2645
260,0,0,0,22910,0,2645
261,0,0,0,22910,0,2645
262,0,0,0,22910,0,2645
263,0,0,0,22910,0,2645
264,0,0,0,22910,0,2645
265,0,0,0,22910,0,2645
266,0,0,0,22910,0,2645
267,0,0,0,22910,0,2645
268,0,0,0,22910,0,2645
269,0,0,0,22910,0,2645
270,0,0,0,22910,0,2645
271,0,0,0,22910,0,2645
272,0,0,0,22910,0,2645
273,0,0,0,22910,0,2645
274,0,0,0,22910,0,2645
275,0,0,0,22910,0,2645
276,0,0,0,22910,0,2645
277,0,0,0,22910,0,2645
278,0,0,0,22910,0,2645
279,0,0,0,22910,0,2645
280,0,0,0,22910,0,2645
281,0,0,0,22910,0,2645
282,0,0,0,22910,0,2645
283,0,0,0,22910,0,2645
284,0,0,0,22910,0,2645
285,0,0,0,22910,0,2645
286,0,0,0,22910,0,2645
287,0,0,0,22910,0,2645
288,0,0,0,22910,0,2645
289,0,0,0,22910,0,2645
290,0,0,0,22910,0,2645
291,0,0,0,22910,0,2645
292,0,0,0,22910,0,2645
293,0,0,0,22910,0,2645
294,0,0,0,22910,0,2645
295,0,0,0,22910,0,2645
296,0,0,0,22910,0,2645
297,0,0,0,22910,0,2645
298,0,0,0,22910,0,2645
299,0,0,0,22910,0,2645
300,0,0,0,22910,0,2645
301,0,0,0,22910,0,2645
302,0,0,0,22910,0,2645
303,0,0,0,22910,0,2645
304,0,0,0,22910,0,2645
305,0,0,0,22910,0,2645
306,0,0,0,22910,0,2645
307,0,0,0,22910,0,2645
308,0,0,0,22910,0,2645
309,0,0,0,22910,0,2645
310,0,0,0,22910,0,2645
311,0,0,0,22910,0,2645
312,0,0,0,22910,0,2645
313,0,0,0,22910,0,2645
314,0,0,0,22910,0,2645
315,0,0,0,22910,0,2645
316,0,0,0,22910,0,2645
317,0,0,0,22910,0,2645
318,0,0,0,22910,0,2645
319,0,0,0,22910,0,2645
320,0,0,0,22910,0,2645
321,0,0,0,22910,0,2645
322,0,0,0,22910,0,2645
323,0,0,0,22910,0,2645
324,0,0,0,22910,0,2645
325,0,0,0,22910,0,2645
326,0,0,0,22910,0,2645
327,0,0,0,22910,0,2645
328,0,0,0,22910,0,2645
329,0,0,0,22910,0,2645
330,0,0,0,22910,0,2645
331,0,0,0,22910,0,2645
332,0,0,0,22910,0,2645
333,0,0,0,22910,0,2645
334,0,0,0,22910,0,2645
335,0,0,0,22910,0,2645
336,0,0,0,22910,0,2645
337,0,0,0,22910,0,2645
338,0,0,0,22910,0,2645
339,0,0,0,22910,0,2645
340,0,0,0,22910,0,2645
341,0,0,0,22910,0,2645
342,0,0,0,22910,0,2645
343,0,0,0,22910,0,2645
344,0,0,0,22910,0,2645
345,0,0,0,22910,0,2645
346,0,0,0,22910,0,2645
347,0,0,0,22910,0,2645
348,0,0,0,22910,0,2645
349,0,0,0,22910,0,2645
350,0,0,0,22910,0,2645
351,0,0,0,22910,0,2645
352,0,0,0,22910,0,2645
353,0,0,0,22910,0,2645
354,0,0,0,22910,0,2645
355,0,0,0,22910,0,2645
356,0,0,0,22910,0,2645
357,0,0,0,22910,0,2645
358,0,0,0,22910,0,2645
359,0,0,0,22910,0,2645
360,0,0,0,22910,0,2645
361,0,0,0,22910,0,2645
362,0,0,0,22910,0,2645
363,0,0,0,22910,0,2645
364,0,0,0,22910,0,2645
365,0,0,0,22910,0,2645
366,0,0,0,22910,0,2645
367,0,0,0,22910,0,2645
368,0,0,0,22910,0,2645
369,0,0,0,22910,0,2645
370,0,0,0,22910,0,2645
371,0,0,0,22910,0,2645
372,0,0,0,22910,0,2645
373,0,0,0,22910,0,2645
374,0,0,0,22910,0,2645
375,0,0,0,22910,0,2645
376,0,0,0,22910,0,2645
377,0,0,0,22910,0,2645
378,0,0,0,22910,0,2645
379,0,0,0,22910,0,2645
380,0,0,0,22910,0,2645
381,0,0,0,22910,0,2645
382,0,0,0,22910,0,2645
383,0,0,0,22910,0,2645
384,0,0,0,22910,0,2645
385,0,0,0,22910,0,2645
386,0,0,0,22910,0,2645
387,0,0,0,22910,0,2645
388,0,0,0,22910,0,2645
389,0,0,0,22910,0,2645
390,0,0,0,22910,0,2645
391,0,0,0,22910,0,2645
392,0,0,0,22910,0,2645
393,0,0,0,22910,0,2645
394,0,0,0,22910,0,2645
395,0,0,0,22910,0,2645
396,0,0,0,22910,0,2645
397,0,0,0,22910,0,2645
398,0,0,0,22910,0,2645
399,0,0,0,22910,0,2645
400,0,0,0,22910,0,2645
401,0,0,0,22910,0,2645
402,0,0,0,22910,0,2645
403,0,0,0,22910,0,2645
404,0,0,0,22910,0,2645
405,0,0,0,22910,0,2645
406,0,0,0,22910,0,2645
407,0,0,0,22910,0,2645
408,0,0,0,22910,0,2645
409,0,0,0,22910,0,2645
410,0,0,0,22910,0,2645
411,0,0,0,22910,0,2645
412,0,0,0,22910,0,2645
413,0,0,0,22910,0,2645
414,0,0,0,22910,0,2645
415,0,0,0,22910,0,2645
416,0,0,0,22910,0,2645
417,0,0,0,22910,0,2645
418,0,0,0,22910,0,2645
419,0,0,0,22910,0,2645
420,0,0,0,22910,0,2645
421,0,0,0,22910,0,2645
422,0,0,0,22910,0,2645
423,0,0,0,22910,0,2645
424,0,0,0,22910,0,2645
425,0,0,0,22910,0,2645
426,0,0,0,22910,0,2645
427,0,0,0,22910,0,2645
428,0,0,0,22910,0,2645
429,0,0,0,22910,0,2645
430,0,0,0,22910,0,2645
431,0,0,0,22910,0,2645
432,0,0,0,22910,0,2645
433,0,0,0,22910,0,2645
434,0,0,0,22910,0,2645
435,0,0,0,22910,0,2645
436,0,0,0,22910,0,2645
437,0,0,0,22910,0,2645
438,0,0,0,22910,0,2645
439,0,0,0,22910,0,2645
440,0,0,0,22910,0,2645
441,0,0,0,22910,0,2645
442,0,0,0,22910,0,2645
443,0,0,0,22910,0,2645
444,0,0,0,22910,0,2645
445,0,0,0,22910,0,2645
446,0,0,0,22910,0,2645
447,0,0,0,22910,0,2645
448,0,0,0,22910,0,2645
449,0,0,0,22910,0,2645
450,0,0,0,22910,0,2645
451,0,0,0,22910,0,2645
452,0,0,0,22910,0,2645
453,0,0,0,22910,0,2645
454,0,0,0,22910,0,2645
455,0,0,0,22910,0,2645
