Time,normal_interactions,curtailed_interactions
83.5,756495,756495
83.75,756281,756281
84,755964,755964
84.25,755583,755583
84.5,755364,755364
84.75,755062,755062
85,754805,754805
85.25,754427,754427
85.5,754089,754089
85.75,753708,753708
86,753372,753372
86.25,753174,753174
86.5,752888,752888
86.75,752583,752583
87,752318,752318
87.25,751968,751968
87.5,751691,751691
87.75,751339,751339
88,751007,751007
88.25,750651,750651
88.5,750268,750268
88.75,749992,749992
89,749549,749549
89.25,749313,749313
89.5,748964,748964
89.75,748603,748603
90,748223,748223
90.25,747809,747809
90.5,747452,747452
90.75,747051,747051
91,746683,746683
91.25,746361,746361
91.5,746060,746060
91.75,745692,745692
92,745271,745271
92.25,744938,744938
92.5,744576,744576
92.75,744178,744178
93,743772,743772
93.25,743424,743424
93.5,743070,743070
93.75,742821,742821
94,742451,742451
94.25,742085,742085
94.5,741742,741742
94.75,741371,741371
95,740976,740976
95.25,740647,740647
95.5,740214,740214
95.75,739789,739789
96,739496,739496
96.25,739110,739110
96.5,738827,738827
96.75,738447,738447
97,738057,738057
97.25,737703,737703
97.5,737311,737311
97.75,737002,737002
98,736611,736611
98.25,736364,736364
98.5,735989,735989
98.75,735783,735783
99,735467,735467
99.25,735115,735115
99.5,734761,734761
99.75,734477,734477
100,734364,734364
100.25,734028,734028
100.5,733752,733752
100.75,733606,733606
101,733311,733311
101.25,733122,733122
101.5,732835,732835
101.75,732652,732652
102,732433,732433
102.25,732231,732231
102.5,731998,731998
102.75,731827,731827
103,731758,731758
103.25,731606,731606
103.5,731433,731433
103.75,731256,731256
104,731037,731037
104.25,730870,730870
104.5,730697,730697
104.75,730604,730604
105,730408,730408
105.25,730404,730404
105.5,730323,730323
105.75,730194,730194
106,730208,730208
106.25,730139,730139
106.5,730120,730120
106.75,729931,729931
107,729876,729876
107.25,729734,729734
107.5,729670,729670
107.75,729650,729650
108,729613,729613
108.25,729687,729687
108.5,729666,729666
108.75,729414,729414
109,729373,729373
109.25,729407,729407
109.5,729398,729398
109.75,729526,729526
110,729575,729575
110.25,729710,729710
110.5,729729,729729
110.75,729714,729714
111,729848,729848
111.25,729859,729859
111.5,729991,729991
111.75,730083,730083
112,730067,730067
112.25,730249,730249
112.5,730359,730359
112.75,730467,730467
113,730642,730642
113.25,730956,730956
113.5,730941,730941
113.75,731093,731093
114,731268,731268
114.25,731534,731534
114.5,731696,731696
114.75,731870,731870
115,732074,732074
115.25,732207,732207
115.5,732339,732339
115.75,732461,732461
116,732727,732727
116.25,732973,732973
116.5,733246,733246
116.75,733568,733568
117,733801,733801
117.25,733979,733979
117.5,734360,734360
117.75,734579,734579
118,734840,734840
118.25,735120,735120
118.5,735348,735348
118.75,735643,735643
119,735838,735838
119.25,736127,736127
119.5,736289,736289
119.75,736595,736595
120,736919,736919
120.25,737320,737320
120.5,737680,737680
120.75,737973,737973
121,738263,738263
121.25,738623,738623
121.5,738924,738924
121.75,739174,739174
122,739392,739392
122.25,739701,739701
122.5,740062,740062
122.75,740376,740376
123,740786,740786
123.25,741035,741035
123.5,741328,741328
123.75,741617,741617
124,742022,742022
124.25,742379,742379
124.5,742686,742686
124.75,743000,743000
125,743370,743370
125.25,743676,743676
125.5,743970,743970
125.75,744199,744199
126,744573,744573
126.25,744905,744905
126.5,745332,745332
126.75,745667,745667
127,746028,746028
127.25,746377,746377
127.5,746659,746659
127.75,747023,747023
128,747332,747332
128.25,747611,747611
128.5,747889,747889
128.75,748189,748189
129,748538,748538
129.25,748876,748876
129.5,749234,749234
129.75,749584,749584
130,749881,749881
130.25,750207,750207
130.5,750539,750539
130.75,750824,750824
131,751090,751090
131.25,751410,751410
131.5,751722,751722
131.75,752024,752024
132,752350,752350
132.25,752674,752674
132.5,752962,752962
132.75,753331,753331
133,753608,753608
133.25,753807,753807
133.5,754085,754085
133.75,754462,754462
134,754780,754780
134.25,755004,755004
134.5,755264,755264
134.75,755546,755546
135,755854,755854
135.25,756209,756209
135.5,756396,756396
135.75,756726,756726
136,756986,756986
136.25,757252,757252
136.5,757501,757501
136.75,757713,757713
137,757995,757995
137.25,758254,758254
137.5,758513,758513
137.75,758734,758734
138,758996,758996
138.25,759216,759216
138.5,759400,759400
138.75,759626,759626
139,759840,759840
139.25,760090,760090
139.5,760363,760363
139.75,760569,760569
140,760772,760772
140.25,761020,761020
140.5,761248,761248
140.75,761402,761402
141,761609,761609
141.25,761821,761821
141.5,762008,762008
141.75,762208,762208
142,762424,762424
142.25,762586,762586
142.5,762782,762782
142.75,762993,762993
143,763158,763158
143.25,763364,763364
143.5,763530,763530
143.75,763694,763694
144,763819,763819
144.25,764004,764004
144.5,764188,764188
144.75,764378,764378
145,764521,764521
145.25,764683,764683
145.5,764862,764862
145.75,765042,765042
146,765222,765222
146.25,765368,765368
146.5,765497,765497
146.75,765645,765645
147,765807,765807
147.25,765957,765957
147.5,766061,766061
147.75,766187,766187
148,766313,766313
148.25,766449,766449
148.5,766554,766554
148.75,766668,766668
149,766796,766796
149.25,766889,766889
149.5,767001,767001
149.75,767117,767117
150,767251,767251
150.25,767373,767373
150.5,767517,767517
150.75,767619,767619
151,767738,767738
151.25,767833,767833
151.5,767942,767942
151.75,768068,768068
152,768212,768212
152.25,768285,768285
152.5,768368,768368
152.75,768485,768485
153,768583,768583
153.25,768686,768686
153.5,768787,768787
153.75,768872,768872
154,768986,768986
154.25,769106,769106
154.5,769178,769178
154.75,769265,769265
155,769381,769381
155.25,769459,769459
155.5,769535,769535
155.75,769592,769592
156,769656,769656
156.25,769725,769725
156.5,769790,769790
156.75,769885,769885
157,769963,769963
157.25,770034,770034
157.5,770094,770094
157.75,770157,770157
158,770221,770221
158.25,770308,770308
158.5,770375,770375
158.75,770451,770451
159,770514,770514
159.25,770597,770597
159.5,770693,770693
159.75,770766,770766
160,770828,770828
160.25,770892,770892
