Time,total_fraction_lambda_C
0,-nan
0.25,-nan
0.5,-nan
0.75,-nan
1,-nan
80.5,0.00590519
80.75,0.00537338
81,0.0052454
81.25,0.00543344
81.5,0.00497917
81.75,0.0049039
82,0.0053521
82.25,0.006161
82.5,0.00583441
82.75,0.00512418
83,0.00601529
83.25,0.00694865
83.5,0.00605368
83.75,0.00651664
84,0.00643977
84.25,0.00656069
84.5,0.00615305
84.75,0.00694125
85,0.00686034
85.25,0.00801635
85.5,0.00776755
85.75,0.00752088
86,0.00748635
86.25,0.00771835
86.5,0.00759849
86.75,0.00778071
87,0.00683963
87.25,0.00784894
87.5,0.00813436
87.75,0.00890675
88,0.00839618
88.25,0.00793934
88.5,0.00894131
88.75,0.00795612
89,0.00794916
89.25,0.00882504
89.5,0.00924357
89.75,0.00868683
90,0.00992802
90.25,0.00998513
90.5,0.0101105
90.75,0.00947588
91,0.0113024
91.25,0.00903629
91.5,0.00906559
91.75,0.00937253
92,0.0104725
92.25,0.0101049
92.5,0.00985
92.75,0.0100233
93,0.0107378
93.25,0.0103642
93.5,0.0104545
93.75,0.0106731
94,0.0112697
94.25,0.0107792
94.5,0.0109004
94.75,0.0109361
95,0.0105669
95.25,0.0104935
95.5,0.010943
95.75,0.0106767
96,0.0114407
96.25,0.0109526
96.5,0.0111312
96.75,0.0114432
97,0.011921
97.25,0.0115304
97.5,0.0124664
97.75,0.0121631
98,0.0129943
98.25,0.0128633
98.5,0.0124959
98.75,0.0131953
99,0.0126542
99.25,0.01223
99.5,0.0124505
99.75,0.0137154
100,0.0134936
100.25,0.0129528
100.5,0.0130706
100.75,0.0129064
101,0.0127437
101.25,0.0132519
101.5,0.0128332
101.75,0.0131067
102,0.0133525
102.25,0.0138966
102.5,0.0136044
102.75,0.0140785
103,0.0140375
103.25,0.0133724
103.5,0.0142346
103.75,0.013838
104,0.0140621
104.25,0.013793
104.5,0.0130065
104.75,0.0146249
105,0.0132016
105.25,0.0137536
105.5,0.0134135
105.75,0.0138643
106,0.0146613
106.25,0.0129163
106.5,0.0137439
106.75,0.0151953
107,0.0140964
107.25,0.013324
107.5,0.0139678
107.75,0.0131837
108,0.0141977
108.25,0.0136272
108.5,0.0143434
108.75,0.0138902
109,0.0143378
109.25,0.0146855
109.5,0.0140396
109.75,0.0147866
110,0.0138478
110.25,0.0142741
110.5,0.0157548
110.75,0.0143622
111,0.0145151
111.25,0.013872
111.5,0.0140863
111.75,0.0143349
112,0.0148908
112.25,0.0156845
112.5,0.014182
112.75,0.0131746
113,0.0141415
113.25,0.0139212
113.5,0.0134705
113.75,0.0138295
114,0.0143743
114.25,0.014022
114.5,0.0130781
114.75,0.0140102
115,0.0126828
115.25,0.0139727
115.5,0.0136127
115.75,0.0129042
116,0.0118119
116.25,0.0128246
116.5,0.0121758
116.75,0.0131671
117,0.0120116
117.25,0.012237
117.5,0.014077
117.75,0.013209
118,0.0133396
118.25,0.0130852
118.5,0.013771
118.75,0.0128998
119,0.0121253
119.25,0.0135502
119.5,0.0128938
119.75,0.0119646
120,0.0120995
120.25,0.0123728
120.5,0.0120511
120.75,0.0118214
121,0.0130631
121.25,0.0112256
121.5,0.0117419
121.75,0.011739
122,0.0117341
122.25,0.011819
122.5,0.0117565
122.75,0.0118515
123,0.0108345
123.25,0.0111134
123.5,0.0111719
123.75,0.0108094
124,0.0111004
124.25,0.0107043
124.5,0.0118359
124.75,0.0112836
125,0.0103352
125.25,0.0104755
125.5,0.010323
125.75,0.0101392
126,0.00854268
126.25,0.00989046
126.5,0.00979887
126.75,0.00966472
127,0.0096961
127.25,0.0101843
127.5,0.00984263
127.75,0.00929479
128,0.0103755
128.25,0.00899559
128.5,0.00891801
128.75,0.00882807
129,0.0104682
129.25,0.00842096
129.5,0.00795575
129.75,0.00865021
130,0.00947659
130.25,0.00784389
130.5,0.00935016
130.75,0.00786077
131,0.00738301
131.25,0.0083172
131.5,0.00960021
131.75,0.00655805
132,0.00782095
132.25,0.00854055
132.5,0.00763545
132.75,0.00677626
133,0.00652288
133.25,0.00787624
133.5,0.0075202
133.75,0.00674198
134,0.00637831
134.25,0.00593615
134.5,0.00636739
134.75,0.00647918
135,0.00705163
135.25,0.00608079
135.5,0.00632716
135.75,0.0062646
136,0.00652458
136.25,0.00524775
136.5,0.00588583
136.75,0.00619594
137,0.00502631
137.25,0.00614867
137.5,0.00614957
137.75,0.00564674
138,0.00531155
138.25,0.00613244
138.5,0.00492791
138.75,0.00481623
139,0.00594331
139.25,0.00538241
139.5,0.0051088
139.75,0.00475115
140,0.0055378
140.25,0.00635198
140.5,0.00520916
140.75,0.00434428
141,0.00432674
141.25,0.00447135
141.5,0.00548609
141.75,0.00398245
142,0.00414121
142.25,0.00386063
142.5,0.00334135
142.75,0.00376752
143,0.00329984
143.25,0.00369753
143.5,0.00395153
143.75,0.00411326
144,0.00328396
144.25,0.00441651
144.5,0.0037361
144.75,0.00336691
145,0.00368864
145.25,0.00305006
145.5,0.00316434
145.75,0.00282712
146,0.00235017
146.25,0.0026062
146.5,0.00282092
146.75,0.00433488
147,0.00274735
147.25,0.00244568
147.5,0.00308112
147.75,0.00233577
148,0.00313874
148.25,0.00352372
148.5,0.00218675
148.75,0.00270782
149,0.00278562
149.25,0.00244074
149.5,0.00266237
149.75,0.0030773
150,0.00226135
150.25,0.0023745
150.5,0.00249277
150.75,0.00261167
151,0.00269834
151.25,0.00256144
151.5,0.00233
151.75,0.00180897
152,0.00260279
152.25,0.00170972
152.5,0.00140457
152.75,0.00192137
153,0.00192809
153.25,0.00231877
153.5,0.00178919
153.75,0.0014799
154,0.00186645
154.25,0.00177331
154.5,0.00189471
154.75,0.00176287
155,0.00177256
155.25,0.00162415
155.5,0.00163192
155.75,0.00196128
156,0.00127616
156.25,0.00181617
156.5,0.00120378
156.75,0.00138378
157,0.0012334
157.25,0.00134852
157.5,0.00156371
157.75,0.00138343
158,0.00104279
158.25,0.00133802
158.5,0.00118944
158.75,0.00196582
159,0.00103624
159.25,0.00149436
159.5,0.00167895
159.75,0.00231712
160,0.00203966
160.25,0.00131484
160.5,0.000954628
160.75,0.00101435
161,0.00101161
161.25,0.00117365
161.5,0.000867102
161.75,0.000956197
162,0.00107679
162.25,0.000972044
162.5,0.000822018
162.75,0.00144755
163,0.00156979
163.25,0.00127194
163.5,0.00122185
163.75,0.00093407
164,0.00097669
164.25,0.00197176
164.5,0.00102943
164.75,0.000879018
165,0.000739521
165.25,0.000576022
165.5,0.000595721
165.75,0.000985579
166,0.000592523
166.25,0.000860211
166.5,0.000742527
166.75,0.00129977
167,0.000820262
167.25,0.00034055
167.5,0.000971686
167.75,0.000855453
168,0.00130099
168.25,0.000459256
168.5,0.000808041
168.75,0.000956909
169,0.000850769
169.25,0.000472344
169.5,0.000717564
169.75,0.000401335
170,0.00115157
170.25,0.000421732
170.5,0.00113462
170.75,0.000705238
171,0.00102243
171.25,0.000381114
171.5,0.00110207
171.75,0.000948703
172,0.000573926
172.25,0.000398928
172.5,0.000320758
172.75,0.000874552
173,0.000621715
173.25,0.000766491
173.5,0.000653938
173.75,0.000277628
174,0.000502057
174.25,0.000542776
174.5,0.000760448
174.75,0.000614728
175,0.00025511
175.25,0.00026312
175.5,0.000585925
175.75,0.000420362
176,0.000430955
176.25,0.00038996
176.5,0.000193949
176.75,0.000229128
177,0.000238022
177.25,0.00100053
177.5,0.000358926
177.75,0.00024405
178,0.000353131
178.25,0.000400989
178.5,0.000382376
178.75,0.000542318
179,0.00070187
179.25,0.000352005
179.5,0.000224344
179.75,0.00059279
180,0.000230335
180.25,0.000381801
180.5,0.000483942
180.75,0.000550512
181,0.000643602
181.25,0.000302228
181.5,0.000238039
181.75,0.000452207
182,0.000167602
182.25,0.00040432
182.5,0.000246589
182.75,0.000134535
183,0.00044831
183.25,0.000371962
183.5,0.000126798
183.75,0.000286082
184,0.000478451
184.25,0.000189842
184.5,0.000201082
184.75,0.000154089
185,0.00013954
185.25,0.000179996
185.5,0.000270891
185.75,0.00101854
186,0.000493692
186.25,0.000311499
186.5,0.000326729
186.75,0.000239702
187,0.000266203
187.25,0.000148966
187.5,0.000131073
187.75,0.000258409
188,0.000945454
188.25,0.00091344
188.5,0.000224347
188.75,0.000148536
189,0.000330661
189.25,0.00048532
189.5,0.000496334
189.75,0.00018697
190,0.000189498
190.25,0.000224538
190.5,8.36542e-05
190.75,0.00013809
191,0.000117198
191.25,0.000407098
191.5,9.05829e-05
191.75,0.000278369
192,0.000829177
192.25,5.40086e-05
192.5,0.000198714
192.75,2.92611e-05
193,4.93985e-05
193.25,3.69116e-05
193.5,0.00025446
193.75,0.000186089
194,3.62834e-05
194.25,0.000137402
194.5,0.000144012
194.75,0.000529403
195,6.52787e-05
195.25,7.09949e-05
195.5,0.000164915
195.75,0.000106381
196,5.98408e-05
196.25,8.02066e-05
196.5,4.64086e-05
196.75,0.000134154
197,7.09992e-05
197.25,4.18906e-05
197.5,4.52406e-05
197.75,0.000535682
198,5.57524e-05
198.25,0.000220933
198.5,5.7423e-05
198.75,0.000327705
199,0.000170296
199.25,9.74704e-05
199.5,0.000121489
199.75,1.08013e-05
200,1.68266e-05
200.25,5.95299e-05
200.5,5.92294e-05
200.75,1.52103e-05
201,0.00670158
201.25,8.03243e-05
201.5,0.000127927
201.75,1.51139e-05
202,1.04839e-05
202.25,1.92148e-05
202.5,0.000563095
202.75,4.44507e-05
203,9.61977e-06
203.25,2.59099e-05
203.5,5.76342e-05
203.75,7.75982e-05
204,0.00106182
204.25,5.22803e-05
204.5,0.000113772
204.75,2.40662e-05
205,1
205.25,1.8139e-05
205.5,7.03416e-05
205.75,1
206,0.000184988
206.25,-nan
206.5,9.62698e-05
206.75,0.000128114
207,3.07234e-05
207.25,1
207.5,1.83465e-05
207.75,5.41498e-05
208,3.26441e-05
208.25,1.64163e-05
208.5,4.27193e-05
208.75,8.50494e-05
209,6.67028e-06
209.25,3.29861e-05
209.5,8.72899e-06
209.75,0.00332261
210,2.13439e-05
210.25,7.68186e-05
210.5,0.000411678
210.75,9.65179e-05
211,6.9118e-05
211.25,3.5063e-05
211.5,0.000252117
211.75,1.35487e-05
212,1
212.25,9.40744e-05
212.5,0.000179743
212.75,4.44032e-05
213,2.37623e-05
213.25,1.32016e-05
213.5,1.88825e-05
213.75,1.08342e-05
214,-nan
214.25,-nan
214.5,3.63068e-05
214.75,6.03377e-06
215,2.86001e-05
215.25,0.000489316
215.5,4.18034e-05
215.75,-nan
216,3.26579e-05
216.25,0.000197175
216.5,3.627e-05
216.75,-nan
217,-nan
217.25,-nan
217.5,0.000132265
217.75,6.33771e-06
218,-nan
218.25,0.00542085
218.5,0.00390765
218.75,-nan
219,-nan
219.25,6.18276e-05
219.5,-nan
219.75,-nan
220,-nan
220.25,7.97054e-06
220.5,-nan
220.75,9.61351e-06
221,-nan
221.25,-nan
221.5,-nan
221.75,-nan
222,1
222.25,3.79427e-06
222.5,-nan
222.75,-nan
223,-nan
223.25,8.78024e-05
223.5,-nan
223.75,-nan
224,-nan
224.25,-nan
224.5,-nan
224.75,3.32522e-05
225,1.88114e-05
225.25,-nan
225.5,-nan
225.75,5.92994e-06
