Time,mean_fraction_lambda_W
95,0.437358
95.25,0.521943
95.5,0.525785
95.75,0.562444
96,0.506572
96.25,0.497365
96.5,0.474369
96.75,0.482474
97,0.519856
97.25,0.472845
97.5,0.513041
97.75,0.533055
98,0.446932
98.25,0.536506
98.5,0.465496
98.75,0.462175
99,0.570291
99.25,0.503974
99.5,0.495472
99.75,0.442016
100,0.556099
100.25,0.570637
100.5,0.541244
100.75,0.469922
101,0.490628
101.25,0.3807
101.5,0.408433
101.75,0.433642
102,0.43034
102.25,0.499215
102.5,0.495541
102.75,0.471752
103,0.486334
103.25,0.487127
103.5,0.457762
103.75,0.523482
104,0.447946
104.25,0.548173
104.5,0.489641
104.75,0.51889
105,0.500914
105.25,0.500863
105.5,0.516575
105.75,0.525983
106,0.576265
106.25,0.602621
106.5,0.532605
106.75,0.591679
107,0.416864
107.25,0.497982
107.5,0.474387
107.75,0.5013
108,0.418026
108.25,0.451005
108.5,0.545848
108.75,0.563732
109,0.486987
109.25,0.57413
109.5,0.546564
109.75,0.450685
110,0.568248
110.25,0.507329
110.5,0.4541
110.75,0.574644
111,0.573037
111.25,0.486289
111.5,0.513858
111.75,0.591357
112,0.422091
112.25,0.483574
112.5,0.458807
112.75,0.429529
113,0.583032
113.25,0.50154
113.5,0.48597
113.75,0.532893
114,0.476089
114.25,0.443799
114.5,0.532232
114.75,0.581367
115,0.565485
115.25,0.484124
115.5,0.493126
115.75,0.583319
116,0.538337
116.25,0.521604
116.5,0.557104
116.75,0.5067
117,0.491743
117.25,0.543836
117.5,0.589059
117.75,0.465923
118,0.473991
118.25,0.568639
118.5,0.511711
118.75,0.573602
119,0.485253
119.25,0.601398
119.5,0.551105
119.75,0.533198
120,0.525305
120.25,0.444828
120.5,0.563398
120.75,0.485706
121,0.425835
121.25,0.522774
121.5,0.545988
121.75,0.468314
122,0.522163
122.25,0.560057
122.5,0.474762
122.75,0.499244
123,0.400204
123.25,0.505664
123.5,0.538007
123.75,0.542158
124,0.466031
124.25,0.463101
124.5,0.672375
124.75,0.535284
125,0.522644
125.25,0.524439
125.5,0.569125
125.75,0.465556
126,0.421437
126.25,0.411971
126.5,0.506972
126.75,0.41216
127,0.501292
127.25,0.560815
127.5,0.450078
127.75,0.554064
128,0.537422
128.25,0.520992
128.5,0.474606
128.75,0.445741
129,0.553718
129.25,0.558135
129.5,0.605796
129.75,0.546208
130,0.491199
130.25,0.413322
130.5,0.557714
130.75,0.516844
131,0.506726
131.25,0.557072
131.5,0.467249
131.75,0.649245
132,0.682302
132.25,0.596152
132.5,0.457846
132.75,0.483608
133,0.541371
133.25,0.457379
133.5,0.460446
133.75,0.499017
134,0.386926
134.25,0.44977
134.5,0.599878
134.75,0.479335
135,0.473962
135.25,0.462994
135.5,0.542339
135.75,0.488356
136,0.47102
136.25,0.402998
136.5,0.437891
136.75,0.505535
137,0.424637
137.25,0.602295
137.5,0.500291
137.75,0.587062
138,0.460655
138.25,0.330245
138.5,0.402993
138.75,0.552972
139,0.487617
139.25,0.586081
139.5,0.566295
139.75,0.515243
140,0.591271
140.25,0.535558
140.5,0.492983
140.75,0.499908
141,0.454897
141.25,0.552021
141.5,0.571689
141.75,0.633748
142,0.482479
142.25,0.493997
142.5,0.531534
142.75,0.459394
143,0.596977
143.25,0.516543
143.5,0.543139
143.75,0.523153
144,0.473072
144.25,0.592623
144.5,0.522885
144.75,0.497971
145,0.547241
145.25,0.539479
145.5,0.502534
145.75,0.492572
146,0.496635
146.25,0.47543
146.5,0.476738
146.75,0.510112
147,0.399948
147.25,0.411886
147.5,0.515445
147.75,0.522389
148,0.487102
148.25,0.595677
148.5,0.636859
148.75,0.609734
149,0.626264
149.25,0.517908
149.5,0.511403
149.75,0.531286
150,0.508383
150.25,0.503699
150.5,0.531649
150.75,0.519361
151,0.575514
151.25,0.458873
151.5,0.559776
151.75,0.520628
152,0.555228
152.25,0.472042
152.5,0.330609
152.75,0.504661
153,0.537003
153.25,0.554255
153.5,0.433581
153.75,0.579736
154,0.557185
154.25,0.5872
154.5,0.52653
154.75,0.446666
155,0.601307
155.25,0.537412
155.5,0.599444
155.75,0.431124
156,0.59655
156.25,0.454702
156.5,0.500335
156.75,0.559227
157,0.479186
157.25,0.651306
157.5,0.594821
157.75,0.628695
158,0.535778
158.25,0.577614
158.5,0.448741
158.75,0.559586
159,0.436824
159.25,0.483775
