Time,susceptible_lambda
90.5,302.524
90.75,259.561
91,255.753
91.25,250.566
91.5,242.271
91.75,240.563
92,244.203
92.25,244.424
92.5,258.209
92.75,247.303
93,260.34
93.25,261.267
93.5,257.421
93.75,260.371
94,279.991
94.25,281.667
94.5,286.55
94.75,283.766
95,282.359
95.25,247.177
95.5,248.163
95.75,255.971
96,267.979
96.25,262.854
96.5,287.757
96.75,268.875
97,229.247
97.25,246.985
97.5,229.995
97.75,242.942
98,272.75
98.25,320.389
98.5,303.218
98.75,308.382
99,290.491
99.25,294.329
99.5,291.437
99.75,296.753
100,306.291
100.25,277.92
100.5,271.678
100.75,259.647
101,279.779
101.25,292.536
101.5,301.534
101.75,272.661
102,281.531
102.25,294.041
102.5,283.593
102.75,276.916
103,281.183
103.25,287.943
103.5,287.591
103.75,279.055
104,315.036
104.25,317.273
104.5,282.472
104.75,286.495
105,263.174
105.25,247.41
105.5,247.017
105.75,239.38
106,258.091
106.25,267.857
106.5,250.485
106.75,238.306
107,266.145
107.25,243.465
107.5,286.312
107.75,290.905
108,310.786
108.25,318.18
108.5,306.977
108.75,292.158
109,308.993
109.25,339.818
109.5,323.18
109.75,295.955
110,267.795
110.25,246.636
110.5,259.498
110.75,297.623
111,301.517
111.25,274.402
111.5,277.393
111.75,290.906
112,280.053
112.25,279.502
112.5,269.585
112.75,269.451
113,271.366
113.25,264.633
113.5,282.683
113.75,267.712
114,263.302
114.25,266.372
114.5,270.062
114.75,273.8
115,285.235
115.25,305.308
115.5,288.715
115.75,282.392
116,277.556
116.25,303.706
116.5,295.126
116.75,307.349
117,296.197
117.25,313.401
117.5,329.296
117.75,330.177
118,313.958
118.25,298.054
118.5,292.273
118.75,299.444
119,299.968
119.25,316.47
119.5,339.861
119.75,321.704
120,306.099
120.25,336.423
120.5,316.567
120.75,315.161
121,308.413
121.25,283.603
121.5,269.572
121.75,277.334
122,267.366
122.25,276.321
122.5,309.43
122.75,289.563
123,289.919
123.25,262.259
123.5,251.726
123.75,259.696
124,289.029
124.25,286.652
124.5,290.183
124.75,271.453
125,272.838
125.25,278.667
125.5,272.493
125.75,278.228
126,287.997
126.25,308.968
126.5,319.651
126.75,309.833
127,313.285
127.25,302.95
127.5,320.394
127.75,308.209
128,308.023
128.25,327.92
128.5,316.542
128.75,334.957
129,308.857
129.25,334.758
129.5,332.29
129.75,359.322
130,360.661
130.25,339.113
130.5,329.243
130.75,311.455
131,291.812
131.25,320.974
131.5,284.341
131.75,289.866
132,302.128
132.25,308.337
132.5,283.773
132.75,310.385
133,282.392
133.25,291.536
133.5,305.746
133.75,300.068
134,309.879
134.25,295.698
134.5,304.875
134.75,291.022
135,279.503
135.25,315.579
135.5,321.673
135.75,317.379
136,317.617
136.25,305.671
136.5,288.043
136.75,284.981
137,300.153
137.25,301.711
137.5,296.377
137.75,313.221
138,299.995
138.25,308.779
138.5,301.712
138.75,283.745
139,311.615
139.25,332.523
139.5,313.001
139.75,316.34
140,318.649
140.25,332.71
140.5,321.115
140.75,324.824
141,311.632
141.25,309.317
141.5,311.255
141.75,322.838
142,311.225
142.25,317.903
142.5,331.745
142.75,314.334
143,337.75
143.25,334.945
143.5,313.658
143.75,317.702
144,311.439
144.25,315.953
144.5,343.402
144.75,288.48
145,285.713
145.25,304.226
145.5,306.36
145.75,318.153
146,326.302
146.25,308.249
146.5,276.098
146.75,283.197
147,323.409
147.25,302.512
147.5,350.862
147.75,323.313
148,304.066
148.25,306.105
148.5,307.066
148.75,314.784
149,312.626
149.25,357.693
149.5,333.204
149.75,313.206
150,318.986
150.25,316.916
150.5,328.232
150.75,321.435
151,301.642
151.25,289.659
151.5,313.852
151.75,305.045
152,322.145
152.25,319.521
152.5,295.241
152.75,290.665
153,297.5
153.25,293.318
153.5,284.503
153.75,295.386
154,280.257
154.25,299.654
154.5,300.062
154.75,323.387
155,334.189
155.25,335.878
155.5,348.605
155.75,334.087
156,338.243
156.25,347.173
156.5,345.65
156.75,321.724
157,354.939
157.25,353.636
157.5,355.472
157.75,338.214
158,315.794
158.25,319.893
158.5,342.947
158.75,351.467
159,371.566
159.25,366.022
159.5,341.39
159.75,320.982
160,315.412
160.25,298.978
160.5,303.898
160.75,306.985
161,307.065
161.25,330.362
161.5,327.613
161.75,331.678
162,327.217
162.25,290.664
162.5,281.904
162.75,296.403
