Time,susceptible_lambda
359.25,78.5343
359.5,73.3969
359.75,80.3764
360,80.9147
360.25,81.8894
360.5,75.0479
360.75,75.9258
361,70.4676
361.25,62.4367
361.5,64.1075
361.75,64.4249
362,64.7085
362.25,65.4868
362.5,86.3215
362.75,90.5467
363,93.2343
363.25,95.3813
363.5,84.5425
363.75,87.3467
364,84.9132
364.25,74.7878
364.5,68.2965
364.75,66.7544
365,67.3995
365.25,65.1109
365.5,62.4516
365.75,59.9838
366,52.6639
366.25,72.1274
366.5,73.3306
366.75,75.987
367,77.5664
367.25,60.6267
367.5,61.5908
367.75,58.8282
368,65.4536
368.25,60.4633
368.5,63.0917
368.75,67.4445
369,62.0406
369.25,71.3458
369.5,71.0678
369.75,70.4405
370,66.3065
370.25,61.4219
370.5,53.9184
370.75,54.5722
371,62.6685
371.25,72.4211
371.5,71.3305
371.75,73.0764
372,78.5997
372.25,70.5483
372.5,75.3501
372.75,62.5136
373,68.9012
373.25,64.2878
373.5,52.6186
373.75,51.1128
374,48.3248
374.25,50.9985
374.5,47.4942
374.75,67.4386
375,74.2181
375.25,71.2764
375.5,98.2876
375.75,71.0438
376,70.4247
376.25,78.7282
376.5,77.974
376.75,65.5729
377,62.5032
377.25,62.1647
377.5,64.1348
377.75,67.6324
378,70.2074
378.25,76.9001
378.5,69.8245
378.75,69.0497
379,67.5287
379.25,58.0902
379.5,58.4458
379.75,56.724
380,53.0922
380.25,50.672
380.5,51.657
380.75,61.6062
381,54.9763
381.25,50.6537
381.5,59.759
381.75,52.9527
382,50.0325
382.25,50.5592
382.5,61.8409
382.75,65.2972
383,64.6354
383.25,60.2576
383.5,54.1885
383.75,62.8696
384,59.397
384.25,58.0504
384.5,54.4484
384.75,51.9853
385,53.5427
385.25,50.1985
385.5,61.0176
385.75,64.8261
386,69.0629
386.25,62.3771
386.5,57.4455
386.75,58.8032
387,51.086
387.25,48.1054
387.5,43.9146
387.75,44.2504
388,50.3313
388.25,52.1327
388.5,48.2174
388.75,48.5051
389,50.0783
389.25,48.8296
389.5,46.5338
389.75,40.2669
390,33.7027
390.25,42.9439
390.5,48.0547
390.75,41.456
391,42.4284
391.25,44.5273
391.5,41.4784
391.75,44.2735
392,46.5197
392.25,41.2489
392.5,41.0117
392.75,35.9228
393,39.3642
393.25,37.5437
393.5,38.8134
393.75,37.6285
394,45.1862
394.25,51.4847
394.5,55.2661
394.75,53.0734
395,54.9252
395.25,54.5982
395.5,49.5346
395.75,39.3753
396,43.3524
396.25,35.1342
396.5,29.0227
396.75,26.4296
397,22.4267
397.25,25.8042
397.5,25.4217
397.75,30.3652
398,33.8305
398.25,27.1153
398.5,29.5741
398.75,23.3718
399,33.4449
399.25,30.2922
399.5,34.8133
399.75,31.8254
400,28.7636
400.25,30.761
400.5,27.5548
400.75,29.1076
401,26.1055
401.25,37.6999
401.5,37.3755
401.75,29.8987
402,33.6377
402.25,46.2135
402.5,36.9517
402.75,46.5587
403,34.0602
403.25,34.2558
403.5,36.3774
403.75,36.3051
404,31.8779
404.25,30.83
404.5,29.452
404.75,30.675
405,27.5514
405.25,31.3507
405.5,33.4349
405.75,32.6367
406,31.0437
406.25,29.2194
406.5,34.1651
406.75,28.5556
407,28.2803
407.25,34.1084
407.5,24.6077
407.75,22.3164
408,23.6861
408.25,23.4479
408.5,26.445
408.75,38.5274
409,39.7946
409.25,35.7706
409.5,40.0353
409.75,43.0372
410,42.2338
410.25,43.6822
410.5,41.9217
410.75,39.1204
411,26.2625
411.25,20.0078
411.5,15.9867
411.75,12.7047
412,15.3544
412.25,16.2737
412.5,15.0562
412.75,15.0437
413,18.0765
413.25,24.2871
413.5,29.2646
413.75,31.3145
414,29.1747
414.25,26.9823
414.5,23.6529
414.75,23.8579
415,23.7235
415.25,23.8654
415.5,27.8148
415.75,28.0439
416,26.2977
416.25,27.1549
416.5,26.2497
416.75,23.444
417,22.8636
417.25,20.2486
417.5,22.326
417.75,24.2896
418,48.4709
418.25,35.1524
418.5,36.8359
418.75,33.5106
419,32.8184
419.25,36.0597
419.5,34.5651
419.75,32.0098
420,24.192
420.25,24.1503
420.5,33.6942
420.75,27.9353
421,28.4597
421.25,36.1389
421.5,31.2931
421.75,30.2374
422,26.3888
422.25,30.222
422.5,28.9877
422.75,25.3168
423,21.4386
423.25,20.55
423.5,22.7359
423.75,23.1759
424,22.4656
424.25,29.385
424.5,26.9441
424.75,20.2542
425,19.923
425.25,29.0264
425.5,21.4819
425.75,26.1915
426,31.6987
426.25,29.2715
426.5,36.589
426.75,38.9926
427,32.1211
427.25,30.2409
427.5,30.6953
427.75,26.4349
428,26.4925
428.25,19.7662
428.5,25.6876
428.75,21.4056
429,23.4783
429.25,28.3317
429.5,28.7173
429.75,22.8298
430,24.7145
430.25,25.8252
430.5,19.2384
430.75,23.5463
431,24.3299
431.25,27.2589
431.5,24.4509
431.75,21.3937
432,17.0161
432.25,14.1046
432.5,14.1873
432.75,15.9235
433,16.5441
433.25,25.157
433.5,24.8913
433.75,24.6542
434,22.2726
434.25,21.2841
434.5,16.1481
434.75,13.6482
435,13.9853
435.25,18.3619
435.5,22.3938
435.75,27.8617
436,27.4959
436.25,42.1537
436.5,30.4546
436.75,30.8466
437,26.7302
437.25,24.1177
437.5,20.8733
437.75,20.4462
438,30.3871
438.25,24.486
438.5,23.5542
438.75,23.0553
439,18.6274
439.25,19.1171
439.5,25.8438
439.75,23.9116
440,19.358
440.25,18.6035
440.5,16.4864
440.75,16.1202
441,14.6554
441.25,13.6327
441.5,17.1274
441.75,15.8461
442,17.4846
442.25,23.0477
442.5,22.224
442.75,18.9172
443,19.8424
443.25,17.502
443.5,14.6485
443.75,14.4063
444,9.83924
444.25,11.4509
444.5,20.0946
444.75,23.4895
445,18.7443
445.25,23.4064
445.5,16.9269
445.75,17.7804
446,18.2112
