Time,mean_fraction_lambda_H
412,0.499934
412.25,0
412.5,0.599996
412.75,0
413,0.652912
413.25,0.499995
413.5,0.999974
413.75,0.499985
414,0.0832784
414.25,0.166652
414.5,0.249999
414.75,0.199967
415,0.199999
415.25,0.285712
415.5,0.333317
415.75,0.666659
416,0.499995
416.25,0.399991
416.5,0.555552
416.75,0.249999
417,0.142856
417.25,0.399999
417.5,0
417.75,0.999977
418,0.399992
418.25,0.333333
418.5,0.142857
418.75,0.230766
419,0.299888
419.25,0.0769211
419.5,0.333328
419.75,0.0769229
420,0
420.25,0.666665
420.5,0.374988
420.75,0.22222
421,0.199999
421.25,0.444308
421.5,0.666662
421.75,0.665989
422,0.545443
422.25,0.333329
422.5,0.499997
422.75,0.166663
423,0.749928
423.25,0
423.5,0.399996
423.75,0.199951
424,0.299999
424.25,0.199991
424.5,0.333332
424.75,0.66665
425,0.499992
425.25,0
425.5,0.416663
425.75,0.599993
426,0.714284
426.25,0.555534
426.5,0.666663
426.75,0.499999
427,0.30765
427.25,0.30769
427.5,0.249996
427.75,0.454537
428,0
428.25,0.333245
428.5,0.749994
428.75,0.833329
429,0.249997
429.25,0.333325
429.5,0
429.75,0.416659
430,0.333329
430.25,0.374998
430.5,0
430.75,0.199993
431,0.249097
431.25,0.333331
431.5,0.285714
431.75,0.62499
432,0.333322
432.25,0.249997
432.5,0
432.75,0.999987
433,0.666651
433.25,0
433.5,0.499995
433.75,0.571424
434,0.499861
434.25,0
434.5,0.624963
434.75,0.499988
435,0
435.25,0
435.5,0.571397
435.75,0
436,0.142856
436.25,0.799451
436.5,0.230769
436.75,0.428561
437,0.285705
437.25,0.111104
437.5,0.749992
437.75,0
438,0.199999
438.25,0.333333
438.5,0.249984
438.75,0.666655
439,0.499996
439.25,0.249998
439.5,0
439.75,0.25
440,0.166664
440.25,0.272725
440.5,0.74999
440.75,0.499999
441,0.399989
441.25,0
441.5,0.799971
441.75,0.599996
442,0
442.25,0.597896
442.5,0.999975
442.75,0.333324
443,0.499999
443.25,0.124999
443.5,0.499997
443.75,0
444,0.714279
444.25,0
444.5,0.999988
444.75,0.74995
445,0.799986
445.25,0.666652
445.5,0.499994
445.75,0.599995
446,0.399995
446.25,0.59983
446.5,0.666617
446.75,0.374986
447,0
447.25,0.499997
447.5,0
447.75,0.333329
448,0.399996
448.25,0.499999
448.5,0.166665
448.75,0.499987
449,0.999999
449.25,0.59999
449.5,0.999997
449.75,0
450,0.749999
450.25,0.666652
450.5,0.571423
450.75,0.499996
451,0.249999
451.25,0.599987
451.5,0
451.75,0.499978
452,0
452.25,0.499997
452.5,0
452.75,0.42855
453,0.49999
453.25,0.499996
453.5,0.249999
453.75,0.333318
454,0.749994
454.25,0
454.5,0
454.75,0.666665
455,0.599997
455.25,0.499879
455.5,0.333331
455.75,0.333331
456,0.249998
456.25,0.666663
456.5,0.333331
456.75,0.249999
457,0.666665
457.25,0.333331
457.5,0.285714
457.75,0.999996
458,0
458.25,0.249999
458.5,0.399604
458.75,0.666666
459,0
459.25,0.499999
459.5,0.166667
459.75,0.333333
460,0
460.25,0.333333
460.5,0.749994
460.75,0
461,0.499999
461.25,0
461.5,0
461.75,0.999995
462,0.499999
462.25,0.2
462.5,0.499987
462.75,0.333324
463,0.666664
463.25,0.749993
463.5,0.999988
463.75,0.333332
464,0
464.25,0.333333
464.5,0.59998
464.75,0.666666
465,0
465.25,0.25
465.5,0
465.75,0
466,0.999963
466.25,0
466.5,0
466.75,0
467,0.499985
467.25,1
467.5,0
467.75,0.499999
468,0.999971
468.25,0
468.5,0
468.75,0.333332
469,0.42857
469.25,0.199999
469.5,0.499998
469.75,0
470,0
470.25,0
470.5,0.249998
470.75,0
471,0.333332
471.25,0.999999
471.5,0
471.75,0.999995
472,0
472.25,0.499999
472.5,0.999998
472.75,0.499996
473,0.999998
473.25,0
473.5,0
473.75,0.249998
474,0.499997
474.25,0.999984
474.5,0.499997
474.75,0.499932
475,0.249998
475.25,0.249998
475.5,0
475.75,0
476,0
476.25,0.249998
476.5,0.499993
476.75,0.999949
477,0
477.25,0
477.5,0.999997
477.75,0.499995
478,0
478.25,0
478.5,0.999937
478.75,0
479,0.484386
479.25,0.5
479.5,0
479.75,0
480,0.6
480.25,0
480.5,0.333333
480.75,0.999999
481,0
481.25,0.999994
481.5,0.999996
481.75,0
482,0.333302
482.25,0
482.5,0
482.75,0
483,0
483.25,0
483.5,0
483.75,0.25
484,0
484.25,0
484.5,0.332973
484.75,0
485,0.666653
485.25,0.249999
485.5,0.999998
485.75,0
486,0.999954
486.25,0.799999
486.5,0
486.75,0.749996
487,0
487.25,0
487.5,0
487.75,0
488,0.666664
488.25,0.333331
488.5,0
488.75,0
489,0.666664
489.25,0
489.5,0.333333
489.75,0
490,0
490.25,0
490.5,0
490.75,0
491,0.749998
491.25,0
491.5,0.999994
491.75,0.5
492,0.499995
492.25,0.333333
492.5,0
492.75,0
493,0.999999
493.25,0.499136
493.5,0
493.75,0.4
494,0
494.25,0
494.5,0.333333
494.75,0.333333
495,0
495.25,0
495.5,0
495.75,0
496,0.333333
496.25,0.999998
496.5,0
496.75,0
497,0.249949
497.25,0
497.5,0
497.75,0.333333
498,0
498.25,0.999984
498.5,0
498.75,0
499,0.499984
499.25,0.333326
499.5,0
499.75,0.249999
500,0.666662
500.25,0.499991
500.5,0.499985
500.75,0
501,0
501.25,0
501.5,0.666666
501.75,0.5
502,0
502.25,0.333324
502.5,0.499989
502.75,0.165921
503,0.499999
503.25,0.749998
503.5,0.999986
503.75,0.199999
504,0.999997
504.25,0.749953
504.5,0.399998
504.75,0.499999
505,0.333333
505.25,0.333327
505.5,0.499996
505.75,0.399993
506,0
506.25,0.399998
506.5,0
506.75,0
507,0.499995
507.25,0.499997
507.5,0.142857
507.75,0.555551
508,0.333332
508.25,0.199999
508.5,0.499996
508.75,0.333331
509,0.999914
509.25,0.249999
509.5,0.599997
509.75,0.99999
510,0.333323
510.25,0.166665
510.5,0.199997
510.75,0.166667
511,0.833285
511.25,0
511.5,0.428352
511.75,0.499995
512,0.299995
512.25,0.333318
512.5,0.5
512.75,0.249999
513,0.166665
513.25,0.33333
513.5,0.399998
513.75,0.545441
514,0.333154
514.25,0.399995
514.5,0
514.75,0.416637
515,0.249994
515.25,0.333332
515.5,0.384549
515.75,0.230763
516,0.399965
516.25,0.499996
516.5,0.666657
516.75,0
517,0
517.25,0.199998
517.5,0.166665
517.75,0.499997
518,0.285714
518.25,0.199995
518.5,0.799988
518.75,0.285711
519,0.16666
519.25,0.142855
519.5,0.2
519.75,0.799969
520,0.2
520.25,0.818168
520.5,0.285682
520.75,0.499982
521,0.166666
521.25,0.249995
521.5,0.499997
521.75,0.428563
522,0
522.25,0.399993
522.5,0.499998
522.75,0.749997
523,0
523.25,0.333332
523.5,0.2
523.75,0.333333
524,0
524.25,0
524.5,0.499996
524.75,0.333329
525,0.799997
525.25,0
525.5,0.499999
525.75,0.142857
526,0.499999
526.25,0.249983
526.5,0
526.75,0
527,0
527.25,0
527.5,0.666617
527.75,0.999997
528,0.666666
528.25,0.799993
528.5,0.714283
528.75,0.599984
529,0.249999
529.25,0
529.5,0.666666
529.75,0.999999
530,0
530.25,0.25
530.5,0.749991
530.75,0.749986
531,0.499999
531.25,0.249997
531.5,0.333329
531.75,0.499999
532,0
532.25,0.499999
532.5,0.999999
532.75,0.999996
533,0.749995
533.25,0.333332
533.5,0.999999
533.75,0
534,0.249999
534.25,0.499995
534.5,0
534.75,0.999999
535,0.25
535.25,0.499998
535.5,0
535.75,0.499999
536,0
536.25,0.333327
536.5,0.499999
536.75,0
537,0.999994
537.25,0
537.5,0
537.75,0.499997
538,0
538.25,0.333331
538.5,0
538.75,0.499998
539,0
539.25,0.333332
539.5,0
539.75,0.499997
540,0
540.25,0.499999
540.5,0
540.75,0.2
541,0.333333
541.25,0
541.5,0
541.75,0.333329
542,0.666666
542.25,0.333333
542.5,0
542.75,0.999993
543,0.999988
543.25,0
543.5,0
543.75,0
544,0
544.25,0
544.5,0.499999
544.75,0.999999
545,0
545.25,0.666665
545.5,0
545.75,0.5
546,0
546.25,0
546.5,0
546.75,0
547,0
547.25,0
547.5,0.333333
547.75,0.499996
548,0
548.25,0.399999
548.5,0.499998
548.75,0.999997
549,0.499998
549.25,0
549.5,0.499973
549.75,0.999999
550,0.999976
550.25,0
550.5,0
550.75,0
551,0.713877
551.25,0
551.5,0.499999
551.75,0.333331
552,0
552.25,0.999999
552.5,0
552.75,0.499998
553,0.999992
553.25,0
553.5,0
553.75,0.999999
554,0.5
554.25,0.999999
554.5,0.999996
554.75,0
555,0
555.25,0.666666
555.5,0.2
555.75,0
556,0.333333
556.25,0
556.5,0
556.75,0
557,0
557.25,0.333333
557.5,0
557.75,0
558,0
558.25,0.999994
558.5,0.499999
558.75,0.999997
559,0
559.25,0
559.5,0.499997
559.75,0.999999
560,0
560.25,0
560.5,0
560.75,0
561,0
561.25,0
561.5,0
561.75,0
562,0
562.25,0.999998
562.5,0.999998
562.75,0
563,0.499997
563.25,0.999994
563.5,0
563.75,0.49999
564,0
564.25,0
564.5,0
564.75,0
565,0.333333
565.25,0
565.5,0
565.75,0
566,0
566.25,0
566.5,0
566.75,0
567,0
567.25,0.999997
567.5,0.499999
567.75,0.666653
568,0
568.25,0
568.5,0.999995
568.75,0.999994
569,0.333327
569.25,0
569.5,0.333332
569.75,0.999998
570,0.666661
570.25,0
570.5,0.5
570.75,0
571,0
571.25,0
571.5,0
571.75,0.999998
572,0.999998
572.25,0.999996
572.5,0.999999
572.75,0.499998
573,0
573.25,0
573.5,0
573.75,0.333333
574,0.66666
574.25,0
574.5,0
574.75,0.499999
575,0.499999
575.25,0.499999
575.5,0
575.75,0
576,0
576.25,0.999999
576.5,0
576.75,0
577,0
577.25,0.499998
577.5,0
577.75,0
578,0
578.25,0
578.5,0.999998
578.75,0.666655
579,0
579.25,0.333331
579.5,0
579.75,0
580,0.999998
580.25,0
580.5,0.999995
580.75,0
581,0
581.25,0
581.5,0.999998
581.75,0.999996
582,0.999999
582.25,0
582.5,0
582.75,0
583,0
583.25,0
583.5,0
583.75,0
584,0
584.25,0
584.5,0
584.75,0
585,0
585.25,0
585.5,0.999999
585.75,0
586,0
586.25,0
586.5,0.499998
586.75,0
587,0
587.25,0
587.5,0
587.75,0
588,0
588.25,0
588.5,0
588.75,0
589,0.993784
589.25,0.499998
589.5,0
589.75,0
590,0
590.25,0
590.5,0
590.75,0
591,0
591.25,0
591.5,0
591.75,0
592,0
592.25,0
592.5,0
592.75,0
593,0
593.25,0
593.5,0
593.75,0
594,0
594.25,0
594.5,0
594.75,0
595,0
595.25,0
595.5,0
595.75,0
596,0
596.25,0
596.5,1
596.75,0
597,0
597.25,0
597.5,0
597.75,0
598,0
598.25,0
598.5,0
598.75,0
599,0.333333
599.25,0
599.5,0
599.75,0
