Time,mean_fraction_lambda_H
95.5,0.268324
95.75,0.277157
96,0.364541
96.25,0.399901
96.5,0.399559
96.75,0.372949
97,0.32878
97.25,0.422666
97.5,0.375938
97.75,0.364185
98,0.412113
98.25,0.351968
98.5,0.402286
98.75,0.426387
99,0.320806
99.25,0.385554
99.5,0.305935
99.75,0.305699
100,0.318102
100.25,0.374941
100.5,0.314679
100.75,0.38697
101,0.299892
101.25,0.46122
101.5,0.40261
101.75,0.430721
102,0.376426
102.25,0.421701
102.5,0.348128
102.75,0.310205
103,0.298138
103.25,0.459967
103.5,0.379559
103.75,0.358141
104,0.424014
104.25,0.285666
104.5,0.328746
104.75,0.319994
105,0.337677
105.25,0.377695
105.5,0.333146
105.75,0.395414
106,0.26823
106.25,0.328173
106.5,0.371666
106.75,0.332324
107,0.478092
107.25,0.437822
107.5,0.322381
107.75,0.385604
108,0.479381
108.25,0.472874
108.5,0.36472
108.75,0.293239
109,0.394534
109.25,0.387007
109.5,0.341918
109.75,0.454447
110,0.263117
110.25,0.276506
110.5,0.379167
110.75,0.227254
111,0.304238
111.25,0.403718
111.5,0.361351
111.75,0.298905
112,0.44098
112.25,0.384253
112.5,0.394302
112.75,0.377887
113,0.34841
113.25,0.389187
113.5,0.283186
113.75,0.384512
114,0.337037
114.25,0.459661
114.5,0.332455
114.75,0.245251
115,0.321347
115.25,0.33731
115.5,0.430482
115.75,0.342584
116,0.33813
116.25,0.389466
116.5,0.280457
116.75,0.32343
117,0.40268
117.25,0.32389
117.5,0.297207
117.75,0.428436
118,0.409663
118.25,0.329266
118.5,0.410589
118.75,0.357078
119,0.410223
119.25,0.304288
119.5,0.351596
119.75,0.325757
120,0.298467
120.25,0.410458
120.5,0.316693
120.75,0.420145
121,0.381314
121.25,0.366879
121.5,0.356724
121.75,0.388782
122,0.35175
122.25,0.354108
122.5,0.378439
122.75,0.38242
123,0.50702
123.25,0.381835
123.5,0.343481
123.75,0.299661
124,0.423608
124.25,0.455125
124.5,0.267478
124.75,0.338074
125,0.324903
125.25,0.402872
125.5,0.304645
125.75,0.473541
126,0.430134
126.25,0.420478
126.5,0.407077
126.75,0.445211
127,0.349796
127.25,0.30354
127.5,0.366885
127.75,0.328748
128,0.370057
128.25,0.337366
128.5,0.4412
128.75,0.388078
129,0.348674
129.25,0.290798
129.5,0.340028
129.75,0.341061
130,0.328901
130.25,0.385979
130.5,0.299655
130.75,0.344209
131,0.268013
131.25,0.284042
131.5,0.372431
131.75,0.314908
132,0.223594
132.25,0.253269
132.5,0.414331
132.75,0.376971
133,0.370158
133.25,0.42244
133.5,0.397115
133.75,0.449113
134,0.424127
134.25,0.415075
134.5,0.209652
134.75,0.393824
135,0.328265
135.25,0.460316
135.5,0.362111
135.75,0.389465
136,0.380772
136.25,0.49272
136.5,0.431584
136.75,0.337846
137,0.455432
137.25,0.336971
137.5,0.379877
137.75,0.28509
138,0.482621
138.25,0.522779
138.5,0.448487
138.75,0.399618
139,0.393877
139.25,0.323704
139.5,0.305852
139.75,0.394351
140,0.333276
140.25,0.311355
140.5,0.399957
140.75,0.403407
141,0.366683
141.25,0.306442
141.5,0.348853
141.75,0.324585
142,0.346559
142.25,0.384523
142.5,0.387349
142.75,0.433399
143,0.30563
143.25,0.401396
143.5,0.345975
143.75,0.371359
144,0.45931
144.25,0.324629
144.5,0.390218
144.75,0.406393
145,0.358046
145.25,0.316527
145.5,0.39448
145.75,0.356988
146,0.354457
146.25,0.424003
146.5,0.433384
146.75,0.31435
147,0.478132
147.25,0.381473
147.5,0.355175
147.75,0.391989
148,0.415333
148.25,0.281343
148.5,0.22582
148.75,0.246106
149,0.25263
149.25,0.431961
149.5,0.363141
149.75,0.393914
150,0.355648
150.25,0.331703
150.5,0.321237
150.75,0.319575
151,0.290222
151.25,0.434947
151.5,0.372472
151.75,0.354094
152,0.356225
152.25,0.389492
152.5,0.532086
152.75,0.327363
153,0.310257
153.25,0.290429
153.5,0.390019
153.75,0.312329
154,0.386497
154.25,0.334352
154.5,0.372738
154.75,0.461912
155,0.274092
155.25,0.365514
155.5,0.34119
155.75,0.44803
156,0.278853
156.25,0.35344
156.5,0.313719
156.75,0.285156
157,0.357019
157.25,0.239105
157.5,0.323049
157.75,0.284737
158,0.367405
158.25,0.306514
158.5,0.387702
158.75,0.365493
159,0.38076
159.25,0.411396
159.5,0.461414
159.75,0.587814
160,0.402317
160.25,0.364729
160.5,0.35277
160.75,0.473128
161,0.378665
161.25,0.422275
161.5,0.359618
161.75,0.410314
162,0.467322
162.25,0.428798
162.5,0.470344
162.75,0.405687
163,0.475223
163.25,0.424539
163.5,0.420217
163.75,0.506254
164,0.451381
164.25,0.440188
164.5,0.350723
164.75,0.391016
165,0.337415
165.25,0.396285
165.5,0.399714
165.75,0.29173
166,0.439642
166.25,0.393142
166.5,0.457615
166.75,0.434639
167,0.32862
167.25,0.465778
167.5,0.476827
167.75,0.369464
168,0.420825
168.25,0.411521
168.5,0.39988
168.75,0.348424
169,0.374835
169.25,0.328099
169.5,0.355846
169.75,0.438218
170,0.266485
170.25,0.32832
170.5,0.416159
170.75,0.457098
171,0.380074
171.25,0.368948
171.5,0.363471
171.75,0.327979
172,0.420427
172.25,0.357902
172.5,0.39166
172.75,0.350008
173,0.426412
173.25,0.399305
173.5,0.404374
173.75,0.404672
174,0.454075
174.25,0.283743
174.5,0.45438
174.75,0.370124
175,0.382833
175.25,0.434082
175.5,0.382641
175.75,0.397796
176,0.322726
176.25,0.313094
176.5,0.380069
176.75,0.417474
177,0.380851
177.25,0.397067
177.5,0.264374
177.75,0.298133
178,0.366204
178.25,0.323926
178.5,0.333251
178.75,0.289121
179,0.374815
179.25,0.390228
179.5,0.270482
179.75,0.275384
180,0.390862
180.25,0.374814
180.5,0.320432
180.75,0.385226
181,0.305791
181.25,0.369442
181.5,0.415952
181.75,0.410072
182,0.316508
182.25,0.369075
182.5,0.444257
182.75,0.361153
183,0.46611
183.25,0.307552
183.5,0.30427
183.75,0.272221
184,0.307488
184.25,0.323203
184.5,0.376772
184.75,0.335601
185,0.313138
185.25,0.333014
185.5,0.469665
185.75,0.399621
186,0.417719
186.25,0.285479
186.5,0.394394
186.75,0.353201
187,0.422814
187.25,0.307635
187.5,0.476009
187.75,0.433171
188,0.365417
188.25,0.286665
188.5,0.435908
188.75,0.518998
189,0.38445
189.25,0.376058
189.5,0.438909
189.75,0.390805
190,0.405211
190.25,0.346876
190.5,0.477385
190.75,0.374912
191,0.379173
191.25,0.555077
191.5,0.443393
191.75,0.341938
192,0.366953
192.25,0.410997
192.5,0.36825
192.75,0.324048
193,0.343413
193.25,0.378285
193.5,0.469291
193.75,0.372807
194,0.353483
194.25,0.386311
194.5,0.383569
194.75,0.285499
195,0.404659
195.25,0.350488
195.5,0.437535
195.75,0.493189
196,0.507538
196.25,0.457883
196.5,0.442467
196.75,0.402872
197,0.493914
197.25,0.430481
197.5,0.298008
197.75,0.289733
198,0.39686
198.25,0.294024
198.5,0.372778
198.75,0.415547
199,0.361879
199.25,0.338962
199.5,0.313597
199.75,0.403607
200,0.374796
200.25,0.46878
200.5,0.287769
200.75,0.44279
201,0.257532
201.25,0.466502
201.5,0.423289
201.75,0.379307
202,0.337682
202.25,0.380847
202.5,0.246882
202.75,0.37135
203,0.314756
203.25,0.383405
203.5,0.355782
203.75,0.33842
204,0.490603
204.25,0.359327
204.5,0.41192
204.75,0.203668
205,0.354646
205.25,0.436879
205.5,0.32724
205.75,0.403398
206,0.395529
206.25,0.421996
206.5,0.333272
206.75,0.30972
207,0.306332
207.25,0.397304
207.5,0.323699
207.75,0.349987
208,0.393525
208.25,0.388963
208.5,0.350804
208.75,0.405318
209,0.366255
209.25,0.434408
209.5,0.341616
209.75,0.402521
210,0.33763
210.25,0.354464
210.5,0.357106
210.75,0.307441
211,0.355085
211.25,0.301494
211.5,0.255952
211.75,0.35807
212,0.332949
212.25,0.387412
212.5,0.385548
212.75,0.270805
213,0.292123
213.25,0.352688
213.5,0.332712
213.75,0.423044
214,0.430836
214.25,0.369973
214.5,0.396895
214.75,0.319382
215,0.372779
215.25,0.348268
215.5,0.317259
215.75,0.297886
216,0.352583
216.25,0.471357
216.5,0.367594
216.75,0.361651
217,0.406388
217.25,0.339916
217.5,0.352799
217.75,0.281306
218,0.379121
218.25,0.337845
218.5,0.39713
218.75,0.462862
219,0.491841
219.25,0.355211
219.5,0.41015
219.75,0.326931
220,0.346985
220.25,0.342293
220.5,0.406855
220.75,0.337926
221,0.400609
221.25,0.437437
221.5,0.341313
221.75,0.459108
222,0.305269
222.25,0.372733
222.5,0.508552
222.75,0.171149
223,0.359216
223.25,0.435293
223.5,0.338907
223.75,0.384139
224,0.424122
224.25,0.419937
224.5,0.363493
224.75,0.282966
225,0.460177
225.25,0.345387
225.5,0.418766
225.75,0.392754
226,0.467555
226.25,0.448728
226.5,0.428377
226.75,0.539609
227,0.369733
227.25,0.430215
227.5,0.376202
227.75,0.387021
228,0.385465
228.25,0.426362
228.5,0.361566
228.75,0.410854
229,0.499921
229.25,0.409582
229.5,0.463966
229.75,0.430638
230,0.337839
230.25,0.414127
230.5,0.393345
230.75,0.445443
231,0.339583
231.25,0.264207
231.5,0.307421
231.75,0.468367
232,0.374948
232.25,0.490163
232.5,0.338843
232.75,0.30245
233,0.267736
