Time,cumulative_mean_fraction_lambda_C
39.75,0.178654
40,0.179935
40.25,0.182882
40.5,0.184061
40.75,0.184011
41,0.183979
41.25,0.183746
41.5,0.185181
41.75,0.184998
42,0.183683
42.25,0.184748
42.5,0.185035
42.75,0.184607
43,0.184221
43.25,0.183832
43.5,0.183251
43.75,0.18203
44,0.181312
44.25,0.181543
44.5,0.18151
44.75,0.181062
45,0.18086
45.25,0.179353
45.5,0.179471
45.75,0.180612
46,0.181302
46.25,0.180657
46.5,0.180936
46.75,0.180971
47,0.180686
47.25,0.180282
47.5,0.17923
47.75,0.178682
48,0.179354
48.25,0.178219
48.5,0.177723
48.75,0.177731
49,0.17743
49.25,0.177094
49.5,0.175681
49.75,0.175173
50,0.172855
50.25,0.171352
50.5,0.170224
50.75,0.170597
51,0.171597
51.25,0.170121
51.5,0.170254
51.75,0.170427
52,0.169035
52.25,0.169006
52.5,0.168491
52.75,0.167984
53,0.167442
53.25,0.167693
53.5,0.167866
53.75,0.167637
54,0.167415
54.25,0.166452
54.5,0.165595
54.75,0.165277
55,0.164869
55.25,0.16379
55.5,0.162583
55.75,0.161473
56,0.160317
56.25,0.160471
56.5,0.160189
56.75,0.160509
57,0.16083
57.25,0.160631
57.5,0.160838
57.75,0.160147
58,0.158573
58.25,0.158141
58.5,0.157439
58.75,0.157087
59,0.156618
59.25,0.156639
59.5,0.156823
59.75,0.15667
60,0.154992
60.25,0.155053
60.5,0.155018
60.75,0.153966
61,0.153288
61.25,0.152505
61.5,0.151355
61.75,0.151395
62,0.151289
62.25,0.150754
62.5,0.149771
62.75,0.149448
63,0.149059
63.25,0.147846
63.5,0.147599
63.75,0.147612
64,0.146799
64.25,0.145635
64.5,0.145343
64.75,0.145156
65,0.144594
65.25,0.144087
65.5,0.144555
65.75,0.144256
66,0.144925
66.25,0.1451
66.5,0.145448
66.75,0.144696
67,0.143873
67.25,0.14351
67.5,0.14295
67.75,0.142425
68,0.142483
68.25,0.142307
68.5,0.142203
68.75,0.142543
69,0.142317
69.25,0.142445
69.5,0.142537
69.75,0.142752
70,0.142551
70.25,0.143044
70.5,0.14277
70.75,0.143039
71,0.142402
71.25,0.141897
71.5,0.142218
71.75,0.141756
72,0.141298
72.25,0.140831
72.5,0.140432
72.75,0.140305
73,0.140732
73.25,0.141174
73.5,0.140973
73.75,0.140562
74,0.140489
74.25,0.140348
74.5,0.140313
74.75,0.139697
75,0.139689
75.25,0.139703
75.5,0.1396
75.75,0.13968
76,0.139356
76.25,0.138698
76.5,0.138419
76.75,0.138175
77,0.137639
77.25,0.137567
77.5,0.137369
77.75,0.136909
78,0.136799
78.25,0.13637
78.5,0.136206
78.75,0.136237
79,0.136084
79.25,0.136176
79.5,0.135821
79.75,0.135314
80,0.13495
80.25,0.134589
80.5,0.134647
80.75,0.134553
81,0.134673
81.25,0.134925
81.5,0.134736
81.75,0.134976
82,0.135144
82.25,0.135131
82.5,0.135212
82.75,0.135689
83,0.13562
83.25,0.135815
83.5,0.1362
83.75,0.136018
84,0.136129
84.25,0.135865
84.5,0.135404
84.75,0.135
85,0.134975
85.25,0.134979
85.5,0.135141
85.75,0.134637
86,0.134544
86.25,0.134901
86.5,0.135085
86.75,0.13488
87,0.134827
87.25,0.134537
87.5,0.134319
87.75,0.134686
88,0.134556
88.25,0.134175
88.5,0.134306
88.75,0.134486
89,0.134212
89.25,0.13418
89.5,0.134098
89.75,0.133879
90,0.133707
90.25,0.133767
90.5,0.133505
90.75,0.133433
91,0.133698
91.25,0.133336
91.5,0.13355
91.75,0.13356
92,0.13325
92.25,0.133515
92.5,0.133569
92.75,0.133571
93,0.13374
93.25,0.133596
93.5,0.133467
93.75,0.133346
94,0.133672
94.25,0.133695
94.5,0.133949
94.75,0.133918
95,0.133753
95.25,0.133939
95.5,0.13427
95.75,0.1344
96,0.134372
96.25,0.134209
96.5,0.134168
96.75,0.134215
97,0.134303
97.25,0.134199
97.5,0.134092
97.75,0.133983
98,0.134012
98.25,0.133906
98.5,0.133897
98.75,0.133797
99,0.133666
99.25,0.133561
99.5,0.133821
99.75,0.134468
100,0.134432
100.25,0.134105
100.5,0.134151
100.75,0.134189
101,0.134568
101.25,0.134664
101.5,0.134907
101.75,0.134911
102,0.135159
102.25,0.134883
102.5,0.13497
102.75,0.135264
103,0.135591
103.25,0.135275
103.5,0.135393
103.75,0.135324
104,0.135295
104.25,0.135437
104.5,0.135645
104.75,0.135762
105,0.135869
105.25,0.135806
105.5,0.135867
105.75,0.135707
106,0.135754
106.25,0.135497
106.5,0.135319
106.75,0.135112
107,0.135023
107.25,0.134729
107.5,0.134969
107.75,0.134883
108,0.134747
108.25,0.134504
108.5,0.134319
108.75,0.134355
109,0.134308
109.25,0.133982
109.5,0.133889
109.75,0.133724
110,0.133869
110.25,0.13419
110.5,0.134292
110.75,0.134519
111,0.134475
111.25,0.134378
111.5,0.134336
111.75,0.134258
112,0.134267
112.25,0.134259
112.5,0.134306
112.75,0.134458
113,0.134231
113.25,0.134125
113.5,0.134425
113.75,0.134217
114,0.134385
114.25,0.13423
114.5,0.134234
114.75,0.134339
115,0.134279
115.25,0.134458
115.5,0.134248
115.75,0.134037
116,0.134001
116.25,0.133806
116.5,0.133907
116.75,0.134027
117,0.133927
117.25,0.133921
117.5,0.133848
117.75,0.133742
118,0.133681
118.25,0.133551
118.5,0.1334
118.75,0.133185
119,0.133084
119.25,0.132957
119.5,0.132842
119.75,0.132876
120,0.133034
120.25,0.133074
120.5,0.133023
120.75,0.132898
121,0.13311
121.25,0.133027
121.5,0.132934
121.75,0.132967
122,0.13295
122.25,0.132799
122.5,0.132841
122.75,0.132788
123,0.132662
123.25,0.1326
123.5,0.13256
123.75,0.132629
