Day,num_positive,num_tested,num_hospitalised,num_cumulative_hospitalizations,num_critical,num_fatalities
221,127,153,78,1654,14,153
222,103,121,76,1661,14,153
223,121,150,77,1670,15,153
224,109,129,73,1674,18,153
225,115,150,73,1685,21,154
226,119,146,65,1690,22,157
227,121,147,56,1694,24,157
228,94,120,57,1699,22,160
229,99,121,59,1713,20,162
230,122,149,59,1720,22,163
231,104,132,56,1726,24,164
232,103,125,65,1739,22,165
233,94,116,71,1756,22,167
234,110,137,79,1770,18,169
235,93,114,87,1781,15,171
236,108,140,89,1788,14,171
237,97,121,83,1796,15,172
238,101,126,91,1811,14,174
239,107,130,94,1820,12,174
240,83,110,86,1825,15,174
241,99,122,78,1834,21,175
242,89,115,69,1839,22,175
243,99,132,65,1846,22,175
244,99,134,68,1856,25,175
245,80,104,67,1863,23,177
246,95,110,59,1871,27,178
247,85,105,58,1878,29,179
248,110,127,59,1884,28,182
249,91,109,55,1889,20,188
250,90,110,52,1892,20,189
251,89,115,56,1902,21,190
252,75,99,53,1909,21,192
253,108,129,55,1919,22,193
254,87,109,59,1930,17,195
255,100,124,63,1941,14,198
256,115,137,67,1951,11,200
257,87,113,69,1959,10,202
258,114,130,77,1969,9,202
259,94,115,72,1974,10,203
260,93,103,71,1980,8,205
261,93,112,69,1988,9,207
262,95,111,68,1998,13,207
263,71,100,63,2004,16,207
264,92,109,59,2010,19,207
265,84,104,60,2019,21,207
266,101,117,57,2026,23,207
267,78,88,59,2033,22,207
268,94,124,62,2042,22,207
269,69,94,58,2046,19,208
270,78,98,54,2052,15,212
271,75,101,53,2057,13,213
272,74,89,53,2063,10,216
273,77,92,54,2073,7,217
274,86,109,55,2081,7,219
275,75,98,55,2088,7,220
276,72,90,49,2091,8,220
277,77,93,49,2095,11,220
278,69,82,49,2101,11,220
279,87,97,53,2110,10,220
280,77,101,48,2112,10,220
281,57,75,46,2120,13,220
282,73,88,41,2122,13,221
283,81,96,41,2129,13,222
284,65,81,44,2135,12,223
285,87,103,48,2143,9,224
286,71,84,46,2147,10,224
287,67,79,43,2153,11,224
288,73,100,44,2156,11,224
289,67,81,42,2162,10,226
290,70,81,51,2173,8,226
291,61,78,51,2180,7,228
292,72,86,55,2190,7,228
293,60,75,56,2199,10,228
294,65,79,56,2203,9,230
295,59,71,53,2206,10,231
296,67,80,57,2213,10,231
297,53,62,54,2216,11,233
298,69,83,47,2220,13,233
299,43,51,47,2227,14,233
300,54,70,41,2231,14,234
301,47,58,35,2234,12,236
302,45,61,35,2238,11,237
303,48,59,36,2242,10,239
304,60,74,32,2245,10,239
305,58,64,32,2248,7,241
306,48,63,32,2252,6,241
307,43,60,30,2257,7,242
308,41,50,30,2261,7,242
309,57,72,30,2264,6,243
310,52,61,27,2265,8,243
311,61,73,29,2271,8,244
312,47,63,31,2276,9,244
313,53,67,34,2282,10,244
314,57,70,35,2287,11,244
315,62,77,34,2291,11,246
316,54,64,32,2293,11,246
317,65,76,34,2298,12,246
318,38,57,39,2304,11,246
319,55,69,34,2306,11,246
320,62,84,31,2307,11,247
321,46,60,34,2316,13,248
322,47,66,36,2323,11,249
323,57,74,36,2327,10,251
324,43,56,34,2327,10,252
325,56,64,37,2335,9,252
326,44,52,35,2340,8,252
327,45,55,39,2345,8,253
328,46,60,42,2349,7,253
329,61,71,39,2355,7,256
330,46,57,34,2357,8,256
331,43,57,33,2360,8,257
332,58,68,37,2364,7,257
333,47,56,35,2370,9,257
334,41,48,30,2370,10,257
335,53,63,29,2374,11,258
336,39,46,27,2376,13,258
337,60,66,23,2378,10,261
338,40,50,23,2380,10,262
339,34,46,24,2384,9,263
340,44,49,25,2389,9,263
341,36,49,21,2391,8,265
342,51,60,24,2394,7,266
343,45,53,23,2397,5,267
344,32,42,24,2400,5,267
345,33,42,26,2404,5,267
346,32,36,26,2406,5,267
347,32,41,22,2406,5,267
348,49,53,21,2410,6,267
349,33,37,25,2416,6,268
350,32,47,24,2418,8,268
351,38,51,23,2420,8,268
352,27,30,21,2421,7,270
353,38,46,18,2422,7,270
354,34,43,18,2424,6,271
355,24,30,19,2425,5,272
356,30,34,16,2426,5,273
357,18,29,12,2428,5,274
358,39,45,13,2431,3,276
359,24,32,13,2433,4,276
360,39,50,15,2436,3,277
361,27,41,18,2440,3,277
362,26,32,21,2445,3,277
363,26,33,22,2447,3,277
364,35,44,25,2451,3,277
365,27,34,25,2453,3,278
366,34,44,24,2455,4,278
367,31,37,24,2457,3,278
368,26,30,25,2461,3,278
369,32,40,22,2462,5,278
370,25,38,18,2463,6,278
371,29,35,19,2466,7,278
372,43,49,20,2471,7,279
373,33,45,19,2472,8,279
374,28,34,20,2475,7,279
375,32,40,21,2478,9,279
376,32,38,19,2480,10,279
377,18,23,21,2483,8,281
378,22,24,21,2484,7,281
379,25,31,19,2485,7,281
380,24,33,15,2486,6,282
381,22,26,15,2487,5,282
382,28,31,15,2490,6,282
383,29,37,12,2490,6,283
384,27,30,11,2491,6,284
385,26,27,9,2492,7,284
386,28,34,10,2494,7,284
387,16,22,10,2495,6,285
388,13,20,13,2499,7,285
389,24,29,12,2499,6,286
390,18,21,11,2501,5,286
391,17,23,12,2502,3,286
392,20,26,15,2506,2,286
393,16,20,14,2506,1,287
394,19,23,17,2511,1,287
395,20,22,17,2512,1,287
396,17,22,14,2513,0,287
397,15,20,14,2513,0,287
398,14,17,12,2513,0,287
399,14,15,12,2514,0,287
400,13,18,9,2515,2,287
401,12,22,14,2520,2,287
402,11,12,9,2520,3,287
403,13,16,8,2520,4,287
404,15,16,7,2520,5,287
405,15,16,8,2521,5,287
406,13,19,12,2525,5,287
407,18,23,13,2527,5,287
408,11,13,13,2528,3,288
409,12,18,9,2529,4,288
410,11,13,10,2530,3,288
411,17,18,11,2531,2,288
412,12,15,15,2535,1,288
413,17,21,16,2537,1,288
414,11,15,12,2537,1,288
415,12,14,12,2539,1,288
416,15,20,11,2539,2,288
417,14,14,11,2540,1,289
418,16,17,13,2543,1,289
419,10,10,15,2546,1,289
420,10,10,12,2547,2,289
421,10,13,10,2547,3,289
422,12,13,11,2548,3,289
423,12,19,12,2551,3,289
424,14,19,14,2553,2,289
425,13,14,13,2553,2,289
426,13,17,11,2554,2,289
427,9,12,9,2555,2,289
428,15,20,8,2555,1,290
429,7,8,11,2558,0,291
430,3,9,10,2558,0,291
431,20,22,10,2561,1,291
432,13,13,9,2562,2,291
433,8,14,10,2563,2,291
434,16,17,10,2564,2,291
435,9,11,11,2566,2,291
436,9,11,11,2566,2,291
437,10,12,9,2567,3,291
438,7,10,10,2568,3,291
439,9,12,7,2568,3,292
440,7,9,7,2569,2,293
441,4,6,6,2569,2,293
442,8,10,5,2569,2,293
443,7,8,5,2571,3,293
444,13,14,6,2572,3,293
445,9,9,7,2574,2,293
446,9,9,9,2577,2,293
447,3,6,9,2577,1,293
448,11,12,8,2577,1,293
449,11,15,9,2578,1,293
450,6,6,9,2578,1,293
451,11,11,8,2579,1,293
452,10,10,7,2579,1,293
453,9,10,6,2580,1,293
454,5,6,5,2582,1,293
455,9,10,5,2582,1,293
456,5,5,6,2583,1,293
457,4,7,7,2585,1,293
458,3,3,7,2585,1,293
459,7,9,6,2585,0,293
460,7,9,6,2585,0,293
461,5,6,6,2586,0,293
462,6,8,4,2586,1,293
463,5,5,6,2588,1,293
464,3,5,6,2589,2,293
465,2,3,4,2589,2,293
466,6,8,4,2589,2,293
467,4,4,4,2589,2,293
468,3,3,4,2589,2,293
469,1,3,3,2589,2,293
470,5,7,3,2589,1,294
471,6,8,1,2589,1,294
472,2,2,1,2590,0,294
473,2,3,2,2591,0,294
474,3,4,3,2592,0,294
475,5,5,3,2592,0,294
476,3,3,4,2593,0,294
477,4,6,4,2593,0,294
478,3,5,4,2593,0,294
479,4,4,4,2593,0,294
480,0,1,4,2594,1,294
481,2,3,3,2594,1,294
482,4,7,2,2594,1,294
483,1,1,2,2594,1,294
484,1,3,1,2594,1,294
485,5,6,1,2594,1,294
486,5,5,1,2594,1,294
487,1,2,1,2594,1,294
488,1,1,1,2595,0,294
489,2,2,2,2596,0,294
490,2,3,2,2596,0,294
491,3,4,3,2597,0,294
492,4,5,4,2598,0,294
493,4,4,4,2598,0,294
494,1,3,4,2598,0,294
495,5,5,5,2599,0,294
496,1,2,4,2599,0,294
497,5,7,3,2599,1,294
498,2,3,3,2599,1,294
499,5,5,2,2599,1,294
500,6,7,1,2599,1,294
501,4,7,1,2599,1,294
502,2,2,1,2599,1,294
503,3,4,1,2600,1,294
504,2,4,1,2600,1,294
505,7,9,1,2600,0,294
506,4,5,1,2600,0,294
507,6,8,1,2600,0,294
508,4,6,2,2601,0,294
509,5,7,2,2601,0,294
510,11,15,3,2602,0,294
511,6,8,3,2603,1,294
512,10,11,3,2603,1,294
513,7,10,4,2604,1,294
514,10,13,4,2604,1,294
515,11,13,6,2606,1,294
516,11,11,5,2606,1,294
517,18,19,8,2609,1,294
518,8,11,8,2610,1,294
519,10,11,8,2611,0,295
520,5,7,9,2612,0,295
521,4,5,9,2613,0,295
522,7,13,9,2613,0,295
523,9,13,8,2614,0,295
524,7,7,8,2614,0,295
525,6,7,5,2614,1,295
526,6,6,5,2615,1,295
527,7,9,5,2616,1,295
528,8,8,6,2618,1,295
529,5,7,5,2618,1,295
530,9,10,6,2619,1,295
531,6,7,5,2619,1,295
532,8,8,5,2619,1,295
533,3,4,5,2619,0,296
534,10,12,8,2623,0,296
535,5,6,7,2623,0,296
536,2,3,5,2623,0,296
537,3,4,5,2623,0,296
538,4,4,6,2625,0,296
539,5,8,8,2627,0,296
540,5,5,8,2627,0,296
541,3,4,8,2627,0,296
542,5,5,4,2627,1,296
543,1,1,4,2627,1,296
544,1,2,4,2627,1,296
545,2,3,4,2627,1,296
546,1,5,2,2627,2,296
547,4,6,0,2627,2,296
548,6,6,0,2627,2,296
549,2,2,2,2629,2,296
550,2,3,2,2629,1,297
551,3,3,2,2629,1,297
552,3,4,2,2629,1,297
