Time,total_fraction_lambda_W
0,-nan
0.25,-nan
0.5,-nan
0.75,-nan
1,-nan
1.25,0
1.5,0
1.75,-nan
2,0.0561358
2.25,0
2.5,0
2.75,0.0181607
3,0.995624
3.25,0.00511271
3.5,0.048794
3.75,0.00284101
4,0.00307925
4.25,0
4.5,0.0905902
4.75,0.0889419
5,0.999935
5.25,0.00193916
5.5,0.00533619
5.75,0.0593244
6,0
6.25,0.178565
6.5,0.999984
6.75,0.0165302
7,0.00286623
7.25,0.000740921
7.5,0.018542
7.75,0.00225739
8,0.999954
8.25,0
8.5,0.99909
8.75,0.00416679
9,0.186167
9.25,0.486297
9.5,0.99972
9.75,0.0435289
10,0.0349734
10.25,0.999928
10.5,0
10.75,0.999743
11,0.0704915
11.25,0
11.5,0.0173878
11.75,0.0182093
12,0.0123588
12.25,0.0106495
12.5,0.553946
12.75,0.0291621
13,0.0116482
13.25,0.0445685
13.5,0.0514477
13.75,0.172771
14,0.0734426
14.25,0.999941
14.5,0.07027
14.75,0.739814
15,0
15.25,0.999942
15.5,0.999761
15.75,0.0359528
16,0.00406462
16.25,0.0752893
16.5,0.224255
16.75,0.114973
17,0.00869061
17.25,0.130494
17.5,0.0797314
17.75,0.0670587
18,0.036809
18.25,0.0130965
18.5,0
18.75,0.9991
19,0.0126595
19.25,0.0344587
19.5,0.0260049
19.75,0.082112
20,0.288776
20.25,0.0195723
20.5,0.0169032
20.75,0.352956
21,0.043719
21.25,0.999006
21.5,0.227888
21.75,0.0649328
22,0.820995
22.25,0.150361
22.5,0.0223119
22.75,0.0211265
23,0.0029192
23.25,0.441939
23.5,0.00866986
23.75,0.00231706
24,0.999338
24.25,0.999454
24.5,0.102388
24.75,0.106933
25,0.0968614
25.25,0.0558026
25.5,0.00815011
25.75,0.0181139
26,0.510392
26.25,0.180106
26.5,0.299084
26.75,0.0598015
27,0.137165
27.25,0.10005
27.5,0.0454662
27.75,0.0531432
28,0.140981
28.25,0.0556793
28.5,0.0364102
28.75,0.0223461
29,0.0247936
29.25,0.0362929
29.5,0.0594907
29.75,0.045289
30,0.192548
30.25,0.312028
30.5,0.073849
30.75,0.0442546
31,0.0297859
31.25,0.049992
31.5,0.999792
31.75,0.0116825
32,0.0394017
32.25,0.0323993
32.5,0.13411
32.75,0.0550428
33,0.0670712
33.25,0.0890529
33.5,0.036565
33.75,0.0194631
34,0.0560983
34.25,0.00426052
34.5,0.0830654
34.75,0.157852
35,0.0126116
35.25,0.0642936
35.5,0.0474441
35.75,0.0250524
36,0.0251172
36.25,0.0872911
36.5,0.0444269
36.75,0.0775403
37,0.0653423
37.25,0.0329151
37.5,0.00422642
37.75,0.0239762
38,0.0534663
38.25,0.0272301
38.5,0.01382
38.75,0.0991061
39,0.0318745
39.25,0.0227932
39.5,0.10471
39.75,0.112976
40,0.0445516
40.25,0.0278554
40.5,0.030183
40.75,0.140038
41,0.364828
41.25,0.0194294
41.5,0.0602056
41.75,0.0180907
42,0.0334354
42.25,0.0352189
42.5,0.00252586
42.75,0.00897476
43,0.170859
43.25,0.0974409
43.5,0.161783
43.75,0.0320226
44,0.0125434
44.25,0.0495888
44.5,0.0450716
44.75,0.0305975
45,0.00805581
45.25,0.0630237
45.5,0.0441461
45.75,0.050673
46,0.143758
46.25,0.31074
46.5,0.0686165
46.75,0.119307
47,0.708548
47.25,0.147912
47.5,0.139476
47.75,0.118583
48,0.0671628
48.25,0.0646138
48.5,0.0935132
48.75,0.0298591
49,0.0768174
49.25,0.133216
49.5,0.0382772
49.75,0.029989
50,0.10574
50.25,0.0266172
50.5,0.0632142
50.75,0.0366667
51,0.0815982
51.25,0.0496524
51.5,0.0731941
51.75,0.0203833
52,0.0868186
52.25,0.0650956
52.5,0.0339577
52.75,0.0338519
53,0.118001
53.25,0.140575
53.5,0.0371998
53.75,0.145878
54,0.0370454
54.25,0.0450899
54.5,0.111487
54.75,0.0316531
55,0.0836539
55.25,0.0727334
55.5,0.0244307
55.75,0.0616647
56,0.044448
56.25,0.0598784
56.5,0.118079
56.75,0.103779
57,0.0808323
57.25,0.0437603
57.5,0.124492
57.75,0.0520983
58,0.142514
58.25,0.0852354
58.5,0.0542816
58.75,0.0589144
59,0.0263342
59.25,0.05967
59.5,0.125445
59.75,0.0618929
60,0.0560318
60.25,0.0921545
60.5,0.139052
60.75,0.164114
61,0.052619
61.25,0.115374
61.5,0.0976397
61.75,0.183317
62,0.0435806
62.25,0.119037
62.5,0.107477
62.75,0.0660316
63,0.0537639
63.25,0.0591991
63.5,0.0467628
63.75,0.128014
64,0.0845912
64.25,0.105763
64.5,0.0617146
64.75,0.141504
65,0.113085
65.25,0.115542
65.5,0.0460411
65.75,0.0896427
66,0.0568709
66.25,0.0690007
66.5,0.192951
66.75,0.136246
67,0.162882
67.25,0.0885344
67.5,0.0599465
67.75,0.1111
68,0.216677
68.25,0.0798152
68.5,0.118451
68.75,0.18454
69,0.10602
69.25,0.101586
69.5,0.134136
69.75,0.109616
70,0.0702986
70.25,0.0488886
70.5,0.0198819
70.75,0.0303817
71,0.0222947
71.25,0.0265117
71.5,0.0298332
71.75,0.00559729
72,0.0173904
72.25,0.035049
72.5,0.00836746
72.75,0.0168423
73,0.0410032
73.25,0.0605113
73.5,0.0207647
73.75,0.0110105
74,0.0894319
74.25,0.0165834
74.5,0.0766941
74.75,0.0297112
75,0.0509378
75.25,0.0341979
75.5,0.0698186
75.75,0.0359139
76,0.0386373
76.25,0.0785991
76.5,0.0675831
76.75,0.0463087
77,0.0215798
77.25,0.0557473
77.5,0.035772
77.75,0.0506996
78,0.0804187
78.25,0.0679742
78.5,0.0934054
78.75,0.121576
79,0.0299684
79.25,0.0454725
79.5,0.180611
79.75,0.138522
80,0.0403599
80.25,0.0561401
80.5,0.0431276
80.75,0.15592
81,0.184244
81.25,0.0649115
81.5,0.0438387
81.75,0.0418612
82,0.0471637
82.25,0.0278008
