Time,normal_interactions,curtailed_interactions
139.75,659053,658780
140,659073,658794
140.25,659065,658785
140.5,659064,658782
140.75,659064,658780
141,659067,658783
141.25,659057,658776
141.5,659065,658781
141.75,659069,658784
142,659075,658784
142.25,659074,658790
142.5,659074,658790
142.75,659069,658785
143,659053,658764
143.25,659044,658760
143.5,659045,658769
143.75,659049,658777
144,659046,658774
144.25,659058,658784
144.5,659039,658768
144.75,659046,658776
145,659044,658771
145.25,659040,658765
145.5,659043,658766
145.75,659041,658766
146,659039,658766
146.25,659044,658768
146.5,659043,658767
146.75,659040,658769
147,659046,658772
147.25,659036,658755
147.5,659043,658763
147.75,659033,658748
148,659030,658743
148.25,659044,658760
148.5,659038,658751
148.75,659029,658742
149,659035,658749
149.25,659027,658742
149.5,659038,658757
149.75,659039,658757
150,659040,658752
150.25,659030,658745
150.5,659030,658747
150.75,659022,658738
151,659020,658748
151.25,659011,658736
151.5,659016,658736
151.75,659029,658742
152,659017,658733
152.25,659011,658725
152.5,659016,658732
152.75,659027,658739
153,659025,658739
153.25,659039,658754
153.5,659028,658742
153.75,659031,658743
154,659030,658742
154.25,659030,658748
154.5,659040,658759
154.75,659034,658759
155,659034,658759
155.25,659035,658757
155.5,659039,658763
155.75,659033,658756
156,659029,658752
156.25,659012,658736
156.5,659012,658739
156.75,659002,658731
157,658990,658724
157.25,659002,658736
157.5,658993,658724
157.75,658994,658727
158,659004,658729
158.25,659007,658728
158.5,659001,658725
158.75,658992,658707
159,658987,658702
159.25,658980,658697
159.5,658989,658703
159.75,658991,658700
160,658997,658699
160.25,658989,658692
160.5,658984,658685
160.75,658981,658679
161,658971,658670
161.25,658960,658660
161.5,658952,658651
161.75,658964,658659
162,658977,658669
162.25,658996,658687
162.5,658990,658683
162.75,658988,658678
163,658990,658673
163.25,658988,658670
163.5,658983,658669
163.75,658983,658664
164,658986,658663
164.25,658991,658664
164.5,659010,658685
164.75,659003,658689
165,658999,658686
165.25,659016,658701
165.5,659005,658688
165.75,659002,658687
166,659007,658693
166.25,659008,658691
166.5,659008,658697
166.75,659009,658700
167,659023,658715
167.25,659021,658720
167.5,659042,658742
167.75,659048,658745
168,659046,658748
168.25,659053,658752
168.5,659057,658758
168.75,659055,658756
169,659061,658765
169.25,659065,658771
169.5,659061,658778
169.75,659076,658792
170,659066,658790
170.25,659067,658792
170.5,659082,658805
170.75,659099,658819
171,659103,658824
171.25,659094,658815
171.5,659083,658807
171.75,659079,658805
172,659078,658806
172.25,659075,658802
172.5,659068,658799
172.75,659046,658781
173,659055,658795
173.25,659052,658791
173.5,659035,658778
173.75,659049,658790
174,659051,658798
174.25,659053,658800
174.5,659055,658799
174.75,659055,658804
175,659050,658799
175.25,659056,658802
175.5,659052,658795
175.75,659046,658787
176,659063,658803
176.25,659055,658794
176.5,659058,658794
176.75,659060,658797
177,659061,658800
177.25,659052,658789
177.5,659074,658805
177.75,659071,658802
178,659064,658797
178.25,659062,658798
178.5,659067,658805
178.75,659047,658781
179,659048,658784
179.25,659034,658771
179.5,659031,658765
179.75,659029,658764
180,659020,658757
180.25,659020,658755
180.5,659029,658764
180.75,659032,658769
181,659035,658778
181.25,659028,658769
181.5,659030,658771
181.75,659024,658764
182,659028,658765
182.25,659012,658742
182.5,659007,658741
182.75,659020,658754
183,659011,658738
183.25,659019,658744
183.5,659016,658735
183.75,659007,658725
184,658999,658720
184.25,658999,658720
184.5,658999,658717
184.75,659009,658723
185,659012,658717
185.25,659001,658703
185.5,659000,658703
185.75,658988,658695
186,658994,658694
186.25,658982,658684
186.5,658985,658681
186.75,658981,658670
187,658985,658670
187.25,658978,658676
187.5,658985,658674
187.75,658987,658675
188,658984,658672
188.25,658960,658654
188.5,658956,658643
188.75,658962,658646
189,658985,658660
189.25,658976,658652
189.5,658970,658637
189.75,658979,658647
190,658984,658649
190.25,658987,658652
190.5,659000,658665
190.75,658991,658661
191,658977,658645
191.25,658980,658652
191.5,658981,658655
191.75,658965,658648
192,658968,658652
192.25,658962,658648
192.5,658949,658638
192.75,658952,658639
193,658963,658651
193.25,658951,658645
193.5,658967,658663
193.75,658966,658658
194,658973,658663
194.25,658968,658655
194.5,658957,658656
194.75,658962,658658
195,658974,658665
195.25,658965,658654
195.5,658986,658676
195.75,658995,658686
196,658997,658684
196.25,659007,658688
196.5,658990,658677
196.75,658985,658672
197,658983,658672
197.25,658967,658660
197.5,658993,658682
197.75,658994,658683
198,658985,658677
198.25,658980,658669
198.5,658986,658673
198.75,658980,658666
199,658992,658679
199.25,658999,658689
199.5,659012,658699
199.75,659014,658702
200,659016,658705
200.25,659012,658701
200.5,659021,658710
200.75,659039,658730
201,659036,658728
201.25,659053,658739
201.5,659049,658734
201.75,659065,658753
202,659059,658755
202.25,659067,658760
202.5,659079,658778
202.75,659079,658778
203,659087,658787
203.25,659087,658787
203.5,659087,658788
203.75,659084,658792
204,659078,658795
204.25,659096,658814
204.5,659094,658811
204.75,659095,658814
205,659108,658829
205.25,659107,658832
205.5,659116,658845
205.75,659100,658838
206,659095,658832
206.25,659085,658827
206.5,659074,658818
206.75,659077,658819
207,659072,658816
207.25,659087,658833
207.5,659080,658829
207.75,659097,658842
208,659087,658825
208.25,659106,658837
208.5,659108,658839
208.75,659106,658841
209,659109,658841
209.25,659110,658848
209.5,659122,658860
209.75,659120,658858
210,659131,658861
210.25,659143,658873
210.5,659128,658856
210.75,659122,658848
211,659123,658845
211.25,659116,658841
211.5,659124,658852
211.75,659126,658854
212,659112,658839
212.25,659112,658844
212.5,659109,658844
212.75,659106,658839
213,659110,658843
213.25,659112,658844
213.5,659108,658836
213.75,659090,658823
214,659087,658829
214.25,659094,658828
214.5,659084,658821
214.75,659074,658820
215,659063,658809
215.25,659072,658816
215.5,659092,658835
215.75,659075,658816
216,659083,658828
216.25,659060,658801
216.5,659059,658800
216.75,659068,658809
217,659073,658812
217.25,659078,658810
217.5,659077,658812
217.75,659067,658806
218,659061,658796
218.25,659065,658798
218.5,659061,658793
218.75,659055,658788
219,659065,658799
219.25,659077,658813
219.5,659074,658809
219.75,659068,658802
220,659067,658800
220.25,659074,658812
220.5,659077,658809
220.75,659066,658798
221,659071,658801
221.25,659080,658809
221.5,659086,658823
221.75,659093,658825
222,659085,658822
222.25,659087,658830
222.5,659093,658836
222.75,659082,658825
223,659078,658822
223.25,659079,658818
223.5,659084,658825
223.75,659088,658828
224,659079,658820
224.25,659086,658834
224.5,659082,658833
224.75,659098,658849
225,659088,658840
225.25,659083,658837
225.5,659084,658833
225.75,659088,658839
226,659081,658834
226.25,659087,658835
226.5,659080,658829
226.75,659070,658822
227,659075,658827
227.25,659069,658820
227.5,659062,658811
227.75,659078,658823
228,659079,658822
228.25,659080,658826
228.5,659088,658834
228.75,659097,658839
229,659095,658837
229.25,659079,658822
229.5,659092,658834
229.75,659085,658824
230,659093,658831
230.25,659106,658847
230.5,659118,658855
230.75,659118,658851
231,659117,658851
231.25,659112,658847
231.5,659121,658857
231.75,659123,658861
232,659130,658869
232.25,659124,658866
232.5,659121,658863
232.75,659116,658854
233,659111,658850
233.25,659107,658845
233.5,659103,658838
233.75,659096,658839
234,659094,658839
234.25,659102,658846
234.5,659114,658854
234.75,659122,658865
235,659122,658874
235.25,659123,658881
235.5,659136,658892
235.75,659136,658892
236,659138,658894
236.25,659130,658887
236.5,659129,658894
236.75,659131,658899
237,659116,658889
237.25,659126,658900
237.5,659127,658904
237.75,659131,658913
238,659138,658923
238.25,659145,658919
238.5,659147,658922
238.75,659124,658898
239,659134,658906
239.25,659132,658903
239.5,659133,658906
239.75,659145,658913
240,659138,658905
240.25,659134,658904
240.5,659136,658907
240.75,659143,658913
241,659147,658920
241.25,659137,658909
241.5,659139,658913
241.75,659146,658921
242,659148,658922
242.25,659146,658919
242.5,659148,658919
242.75,659169,658940
243,659165,658939
243.25,659166,658939
243.5,659160,658933
243.75,659155,658929
244,659153,658927
244.25,659161,658937
244.5,659161,658939
244.75,659162,658940
245,659179,658955
245.25,659168,658949
245.5,659158,658942
245.75,659145,658924
246,659154,658933
246.25,659150,658927
246.5,659155,658935
246.75,659140,658929
247,659146,658934
247.25,659142,658929
247.5,659149,658933
247.75,659154,658937
248,659158,658938
248.25,659171,658955
248.5,659171,658955
248.75,659183,658961
249,659167,658945
249.25,659174,658950
249.5,659171,658948
249.75,659187,658958
250,659188,658961
250.25,659194,658972
250.5,659192,658968
250.75,659196,658971
251,659196,658969
251.25,659211,658985
251.5,659211,658984
251.75,659215,658989
252,659232,659011
252.25,659231,659007
252.5,659228,659004
252.75,659226,659002
253,659219,658991
253.25,659213,658993
253.5,659211,658986
253.75,659222,659001
254,659217,659001
254.25,659213,658998
254.5,659222,659012
254.75,659227,659022
255,659227,659026
255.25,659226,659018
255.5,659231,659024
255.75,659215,659007
256,659234,659023
256.25,659236,659028
256.5,659230,659021
256.75,659232,659023
257,659226,659017
257.25,659235,659022
257.5,659240,659027
257.75,659243,659027
258,659233,659017
258.25,659226,659005
258.5,659211,658994
258.75,659203,658987
259,659207,658992
259.25,659210,658998
259.5,659211,658999
259.75,659215,659002
260,659214,658996
260.25,659192,658978
260.5,659200,658984
260.75,659206,658990
261,659216,659002
261.25,659212,658998
261.5,659214,658997
261.75,659215,658997
262,659206,658992
262.25,659215,658999
262.5,659217,658997
262.75,659219,658997
263,659219,658997
263.25,659213,658995
263.5,659211,658995
263.75,659206,658997
264,659217,659010
264.25,659222,659016
264.5,659232,659026
264.75,659220,659017
265,659228,659020
265.25,659225,659017
265.5,659231,659018
265.75,659232,659024
266,659248,659042
266.25,659239,659035
266.5,659227,659028
266.75,659240,659045
267,659250,659050
267.25,659245,659043
267.5,659242,659039
267.75,659241,659039
268,659245,659047
268.25,659250,659052
268.5,659236,659040
268.75,659231,659036
269,659231,659038
269.25,659230,659041
269.5,659241,659047
269.75,659233,659039
270,659235,659044
270.25,659235,659042
270.5,659229,659031
270.75,659226,659032
271,659224,659028
271.25,659225,659035
271.5,659232,659043
271.75,659239,659047
272,659245,659046
272.25,659251,659050
272.5,659268,659065
272.75,659267,659065
273,659272,659070
273.25,659271,659064
