Time,cumulative_mean_fraction_lambda_W
244.25,0.509784
244.5,0.50975
244.75,0.509742
245,0.509679
245.25,0.509657
245.5,0.509657
245.75,0.509585
246,0.509575
246.25,0.509551
246.5,0.509386
246.75,0.509334
247,0.509207
247.25,0.509199
247.5,0.509044
247.75,0.509075
248,0.508978
248.25,0.508921
248.5,0.508823
248.75,0.508761
249,0.508745
249.25,0.508869
249.5,0.508975
249.75,0.508952
250,0.508992
250.25,0.50909
250.5,0.50904
250.75,0.508948
251,0.508942
251.25,0.50893
251.5,0.508851
251.75,0.508787
252,0.508708
252.25,0.508668
252.5,0.508781
252.75,0.508709
253,0.508711
253.25,0.508706
253.5,0.508752
253.75,0.508812
254,0.508782
254.25,0.508747
254.5,0.508711
254.75,0.508643
255,0.508678
255.25,0.508648
255.5,0.508661
255.75,0.508563
256,0.508532
256.25,0.508471
256.5,0.508448
256.75,0.508482
257,0.508523
257.25,0.508474
257.5,0.508397
257.75,0.508294
258,0.508234
258.25,0.508215
258.5,0.508101
258.75,0.508077
259,0.508026
259.25,0.507957
259.5,0.507943
259.75,0.507907
260,0.507859
260.25,0.507872
260.5,0.507879
260.75,0.507891
261,0.508027
261.25,0.508119
261.5,0.50812
261.75,0.507993
262,0.507929
262.25,0.507933
262.5,0.507913
262.75,0.507974
263,0.50795
263.25,0.507951
263.5,0.507942
263.75,0.50788
264,0.507821
264.25,0.507794
264.5,0.507744
264.75,0.507654
265,0.507605
265.25,0.507554
265.5,0.507512
265.75,0.507473
266,0.507439
266.25,0.507414
266.5,0.507442
266.75,0.50748
267,0.507356
267.25,0.507351
267.5,0.507348
267.75,0.507271
268,0.507237
268.25,0.50722
268.5,0.507207
268.75,0.507175
269,0.507146
269.25,0.507087
269.5,0.507096
269.75,0.507069
270,0.507045
270.25,0.506968
270.5,0.50703
270.75,0.507054
271,0.507108
271.25,0.507113
271.5,0.50725
271.75,0.507253
272,0.50729
272.25,0.507298
272.5,0.507286
272.75,0.507243
273,0.507236
273.25,0.507265
273.5,0.507298
273.75,0.50737
274,0.507369
274.25,0.507423
274.5,0.507471
274.75,0.507469
275,0.507502
275.25,0.507448
275.5,0.507428
275.75,0.507494
276,0.507622
276.25,0.507716
276.5,0.50773
276.75,0.507754
277,0.507774
277.25,0.507765
277.5,0.507749
277.75,0.507752
278,0.50781
278.25,0.507777
278.5,0.507831
278.75,0.507786
279,0.507717
279.25,0.507693
279.5,0.507759
279.75,0.507792
280,0.507701
280.25,0.507617
280.5,0.507569
280.75,0.507517
281,0.507495
281.25,0.507507
281.5,0.507477
281.75,0.507522
282,0.507449
282.25,0.50749
282.5,0.507516
282.75,0.507602
283,0.507534
283.25,0.507634
283.5,0.507643
283.75,0.50765
284,0.507749
284.25,0.507709
284.5,0.507757
284.75,0.507663
285,0.507646
285.25,0.507578
285.5,0.507595
285.75,0.507465
286,0.50751
286.25,0.507486
286.5,0.507495
286.75,0.507496
287,0.507474
287.25,0.507474
287.5,0.507437
287.75,0.507409
288,0.507405
288.25,0.50742
288.5,0.507388
288.75,0.507321
289,0.507337
289.25,0.507398
289.5,0.507398
289.75,0.507362
290,0.507358
290.25,0.507305
290.5,0.507345
290.75,0.507401
291,0.507311
291.25,0.507272
291.5,0.507295
291.75,0.507321
292,0.507225
292.25,0.50724
292.5,0.507213
292.75,0.507266
293,0.507304
293.25,0.507346
293.5,0.507325
293.75,0.507291
294,0.507306
294.25,0.507262
294.5,0.507201
294.75,0.50718
295,0.507121
295.25,0.507049
295.5,0.507058
295.75,0.506991
296,0.506983
296.25,0.50707
296.5,0.507095
296.75,0.50709
297,0.507095
297.25,0.507044
297.5,0.507049
297.75,0.507028
298,0.50697
298.25,0.506859
298.5,0.506846
298.75,0.506782
299,0.506695
299.25,0.506565
299.5,0.506537
299.75,0.506511
300,0.506456
300.25,0.506439
300.5,0.506395
300.75,0.506406
301,0.506394
301.25,0.506506
301.5,0.506469
301.75,0.506501
302,0.506444
302.25,0.506455
302.5,0.506401
302.75,0.50636
303,0.506356
303.25,0.506362
303.5,0.506171
303.75,0.506167
304,0.50617
304.25,0.506145
304.5,0.506161
304.75,0.506083
305,0.506012
305.25,0.506046
305.5,0.506076
305.75,0.505961
306,0.505986
306.25,0.506021
306.5,0.505965
306.75,0.505946
307,0.505943
307.25,0.505925
307.5,0.505972
307.75,0.505996
308,0.506037
308.25,0.506041
308.5,0.506008
308.75,0.506063
309,0.506112
309.25,0.506094
309.5,0.506186
309.75,0.506167
310,0.506198
310.25,0.506187
310.5,0.506213
310.75,0.50618
311,0.506161
311.25,0.50618
311.5,0.50617
311.75,0.506137
312,0.506219
312.25,0.506261
312.5,0.506314
312.75,0.506333
313,0.506401
313.25,0.506374
313.5,0.506398
313.75,0.506424
314,0.5065
314.25,0.506454
314.5,0.506525
314.75,0.506543
315,0.50654
315.25,0.506506
315.5,0.50656
315.75,0.506586
316,0.506618
316.25,0.506579
316.5,0.50659
316.75,0.506556
317,0.506567
317.25,0.506549
317.5,0.506539
317.75,0.506568
318,0.506579
318.25,0.50656
318.5,0.50655
318.75,0.506545
319,0.50654
319.25,0.506544
319.5,0.506523
319.75,0.506605
320,0.506628
320.25,0.506636
320.5,0.50664
320.75,0.506679
321,0.506704
321.25,0.506708
321.5,0.506713
321.75,0.506701
322,0.506703
322.25,0.50672
322.5,0.506759
322.75,0.506727
323,0.506768
323.25,0.506649
323.5,0.50656
323.75,0.50655
324,0.506527
324.25,0.506574
324.5,0.506535
324.75,0.506539
325,0.506537
325.25,0.506556
325.5,0.50651
325.75,0.506506
326,0.506525
326.25,0.506458
326.5,0.506447
326.75,0.506394
327,0.506435
327.25,0.506442
327.5,0.506423
327.75,0.506377
328,0.506424
328.25,0.506427
328.5,0.506452
328.75,0.506434
329,0.506453
329.25,0.506455
329.5,0.506494
329.75,0.506513
330,0.506498
330.25,0.506529
330.5,0.506589
330.75,0.506621
331,0.506633
331.25,0.5066
331.5,0.506609
331.75,0.506613
332,0.506575
332.25,0.506629
332.5,0.506699
332.75,0.506696
333,0.506692
333.25,0.506646
333.5,0.506656
333.75,0.506676
334,0.506721
334.25,0.506739
334.5,0.506742
334.75,0.506711
335,0.50661
335.25,0.506614
335.5,0.506605
335.75,0.50661
336,0.506612
336.25,0.506587
336.5,0.506591
336.75,0.506582
337,0.506556
337.25,0.506546
337.5,0.506538
337.75,0.506541
338,0.506441
338.25,0.506474
338.5,0.506437
338.75,0.50642
339,0.506391
339.25,0.506396
339.5,0.506415
339.75,0.506405
340,0.506333
340.25,0.506297
340.5,0.506253
340.75,0.506209
341,0.506192
341.25,0.50619
341.5,0.50618
341.75,0.506157
342,0.50614
342.25,0.506089
342.5,0.506057
342.75,0.506028
343,0.505977
343.25,0.505926
343.5,0.505904
343.75,0.505867
344,0.505888
344.25,0.505824
344.5,0.505861
344.75,0.50588
345,0.505952
345.25,0.505978
345.5,0.506015
345.75,0.506013
346,0.505983
346.25,0.505974
346.5,0.505909
346.75,0.505957
347,0.505927
347.25,0.505891
347.5,0.505889
347.75,0.505901
348,0.505884
348.25,0.505858
348.5,0.505828
348.75,0.505835
349,0.505839
349.25,0.505807
349.5,0.505832
349.75,0.505834
350,0.505831
350.25,0.505836
350.5,0.505833
350.75,0.505883
351,0.505915
351.25,0.505975
351.5,0.505945
351.75,0.505978
352,0.506023
352.25,0.505953
352.5,0.505951
352.75,0.506011
353,0.506017
353.25,0.506048
353.5,0.506072
353.75,0.506131
354,0.506136
354.25,0.506106
354.5,0.506104
354.75,0.506142
355,0.506151
355.25,0.506162
355.5,0.506147
355.75,0.506096
356,0.506088
356.25,0.506169
356.5,0.506173
356.75,0.506179
357,0.506142
357.25,0.506161
357.5,0.506125
357.75,0.506115
358,0.506161
358.25,0.506199
358.5,0.506197
358.75,0.506161
359,0.506186
359.25,0.506157
359.5,0.506127
359.75,0.506172
360,0.50615
360.25,0.506182
360.5,0.506187
360.75,0.506226
361,0.50617
361.25,0.506147
361.5,0.5062
361.75,0.506178
362,0.506114
362.25,0.506104
362.5,0.50612
362.75,0.506084
363,0.50602
363.25,0.50607
363.5,0.506054
363.75,0.506059
364,0.506077
364.25,0.506128
364.5,0.50612
364.75,0.50613
365,0.506122
365.25,0.506183
365.5,0.506161
365.75,0.506172
366,0.506193
366.25,0.506178
366.5,0.506229
366.75,0.506254
367,0.506279
367.25,0.506304
367.5,0.506295
367.75,0.506306
368,0.506305
368.25,0.506343
368.5,0.506348
368.75,0.506355
369,0.506346
369.25,0.506351
369.5,0.506302
369.75,0.50626
370,0.506204
370.25,0.506229
370.5,0.506167
370.75,0.506145
371,0.506171
371.25,0.506162
371.5,0.506167
371.75,0.506164
372,0.506142
372.25,0.506125
372.5,0.506128
372.75,0.506146
373,0.506125
373.25,0.506028
373.5,0.506027
373.75,0.506006
374,0.506004
374.25,0.506003
374.5,0.505975
374.75,0.505974
375,0.505945
375.25,0.506002
375.5,0.506068
375.75,0.506045
376,0.506084
376.25,0.50609
376.5,0.506116
376.75,0.506101
377,0.506113
377.25,0.506119
377.5,0.506111
377.75,0.506075
378,0.506067
378.25,0.506032
378.5,0.506097
378.75,0.506082
379,0.506013
379.25,0.506005
379.5,0.506021
379.75,0.506019
380,0.506043
380.25,0.506042
380.5,0.506067
380.75,0.5061
381,0.506085
381.25,0.50605
381.5,0.506055
381.75,0.506006
382,0.505964
382.25,0.505943
382.5,0.505942
382.75,0.505934
383,0.505939
383.25,0.505938
383.5,0.50589
383.75,0.505848
384,0.50584
384.25,0.505793
384.5,0.505791
384.75,0.505809
385,0.505794
385.25,0.505793
385.5,0.505799
385.75,0.505792
386,0.505818
386.25,0.50579
386.5,0.505768
386.75,0.505741
387,0.505772
387.25,0.505757
387.5,0.505703
387.75,0.505702
388,0.505707
388.25,0.505619
388.5,0.505597
388.75,0.50557
389,0.505582
389.25,0.505561
389.5,0.505571
389.75,0.50551
390,0.505503
390.25,0.505515
390.5,0.505495
390.75,0.505521
391,0.505546
391.25,0.505545
391.5,0.505524
391.75,0.50555
392,0.505536
392.25,0.505562
392.5,0.505595
392.75,0.505614
393,0.505612
393.25,0.505585
393.5,0.505605
393.75,0.505631
394,0.505596
394.25,0.505628
394.5,0.505576
394.75,0.505588
395,0.50558
395.25,0.505559
395.5,0.505538
395.75,0.50551
396,0.505523
396.25,0.505561
396.5,0.505554
396.75,0.50556
397,0.505573
397.25,0.505579
397.5,0.505565
397.75,0.505565
398,0.505538
398.25,0.505564
398.5,0.50555
398.75,0.505563
399,0.505569
399.25,0.505568
399.5,0.50556
399.75,0.505512
400,0.505485
400.25,0.505458
400.5,0.505443
400.75,0.505422
401,0.505408
401.25,0.505408
401.5,0.505381
401.75,0.50536
402,0.505378
402.25,0.505377
402.5,0.505337
402.75,0.505349
403,0.505328
403.25,0.505308
403.5,0.5053
403.75,0.505306
404,0.505279
404.25,0.505272
