Time,infections_by_new_infectives
101.75,330.927
102,294.151
102.25,303.518
102.5,244.811
102.75,225.937
103,223.927
103.25,266.593
103.5,231.252
103.75,342.637
104,355.458
104.25,193.627
104.5,332.58
104.75,207.026
105,276.42
105.25,214.495
105.5,333.384
105.75,272.347
106,371.735
106.25,259.965
106.5,281.037
106.75,231.815
107,323.933
107.25,295.595
107.5,307.504
107.75,243.812
108,331.887
108.25,301.435
108.5,239.228
108.75,319.413
109,278.648
109.25,244.608
109.5,295.946
109.75,300.597
110,262.828
110.25,240.622
110.5,358.287
110.75,226.801
111,184.949
111.25,346.776
111.5,294.319
111.75,198.223
112,265.37
112.25,317.078
112.5,237.602
112.75,324.594
113,279.332
113.25,339.165
113.5,219.025
113.75,266.023
114,337.466
114.25,297.455
114.5,287.45
114.75,232.226
115,336.312
115.25,285.544
115.5,233.625
115.75,300.647
116,377.79
116.25,326.515
116.5,365.77
116.75,261.227
117,294.323
117.25,379.655
117.5,317.919
117.75,252.843
118,279.662
118.25,262.445
118.5,228.411
118.75,305.55
119,253.241
119.25,347.411
119.5,399.188
119.75,269.537
120,292.261
120.25,243.179
120.5,262.612
120.75,339.604
121,290.589
121.25,235.352
121.5,347.612
121.75,263.688
122,394.933
122.25,355.291
122.5,254.249
122.75,333.697
123,281.063
123.25,336.129
123.5,274.733
123.75,342.512
124,203.97
124.25,247.017
124.5,189.327
124.75,293.567
125,432.975
125.25,253.306
125.5,355.686
125.75,274.322
126,253.674
126.25,348.107
126.5,301.847
126.75,297.874
127,300.885
127.25,326.704
127.5,321.209
127.75,239.788
128,283.394
128.25,379.154
128.5,362.912
128.75,314.847
129,375.436
129.25,388.919
129.5,446.531
129.75,199.663
130,339.703
130.25,261.345
130.5,257.275
130.75,283.616
131,380.198
131.25,252.247
131.5,403.028
131.75,282.393
132,369.635
132.25,291.538
132.5,354.802
132.75,423.069
133,334.399
133.25,359.809
133.5,331.118
133.75,303.063
134,253.289
134.25,372.442
134.5,326.629
134.75,331.223
135,232.87
135.25,303.299
135.5,291.858
135.75,201.546
136,369.605
136.25,295.849
136.5,303.466
136.75,276.213
137,295.589
137.25,346.996
137.5,337.61
137.75,369.578
138,341.447
138.25,351.895
138.5,335.741
138.75,266.274
139,439.924
139.25,264.604
139.5,187.501
139.75,308.244
140,267.035
140.25,256.972
140.5,272.783
140.75,314.103
141,305.343
141.25,336.958
141.5,416.482
141.75,220.46
142,363.549
142.25,296.213
142.5,291.098
142.75,352.3
143,325.929
143.25,266.714
143.5,313.245
143.75,364.714
144,246.966
144.25,315.349
144.5,241.072
144.75,287.863
145,271.878
145.25,284.654
145.5,278.566
145.75,286
146,308.955
146.25,341.438
146.5,209.532
146.75,313.958
147,291.528
147.25,460.968
147.5,292.682
147.75,368.881
148,328.087
148.25,292.03
148.5,312.949
148.75,348.3
149,365.268
149.25,369.831
149.5,291.436
149.75,357.443
150,250.12
150.25,320.347
150.5,191.234
150.75,294.565
151,345.753
151.25,406.963
151.5,227.877
151.75,303.533
152,310.574
152.25,432.315
152.5,301.981
152.75,237.75
153,351.512
153.25,309.403
153.5,367.434
153.75,259.675
154,308.627
154.25,393.06
154.5,301.921
154.75,278.623
155,344.739
155.25,421.563
155.5,267.357
155.75,371.944
156,299.077
156.25,319.385
156.5,386.531
156.75,304.285
157,317.195
157.25,311.748
157.5,309.545
157.75,268.058
158,289.328
158.25,362.953
158.5,378.994
158.75,477.274
159,292.02
159.25,290.534
159.5,257.218
159.75,327.915
160,286.633
160.25,303.432
160.5,327.298
160.75,423.583
161,275.34
161.25,284.71
161.5,346.95
161.75,297.807
162,201.897
162.25,255.044
162.5,298.947
162.75,417.585
163,279.449
163.25,371.33
163.5,256.173
163.75,316.353
164,301.461
164.25,272.048
164.5,203.558
164.75,275.331
165,282.756
