Time,cumulative_mean_fraction_lambda_H
62,0.308914
62.25,0.308696
62.5,0.308417
62.75,0.3083
63,0.307557
63.25,0.308464
63.5,0.309251
63.75,0.30853
64,0.309198
64.25,0.309188
64.5,0.309496
64.75,0.309219
65,0.30823
65.25,0.308109
65.5,0.308562
65.75,0.308335
66,0.30868
66.25,0.309295
66.5,0.308899
66.75,0.308273
67,0.306337
67.25,0.305574
67.5,0.305134
67.75,0.304368
68,0.302963
68.25,0.30335
68.5,0.30312
68.75,0.302233
69,0.301384
69.25,0.300283
69.5,0.299512
69.75,0.299215
70,0.299263
70.25,0.298907
70.5,0.300551
70.75,0.300967
71,0.302592
71.25,0.304503
71.5,0.305299
71.75,0.30766
72,0.309653
72.25,0.310949
72.5,0.312766
72.75,0.314206
73,0.31556
73.25,0.317365
73.5,0.319006
73.75,0.320569
74,0.320784
74.25,0.322262
74.5,0.322556
74.75,0.323751
75,0.325084
75.25,0.325447
75.5,0.326396
75.75,0.327699
76,0.328302
76.25,0.329107
76.5,0.330181
76.75,0.330497
77,0.331904
77.25,0.332402
77.5,0.332929
77.75,0.333449
78,0.333688
78.25,0.334229
78.5,0.334629
78.75,0.334587
79,0.334946
79.25,0.335369
79.5,0.335125
79.75,0.334752
80,0.335329
80.25,0.335896
80.5,0.336061
80.75,0.336141
81,0.336594
81.25,0.336255
81.5,0.336204
81.75,0.336496
82,0.336751
82.25,0.33703
82.5,0.337217
82.75,0.337067
83,0.336983
83.25,0.336263
83.5,0.335948
83.75,0.336076
84,0.336414
84.25,0.336922
84.5,0.337511
84.75,0.336934
85,0.337425
85.25,0.337992
85.5,0.33776
85.75,0.338835
86,0.339506
86.25,0.340061
86.5,0.340434
86.75,0.340913
87,0.34078
87.25,0.341422
87.5,0.341133
87.75,0.340929
88,0.3418
88.25,0.342387
88.5,0.342228
88.75,0.342532
89,0.343173
89.25,0.34345
89.5,0.343432
89.75,0.343875
90,0.343851
90.25,0.344117
90.5,0.344198
90.75,0.344741
91,0.344453
91.25,0.344169
91.5,0.344193
91.75,0.344463
92,0.344974
92.25,0.344768
92.5,0.344788
92.75,0.344878
93,0.344948
93.25,0.345206
93.5,0.345239
93.75,0.345306
94,0.345286
94.25,0.345259
94.5,0.345412
94.75,0.345754
95,0.346333
95.25,0.346138
95.5,0.34578
95.75,0.345438
96,0.345536
96.25,0.345815
96.5,0.34609
96.75,0.346212
97,0.346123
97.25,0.346391
97.5,0.346527
97.75,0.346589
98,0.346863
98.25,0.346887
98.5,0.347186
98.75,0.347539
99,0.347398
99.25,0.347571
99.5,0.347404
99.75,0.347176
100,0.347054
100.25,0.347167
100.5,0.347017
100.75,0.347186
101,0.346948
101.25,0.347413
101.5,0.347661
101.75,0.348052
102,0.348173
102.25,0.348535
102.5,0.348533
102.75,0.348397
103,0.348193
103.25,0.348619
103.5,0.348751
103.75,0.348789
104,0.349086
104.25,0.348795
104.5,0.348705
104.75,0.348573
105,0.348528
105.25,0.348654
105.5,0.348589
105.75,0.348719
106,0.348528
106.25,0.34845
106.5,0.348554
106.75,0.348497
107,0.348881
107.25,0.34925
107.5,0.349156
107.75,0.3493
108,0.349848
108.25,0.350357
108.5,0.350416
108.75,0.350178
109,0.350308
109.25,0.350434
109.5,0.350398
109.75,0.350836
110,0.350473
110.25,0.350185
110.5,0.350275
110.75,0.349838
111,0.349669
111.25,0.349883
111.5,0.349934
111.75,0.349771
112,0.350099
112.25,0.350239
112.5,0.350403
112.75,0.350475
113,0.350468
113.25,0.350633
113.5,0.350424
113.75,0.350561
114,0.350517
114.25,0.350964
114.5,0.350899
114.75,0.350614
115,0.350531
115.25,0.350478
115.5,0.350768
115.75,0.350739
116,0.350696
116.25,0.350864
116.5,0.350616
116.75,0.350525
117,0.35071
117.25,0.350616
117.5,0.350423
117.75,0.350716
118,0.350924
118.25,0.350835
118.5,0.350997
118.75,0.351017
119,0.351224
119.25,0.351069
119.5,0.351071
119.75,0.350964
120,0.350774
120.25,0.350979
120.5,0.350847
120.75,0.35107
121,0.351177
121.25,0.351235
121.5,0.351249
121.75,0.351373
122,0.351374
122.25,0.351383
122.5,0.351465
122.75,0.351579
123,0.352065
123.25,0.352157
123.5,0.352132
123.75,0.35199
124,0.35218
124.25,0.352612
124.5,0.352343
124.75,0.3523
125,0.352203
125.25,0.352341
125.5,0.352217
125.75,0.352521
126,0.352789
126.25,0.353013
126.5,0.353192
126.75,0.353451
127,0.353436
127.25,0.353267
127.5,0.353306
127.75,0.353226
128,0.353284
128.25,0.353234
128.5,0.353521
128.75,0.353614
129,0.353596
129.25,0.353388
129.5,0.353339
129.75,0.353299
130,0.353219
130.25,0.35332
130.5,0.353121
130.75,0.353091
131,0.352805
131.25,0.352558
131.5,0.352606
131.75,0.352495
132,0.352098
132.25,0.351847
132.5,0.352053
132.75,0.352114
133,0.352159
133.25,0.352358
133.5,0.352497
133.75,0.352838
134,0.353024
134.25,0.353229
134.5,0.352879
134.75,0.353001
135,0.352933
135.25,0.353222
135.5,0.353246
135.75,0.353343
136,0.353432
136.25,0.353813
136.5,0.354055
136.75,0.354014
137,0.354278
137.25,0.354225
137.5,0.354294
137.75,0.3541
138,0.354401
138.25,0.354801
138.5,0.355076
138.75,0.355201
139,0.355297
139.25,0.355213
139.5,0.355052
139.75,0.355177
140,0.355128
140.25,0.35503
140.5,0.355145
140.75,0.355246
141,0.355282
141.25,0.355148
141.5,0.355129
141.75,0.355044
142,0.35502
142.25,0.35509
142.5,0.355183
142.75,0.35546
143,0.355309
143.25,0.355419
143.5,0.355393
143.75,0.355433
144,0.355705
144.25,0.355617
144.5,0.355723
144.75,0.355885
145,0.35589
145.25,0.355807
145.5,0.355899
145.75,0.355902
146,0.355898
146.25,0.35607
146.5,0.356291
146.75,0.356213
147,0.356502
147.25,0.35656
147.5,0.356556
147.75,0.356652
148,0.356805
148.25,0.356606
148.5,0.356292
148.75,0.35605
149,0.355775
149.25,0.355982
149.5,0.356005
149.75,0.356108
150,0.356107
150.25,0.356039
150.5,0.355974
150.75,0.35588
151,0.355746
151.25,0.355949
151.5,0.355986
151.75,0.355981
152,0.355981
152.25,0.356071
152.5,0.356511
152.75,0.356434
153,0.356347
153.25,0.356164
153.5,0.356254
153.75,0.356163
154,0.356236
154.25,0.356188
154.5,0.356223
154.75,0.356492
155,0.35633
155.25,0.356354
155.5,0.356316
155.75,0.356547
156,0.356337
156.25,0.35633
156.5,0.356211
156.75,0.355995
157,0.355998
157.25,0.355665
157.5,0.355565
157.75,0.355367
158,0.355399
158.25,0.355286
158.5,0.355353
158.75,0.355381
159,0.355447
159.25,0.355606
159.5,0.355898
159.75,0.356373
160,0.35648
160.25,0.356498
160.5,0.356489
160.75,0.35674
161,0.356783
161.25,0.356935
161.5,0.356941
161.75,0.357056
162,0.357307
162.25,0.357474
162.5,0.3577
162.75,0.357797
163,0.358079
163.25,0.358221
163.5,0.35838
163.75,0.358712
164,0.358914
164.25,0.359074
164.5,0.35906
164.75,0.359124
165,0.359077
165.25,0.359139
165.5,0.359215
165.75,0.359089
166,0.359205
166.25,0.359264
166.5,0.359496
166.75,0.359644
167,0.359572
167.25,0.359764
167.5,0.359979
167.75,0.359996
168,0.360094
168.25,0.360202
168.5,0.360286
168.75,0.360264
169,0.36029
169.25,0.360232
169.5,0.360223
169.75,0.36035
170,0.360155
170.25,0.360096
170.5,0.360208
170.75,0.360395
171,0.360433
171.25,0.360448
171.5,0.360455
171.75,0.36038
172,0.360505
172.25,0.3605
172.5,0.360563
172.75,0.360544
173,0.360678
173.25,0.360767
173.5,0.360871
173.75,0.360964
174,0.361157
174.25,0.361003
174.5,0.361206
174.75,0.361225
175,0.361275
175.25,0.361439
175.5,0.361492
175.75,0.361591
176,0.361521
176.25,0.361435
176.5,0.36147
176.75,0.361604
177,0.361646
177.25,0.361714
177.5,0.361541
177.75,0.361431
178,0.361438
178.25,0.361366
178.5,0.361322
178.75,0.361168
179,0.361193
179.25,0.361241
179.5,0.361043
179.75,0.360851
180,0.360908
180.25,0.360937
180.5,0.360856
180.75,0.360908
181,0.360789
181.25,0.360809
181.5,0.360909
181.75,0.361006
182,0.360914
182.25,0.360933
182.5,0.361102
182.75,0.361102
183,0.361304
183.25,0.361178
183.5,0.361048
183.75,0.360854
184,0.360751
184.25,0.36066
184.5,0.360687
184.75,0.360644
185,0.360547
185.25,0.360499
185.5,0.36072
185.75,0.360801
186,0.360903
186.25,0.360762
186.5,0.360824
186.75,0.360806
187,0.360923
187.25,0.360819
187.5,0.361052
187.75,0.36115
188,0.361158
188.25,0.36101
188.5,0.361137
188.75,0.361412
189,0.361462
189.25,0.361488
189.5,0.361639
189.75,0.361702
190,0.361778
190.25,0.361753
190.5,0.361936
190.75,0.361953
191,0.361988
191.25,0.362314
191.5,0.362437
191.75,0.3624
192,0.362409
192.25,0.362491
192.5,0.362502
192.75,0.362436
193,0.362407
193.25,0.362435
193.5,0.362676
193.75,0.362692
194,0.362674
194.25,0.362715
194.5,0.362756
