Day,num_positive,num_hospitalised,num_cumulative_hospitalizations,num_critical,num_fatalities
255,106,63,1941,14,198
256,98,67,1951,11,200
257,85,69,1959,10,202
258,109,77,1969,9,202
259,84,72,1974,10,203
260,71,71,1980,8,205
261,87,69,1988,9,207
262,101,68,1998,13,207
263,65,63,2004,16,207
264,83,59,2010,19,207
265,70,60,2019,21,207
266,81,57,2026,23,207
267,73,59,2033,22,207
268,98,62,2042,22,207
269,84,58,2046,19,208
270,93,54,2052,15,212
271,82,53,2057,13,213
272,82,53,2063,10,216
273,69,54,2073,7,217
274,82,55,2081,7,219
275,79,55,2088,7,220
276,74,49,2091,8,220
277,70,49,2095,11,220
278,64,49,2101,11,220
279,71,53,2110,10,220
280,82,48,2112,10,220
281,68,46,2120,13,220
282,59,41,2122,13,221
283,79,41,2129,13,222
284,63,44,2135,12,223
285,79,48,2143,9,224
286,68,46,2147,10,224
287,72,43,2153,11,224
288,68,44,2156,11,224
289,71,42,2162,10,226
290,76,51,2173,8,226
291,58,51,2180,7,228
292,63,55,2190,7,228
293,65,56,2199,10,228
294,67,56,2203,9,230
295,55,53,2206,10,231
296,54,57,2213,10,231
297,36,54,2216,11,233
298,53,47,2220,13,233
299,48,47,2227,14,233
300,59,41,2231,14,234
301,49,35,2234,12,236
302,50,35,2238,11,237
303,49,36,2242,10,239
304,55,32,2245,10,239
305,41,32,2248,7,241
306,39,32,2252,6,241
307,56,30,2257,7,242
308,37,30,2261,7,242
309,56,30,2264,6,243
310,52,27,2265,8,243
311,50,29,2271,8,244
312,52,31,2276,9,244
313,60,34,2282,10,244
314,61,35,2287,11,244
315,58,34,2291,11,246
316,48,32,2293,11,246
317,55,34,2298,12,246
318,43,39,2304,11,246
319,58,34,2306,11,246
320,62,31,2307,11,247
321,51,34,2316,13,248
322,56,36,2323,11,249
323,52,36,2327,10,251
324,46,34,2327,10,252
325,51,37,2335,9,252
326,49,35,2340,8,252
327,41,39,2345,8,253
328,39,42,2349,7,253
329,52,39,2355,7,256
330,42,34,2357,8,256
331,50,33,2360,8,257
332,47,37,2364,7,257
333,44,35,2370,9,257
334,36,30,2370,10,257
335,58,29,2374,11,258
336,47,27,2376,13,258
337,36,23,2378,10,261
338,43,23,2380,10,262
339,41,24,2384,9,263
340,28,25,2389,9,263
341,46,21,2391,8,265
342,49,24,2394,7,266
343,39,23,2397,5,267
344,31,24,2400,5,267
345,38,26,2404,5,267
346,27,26,2406,5,267
347,30,22,2406,5,267
348,37,21,2410,6,267
349,31,25,2416,6,268
350,37,24,2418,8,268
351,35,23,2420,8,268
352,26,21,2421,7,270
353,47,18,2422,7,270
354,37,18,2424,6,271
355,27,19,2425,5,272
356,27,16,2426,5,273
357,23,12,2428,5,274
358,40,13,2431,3,276
359,18,13,2433,4,276
360,38,15,2436,3,277
361,35,18,2440,3,277
362,30,21,2445,3,277
363,27,22,2447,3,277
364,38,25,2451,3,277
365,24,25,2453,3,278
366,39,24,2455,4,278
367,27,24,2457,3,278
368,31,25,2461,3,278
369,32,22,2462,5,278
370,29,18,2463,6,278
371,35,19,2466,7,278
372,33,20,2471,7,279
373,31,19,2472,8,279
374,26,20,2475,7,279
375,30,21,2478,9,279
376,32,19,2480,10,279
377,20,21,2483,8,281
378,18,21,2484,7,281
379,24,19,2485,7,281
380,29,15,2486,6,282
381,20,15,2487,5,282
382,25,15,2490,6,282
383,17,12,2490,6,283
384,28,11,2491,6,284
385,17,9,2492,7,284
386,23,10,2494,7,284
387,17,10,2495,6,285
388,18,13,2499,7,285
389,19,12,2499,6,286
390,13,11,2501,5,286
391,18,12,2502,3,286
392,18,15,2506,2,286
393,16,14,2506,1,287
394,20,17,2511,1,287
395,18,17,2512,1,287
396,16,14,2513,0,287
397,14,14,2513,0,287
398,12,12,2513,0,287
399,17,12,2514,0,287
400,11,9,2515,2,287
401,20,14,2520,2,287
402,6,9,2520,3,287
403,7,8,2520,4,287
404,11,7,2520,5,287
405,13,8,2521,5,287
406,12,12,2525,5,287
407,18,13,2527,5,287
408,14,13,2528,3,288
409,17,9,2529,4,288
410,10,10,2530,3,288
411,11,11,2531,2,288
412,9,15,2535,1,288
413,21,16,2537,1,288
414,14,12,2537,1,288
415,12,12,2539,1,288
416,13,11,2539,2,288
417,10,11,2540,1,289
418,15,13,2543,1,289
419,13,15,2546,1,289
420,5,12,2547,2,289
421,7,10,2547,3,289
422,11,11,2548,3,289
423,15,12,2551,3,289
424,14,14,2553,2,289
425,9,13,2553,2,289
426,15,11,2554,2,289
427,7,9,2555,2,289
428,14,8,2555,1,290
429,6,11,2558,0,291
430,8,10,2558,0,291
431,16,10,2561,1,291
432,11,9,2562,2,291
433,17,10,2563,2,291
434,13,10,2564,2,291
435,16,11,2566,2,291
436,6,11,2566,2,291
437,10,9,2567,3,291
438,7,10,2568,3,291
439,8,7,2568,3,292
440,12,7,2569,2,293
441,4,6,2569,2,293
442,9,5,2569,2,293
443,6,5,2571,3,293
444,11,6,2572,3,293
445,8,7,2574,2,293
446,10,9,2577,2,293
447,5,9,2577,1,293
448,7,8,2577,1,293
449,5,9,2578,1,293
450,8,9,2578,1,293
451,6,8,2579,1,293
452,7,7,2579,1,293
453,4,6,2580,1,293
454,4,5,2582,1,293
455,5,5,2582,1,293
456,4,6,2583,1,293
457,8,7,2585,1,293
458,3,7,2585,1,293
459,7,6,2585,0,293
460,8,6,2585,0,293
461,5,6,2586,0,293
462,4,4,2586,1,293
463,2,6,2588,1,293
464,6,6,2589,2,293
465,4,4,2589,2,293
466,2,4,2589,2,293
467,5,4,2589,2,293
468,2,4,2589,2,293
469,2,3,2589,2,293
470,3,3,2589,1,294
471,4,1,2589,1,294
472,2,1,2590,0,294
473,3,2,2591,0,294
474,3,3,2592,0,294
475,4,3,2592,0,294
476,2,4,2593,0,294
477,4,4,2593,0,294
478,5,4,2593,0,294
479,3,4,2593,0,294
