Time,cumulative_mean_fraction_lambda_C
93.75,0.137792
94,0.137696
94.25,0.137574
94.5,0.137416
94.75,0.137332
95,0.137255
95.25,0.137278
95.5,0.137516
95.75,0.137431
96,0.137494
96.25,0.137758
96.5,0.137926
96.75,0.137899
97,0.138001
97.25,0.138079
97.5,0.137955
97.75,0.137975
98,0.137916
98.25,0.137767
98.5,0.137916
98.75,0.137961
99,0.137872
99.25,0.137882
99.5,0.138042
99.75,0.138066
100,0.137963
100.25,0.137877
100.5,0.137885
100.75,0.137844
101,0.137658
101.25,0.137811
101.5,0.137822
101.75,0.137683
102,0.137691
102.25,0.137688
102.5,0.137522
102.75,0.137362
103,0.137404
103.25,0.137233
103.5,0.137496
103.75,0.137645
104,0.137815
104.25,0.137985
104.5,0.138101
104.75,0.138093
105,0.138047
105.25,0.137987
105.5,0.13799
105.75,0.13795
106,0.137954
106.25,0.137934
106.5,0.137862
106.75,0.137814
107,0.137897
107.25,0.137788
107.5,0.138063
107.75,0.137908
108,0.137912
108.25,0.13773
108.5,0.137761
108.75,0.13784
109,0.137796
109.25,0.137671
109.5,0.13759
109.75,0.137471
110,0.137415
110.25,0.137418
110.5,0.13745
110.75,0.137481
111,0.137595
111.25,0.137736
111.5,0.137668
111.75,0.137526
112,0.137473
112.25,0.137477
112.5,0.137543
112.75,0.137671
113,0.137588
113.25,0.137559
113.5,0.137603
113.75,0.137618
114,0.137575
114.25,0.13759
114.5,0.137679
114.75,0.137841
115,0.13786
115.25,0.13784
115.5,0.137746
115.75,0.137687
116,0.13767
116.25,0.137832
116.5,0.137762
116.75,0.137634
117,0.137591
117.25,0.13761
117.5,0.137625
117.75,0.137666
118,0.137573
118.25,0.13748
118.5,0.137498
118.75,0.137624
119,0.13752
119.25,0.137419
119.5,0.137579
119.75,0.137409
120,0.137485
120.25,0.137512
120.5,0.137492
120.75,0.137449
121,0.137358
121.25,0.137233
121.5,0.137214
121.75,0.137229
122,0.137161
122.25,0.137153
122.5,0.137365
122.75,0.137464
123,0.137551
123.25,0.137483
123.5,0.137426
123.75,0.137335
124,0.13741
124.25,0.137365
124.5,0.137331
124.75,0.137406
125,0.137388
125.25,0.13732
125.5,0.137346
125.75,0.137466
126,0.137515
126.25,0.137459
126.5,0.137425
126.75,0.137391
127,0.137439
127.25,0.137465
127.5,0.137386
127.75,0.13733
128,0.137487
128.25,0.137374
128.5,0.137306
128.75,0.137358
129,0.137245
129.25,0.137248
129.5,0.137263
129.75,0.137173
130,0.137117
130.25,0.137106
130.5,0.13717
130.75,0.137125
131,0.137266
131.25,0.137247
131.5,0.137235
131.75,0.137168
132,0.137298
132.25,0.137335
132.5,0.137372
132.75,0.137338
133,0.137316
133.25,0.137293
133.5,0.137353
133.75,0.137342
134,0.137274
134.25,0.137197
134.5,0.137256
134.75,0.137315
135,0.137341
135.25,0.137319
135.5,0.137263
135.75,0.137207
136,0.137292
136.25,0.137269
136.5,0.137236
136.75,0.137284
137,0.137343
137.25,0.137402
137.5,0.137369
137.75,0.137335
138,0.137328
138.25,0.137317
138.5,0.137294
138.75,0.137283
139,0.137272
139.25,0.137272
139.5,0.137272
139.75,0.137261
140,0.137334
140.25,0.137278
140.5,0.137256
140.75,0.137374
141,0.1374
141.25,0.137378
141.5,0.137355
141.75,0.137355
142,0.137355
142.25,0.137344
142.5,0.137322
142.75,0.137322
143,0.1373
143.25,0.137288
143.5,0.137277
143.75,0.137244
144,0.137292
144.25,0.137259
144.5,0.137284
144.75,0.137278
145,0.1372
145.25,0.137156
145.5,0.137145
145.75,0.137181
146,0.137148
146.25,0.137137
146.5,0.137126
146.75,0.137196
147,0.137173
147.25,0.137173
147.5,0.137173
147.75,0.137243
148,0.137232
148.25,0.137232
148.5,0.137232
148.75,0.137232
149,0.137232
149.25,0.13721
149.5,0.137199
149.75,0.137133
150,0.137133
150.25,0.137133
150.5,0.137122
150.75,0.137122
151,0.13711
151.25,0.13711
151.5,0.137099
151.75,0.137099
152,0.137099
152.25,0.137099
152.5,0.137088
152.75,0.137088
153,0.137077
153.25,0.137066
153.5,0.137066
153.75,0.137066
154,0.137055
154.25,0.137033
154.5,0.137092
154.75,0.13707
155,0.137048
155.25,0.137048
155.5,0.137003
155.75,0.137003
156,0.137003
156.25,0.137003
156.5,0.136992
156.75,0.136992
157,0.136992
157.25,0.136981
157.5,0.136981
157.75,0.136981
158,0.13697
158.25,0.13697
158.5,0.136959
158.75,0.136959
159,0.136959
159.25,0.136959
159.5,0.136959
159.75,0.136959
160,0.136948
160.25,0.136937
160.5,0.136974
160.75,0.136963
161,0.13701
161.25,0.13701
161.5,0.13701
161.75,0.13701
162,0.136999
162.25,0.136988
162.5,0.136988
162.75,0.136988
163,0.136988
163.25,0.136988
163.5,0.136988
163.75,0.136977
164,0.136966
164.25,0.137025
164.5,0.137002
164.75,0.136969
165,0.136969
165.25,0.136969
165.5,0.136969
165.75,0.136958
166,0.136958
166.25,0.136958
166.5,0.136958
166.75,0.136958
167,0.136958
167.25,0.136958
167.5,0.136958
167.75,0.136958
168,0.136958
168.25,0.136958
168.5,0.136958
168.75,0.136958
169,0.136958
169.25,0.136958
169.5,0.136958
169.75,0.136958
170,0.136958
170.25,0.137017
170.5,0.137017
170.75,0.136984
171,0.136962
171.25,0.136962
171.5,0.136951
171.75,0.136951
172,0.136951
172.25,0.136951
172.5,0.136951
172.75,0.13694
173,0.13694
173.25,0.136929
173.5,0.136929
173.75,0.136929
174,0.136929
174.25,0.136918
174.5,0.136896
174.75,0.136896
175,0.136896
175.25,0.136896
175.5,0.136896
175.75,0.136896
176,0.136896
176.25,0.136896
176.5,0.136885
176.75,0.136885
177,0.136885
177.25,0.136885
177.5,0.136885
177.75,0.136885
178,0.136874
