Time,cumulative_mean_fraction_lambda_H
93.75,0.364135
94,0.364186
94.25,0.364448
94.5,0.364514
94.75,0.364996
95,0.365351
95.25,0.365654
95.5,0.365693
95.75,0.36596
96,0.365847
96.25,0.365675
96.5,0.365504
96.75,0.365577
97,0.365474
97.25,0.365396
97.5,0.365244
97.75,0.365175
98,0.365415
98.25,0.365563
98.5,0.365595
98.75,0.365684
99,0.365731
99.25,0.365903
99.5,0.365867
99.75,0.365838
100,0.366124
100.25,0.366254
100.5,0.365971
100.75,0.366008
101,0.366145
101.25,0.365854
101.5,0.366203
101.75,0.366101
102,0.366269
102.25,0.366494
102.5,0.366393
102.75,0.366381
103,0.366116
103.25,0.366373
103.5,0.366418
103.75,0.366486
104,0.366404
104.25,0.366232
104.5,0.366247
104.75,0.366253
105,0.366517
105.25,0.366531
105.5,0.36657
105.75,0.366478
106,0.366428
106.25,0.36649
106.5,0.366385
106.75,0.366388
107,0.366697
107.25,0.366758
107.5,0.36657
107.75,0.366591
108,0.366717
108.25,0.366591
108.5,0.366469
108.75,0.366737
109,0.366821
109.25,0.366594
109.5,0.366757
109.75,0.367047
110,0.366925
110.25,0.366875
110.5,0.36684
110.75,0.366892
111,0.366993
111.25,0.366675
111.5,0.366609
111.75,0.366574
112,0.366712
112.25,0.366663
112.5,0.366723
112.75,0.366462
113,0.366413
113.25,0.366442
113.5,0.36644
113.75,0.366251
114,0.366505
114.25,0.366659
114.5,0.366611
114.75,0.366531
115,0.366465
115.25,0.366354
115.5,0.366446
115.75,0.366545
116,0.366727
116.25,0.366563
116.5,0.366631
116.75,0.366458
117,0.36671
117.25,0.366815
117.5,0.366798
117.75,0.36688
118,0.367054
118.25,0.367229
118.5,0.367248
118.75,0.36716
119,0.367304
119.25,0.36723
119.5,0.367235
119.75,0.367444
120,0.367365
120.25,0.367211
120.5,0.367185
120.75,0.367518
121,0.36769
121.25,0.367854
121.5,0.367912
121.75,0.367895
122,0.367961
122.25,0.367966
122.5,0.367914
122.75,0.367813
123,0.367932
123.25,0.367998
123.5,0.368261
123.75,0.368515
124,0.368602
124.25,0.368646
124.5,0.36872
124.75,0.368641
125,0.368615
125.25,0.368597
125.5,0.368693
125.75,0.368654
126,0.368645
126.25,0.368658
126.5,0.368649
126.75,0.368723
127,0.368632
127.25,0.368728
127.5,0.368762
127.75,0.368775
128,0.368779
128.25,0.36897
128.5,0.369117
128.75,0.369143
129,0.369333
129.25,0.369285
129.5,0.369348
129.75,0.369434
130,0.369529
130.25,0.369581
130.5,0.36952
130.75,0.369563
131,0.369502
131.25,0.369442
131.5,0.369493
131.75,0.36964
132,0.369549
132.25,0.369674
132.5,0.369716
132.75,0.369707
133,0.369811
133.25,0.369832
133.5,0.369853
133.75,0.369823
134,0.369969
134.25,0.370084
134.5,0.370105
134.75,0.370045
135,0.370221
135.25,0.37016
135.5,0.370336
135.75,0.370348
136,0.370463
136.25,0.370402
136.5,0.370556
136.75,0.370547
137,0.370487
137.25,0.370508
137.5,0.37058
137.75,0.370653
138,0.370623
138.25,0.370674
138.5,0.370695
138.75,0.370665
139,0.370716
139.25,0.370716
139.5,0.370716
139.75,0.370767
140,0.370852
140.25,0.370945
140.5,0.370966
140.75,0.370845
141,0.370694
141.25,0.370634
141.5,0.370655
141.75,0.370655
142,0.370655
142.25,0.370625
142.5,0.370646
142.75,0.370646
143,0.370667
143.25,0.370718
143.5,0.370688
143.75,0.370841
144,0.370832
144.25,0.370904
144.5,0.370997
144.75,0.370838
145,0.37087
145.25,0.370993
145.5,0.371044
145.75,0.371167
146,0.37132
146.25,0.371371
146.5,0.371422
146.75,0.371391
147,0.371493
147.25,0.371493
147.5,0.371493
147.75,0.371463
148,0.371514
148.25,0.371514
148.5,0.371514
148.75,0.371514
149,0.371514
149.25,0.371535
149.5,0.371505
149.75,0.371486
150,0.371486
150.25,0.371486
150.5,0.371456
150.75,0.371456
151,0.371426
151.25,0.371426
151.5,0.371396
151.75,0.371396
152,0.371396
152.25,0.371396
152.5,0.371447
152.75,0.371447
153,0.371498
153.25,0.371468
153.5,0.371468
153.75,0.371468
154,0.371519
154.25,0.371539
154.5,0.37156
154.75,0.371581
155,0.371521
155.25,0.371521
155.5,0.371562
155.75,0.371562
156,0.371562
156.25,0.371562
156.5,0.371532
156.75,0.371532
157,0.371532
157.25,0.371583
157.5,0.371583
157.75,0.371583
158,0.371634
158.25,0.371634
158.5,0.371684
158.75,0.371684
159,0.371684
159.25,0.371684
159.5,0.371684
159.75,0.371684
160,0.371654
160.25,0.371705
160.5,0.371666
160.75,0.371716
161,0.371707
161.25,0.371707
161.5,0.371707
161.75,0.371707
162,0.371758
162.25,0.371809
162.5,0.371809
162.75,0.371809
163,0.371809
163.25,0.371809
163.5,0.371809
163.75,0.371779
164,0.371829
164.25,0.37185
164.5,0.37179
164.75,0.371781
165,0.371781
165.25,0.371781
165.5,0.371781
165.75,0.371831
166,0.371831
166.25,0.371831
166.5,0.371831
166.75,0.371831
167,0.371831
167.25,0.371831
167.5,0.371831
167.75,0.371831
168,0.371831
168.25,0.371831
168.5,0.371831
168.75,0.371831
169,0.371831
169.25,0.371831
169.5,0.371831
169.75,0.371831
170,0.371831
170.25,0.371771
170.5,0.371771
170.75,0.371681
171,0.371702
171.25,0.371702
171.5,0.371753
171.75,0.371753
172,0.371753
172.25,0.371753
172.5,0.371753
172.75,0.371723
173,0.371723
173.25,0.371773
173.5,0.371773
173.75,0.371773
174,0.371773
174.25,0.371824
174.5,0.371925
174.75,0.371925
175,0.371925
175.25,0.371925
175.5,0.371925
175.75,0.371925
176,0.371925
176.25,0.371925
176.5,0.371976
176.75,0.371976
177,0.371976
177.25,0.371976
177.5,0.371976
177.75,0.371976
178,0.372026
178.25,0.372026
178.5,0.372026
178.75,0.372026
179,0.372026
179.25,0.372026
179.5,0.372026
179.75,0.372026
180,0.372026
180.25,0.372026
180.5,0.372026
180.75,0.372026
181,0.372026
181.25,0.372026
181.5,0.372026
181.75,0.372026
182,0.372026
182.25,0.372026
182.5,0.372026
182.75,0.372026
183,0.372026
183.25,0.372026
183.5,0.372026
183.75,0.372026
184,0.372026
184.25,0.372026
184.5,0.372026
184.75,0.372026
185,0.372026
185.25,0.372026
185.5,0.372026
185.75,0.372026
186,0.372026
186.25,0.372026
186.5,0.372026
186.75,0.372026
187,0.372026
187.25,0.372026
187.5,0.372026
187.75,0.372026
188,0.372026
188.25,0.372026
188.5,0.372026
188.75,0.372026
189,0.372026
189.25,0.372026
189.5,0.372026
189.75,0.372026
190,0.372026
190.25,0.372026
190.5,0.372026
