Time,num_fatalities
0,0
0.25,0
0.5,0
0.75,0
1,0
1.25,0
1.5,0
1.75,0
2,0
2.25,0
2.5,0
2.75,0
3,0
3.25,0
3.5,0
3.75,0
4,0
4.25,0
4.5,0
4.75,0
5,0
5.25,0
5.5,0
5.75,0
6,0
6.25,0
6.5,0
6.75,0
7,0
7.25,0
7.5,0
7.75,0
8,0
8.25,0
8.5,0
8.75,0
9,0
9.25,0
9.5,0
9.75,0
10,0
10.25,0
10.5,0
10.75,0
11,0
11.25,0
11.5,0
11.75,0
12,0
12.25,0
12.5,0
12.75,0
13,0
13.25,0
13.5,0
13.75,0
14,0
14.25,0
14.5,0
14.75,0
15,0
15.25,0
15.5,0
15.75,0
16,0
16.25,0
16.5,0
16.75,0
17,0
17.25,0
17.5,0
17.75,0
18,0
18.25,0
18.5,0
18.75,0
19,0
19.25,0
19.5,0
19.75,0
20,0
20.25,0
20.5,0
20.75,0
21,0
21.25,0
21.5,0
21.75,0
22,0
22.25,0
22.5,0
22.75,1
23,1
23.25,1
23.5,1
23.75,1
24,1
24.25,1
24.5,1
24.75,1
25,1
25.25,1
25.5,1
25.75,1
26,1
26.25,1
26.5,1
26.75,1
27,1
27.25,1
27.5,1
27.75,1
28,1
28.25,1
28.5,1
28.75,1
29,1
29.25,1
29.5,1
29.75,1
30,1
30.25,1
30.5,1
30.75,1
31,1
31.25,1
31.5,1
31.75,1
32,1
32.25,1
32.5,1
32.75,1
33,1
33.25,1
33.5,1
33.75,1
34,1
34.25,1
34.5,1
34.75,1
35,1
35.25,1
35.5,1
35.75,1
36,1
36.25,1
36.5,1
36.75,1
37,1
37.25,1
37.5,1
37.75,1
38,1
38.25,1
38.5,1
38.75,1
39,1
39.25,1
39.5,1
39.75,1
40,1
40.25,1
40.5,1
40.75,1
41,1
41.25,1
41.5,1
41.75,1
42,1
42.25,1
42.5,1
42.75,1
43,1
43.25,1
43.5,1
43.75,1
44,1
44.25,1
44.5,1
44.75,1
45,1
45.25,1
45.5,2
45.75,2
46,2
46.25,2
46.5,2
46.75,2
47,2
47.25,3
47.5,4
47.75,4
48,4
48.25,4
48.5,4
48.75,4
49,4
49.25,4
49.5,4
49.75,4
50,4
50.25,4
50.5,4
50.75,4
51,4
51.25,4
51.5,4
51.75,4
52,4
52.25,4
52.5,4
52.75,4
53,5
53.25,5
53.5,5
53.75,5
54,5
54.25,5
54.5,5
54.75,5
55,5
55.25,6
55.5,6
55.75,6
56,6
56.25,6
56.5,6
56.75,6
57,6
57.25,6
57.5,6
57.75,6
58,6
58.25,6
58.5,6
58.75,7
59,7
59.25,7
59.5,7
59.75,7
60,8
60.25,9
60.5,9
60.75,9
61,9
61.25,9
61.5,9
61.75,9
62,9
62.25,9
62.5,9
62.75,9
63,10
63.25,10
63.5,10
63.75,10
64,10
64.25,10
64.5,10
64.75,10
65,10
65.25,10
65.5,10
65.75,10
66,10
66.25,10
66.5,10
66.75,11
67,11
67.25,11
67.5,11
67.75,11
68,11
68.25,11
68.5,11
68.75,11
69,11
69.25,11
69.5,11
69.75,11
70,11
70.25,11
70.5,11
70.75,11
71,11
71.25,11
71.5,11
71.75,11
72,11
72.25,11
72.5,11
72.75,11
73,11
73.25,11
73.5,11
73.75,11
74,11
74.25,12
74.5,12
74.75,12
75,12
75.25,12
75.5,13
75.75,13
76,13
76.25,13
76.5,13
76.75,14
77,14
77.25,14
77.5,14
77.75,14
78,14
78.25,14
78.5,14
78.75,14
79,14
79.25,15
79.5,15
79.75,15
80,15
80.25,15
80.5,15
80.75,16
81,17
81.25,17
81.5,17
81.75,17
82,18
82.25,18
82.5,18
82.75,19
83,19
83.25,19
83.5,19
83.75,20
84,22
84.25,22
84.5,22
84.75,22
85,23
85.25,23
85.5,23
85.75,23
86,23
86.25,23
86.5,24
86.75,24
87,25
87.25,26
87.5,26
87.75,26
88,26
88.25,26
88.5,26
88.75,27
89,27
89.25,28
89.5,31
89.75,31
90,31
90.25,31
90.5,31
90.75,31
91,31
91.25,31
91.5,31
91.75,32
92,34
92.25,34
92.5,35
92.75,35
93,35
93.25,35
93.5,35
93.75,35
94,36
94.25,36
94.5,36
94.75,37
