Time,normal_interactions,curtailed_interactions
115.75,659942,447680
116,659941,447679
116.25,659942,447680
116.5,659942,447680
116.75,659941,447679
117,659940,447678
117.25,659939,447678
117.5,659939,447678
117.75,659939,447678
118,659940,447679
118.25,659940,447679
118.5,659940,447679
118.75,659942,447679
119,659941,447679
119.25,659940,447679
119.5,659940,447679
119.75,659941,447679
120,659941,447679
120.25,659942,447680
120.5,659942,447680
120.75,659943,447681
121,659942,447680
121.25,659942,447680
121.5,659943,447680
121.75,659944,447681
122,659944,447681
122.25,659943,447681
122.5,659945,447682
122.75,659943,447681
123,659943,447681
123.25,659943,447681
123.5,659944,447681
123.75,659944,447681
124,659944,447682
124.25,659944,447681
124.5,659944,447681
124.75,659944,447682
125,659944,447682
125.25,659945,447682
125.5,659945,447683
125.75,659945,447683
126,659945,447683
126.25,659947,447683
126.5,659947,447683
126.75,659947,447684
127,659948,447684
127.25,659948,447684
127.5,659948,447684
127.75,659948,447684
128,659948,447684
128.25,659949,447685
128.5,659949,447685
128.75,659949,447685
129,659949,447685
129.25,659948,447685
129.5,659948,447685
129.75,659948,447685
130,659948,447685
130.25,659948,447685
130.5,659949,447685
130.75,659949,447685
131,659949,447685
131.25,659950,447686
131.5,659950,447686
131.75,659950,447686
132,659950,447686
132.25,659951,447687
132.5,659951,447687
132.75,659951,447687
133,659951,447687
133.25,659951,447687
133.5,659951,447687
133.75,659951,447687
134,659951,447687
134.25,659951,447687
134.5,659952,447688
134.75,659951,447687
135,659952,447688
135.25,659951,447687
135.5,659951,447687
135.75,659951,447687
136,659951,447687
136.25,659952,447687
136.5,659952,447687
136.75,659952,447687
137,659952,447687
137.25,659952,447687
137.5,659952,447687
137.75,659952,447687
138,659951,447687
138.25,659951,447687
138.5,659951,447687
138.75,659951,447687
139,659952,447687
139.25,659952,447687
139.5,659952,447687
139.75,659952,447687
140,659952,447687
140.25,659952,447687
140.5,659952,447687
140.75,659952,447687
141,659952,447687
141.25,659952,447687
141.5,659952,447687
141.75,659952,447687
142,659952,447687
142.25,659952,447687
142.5,659952,447687
142.75,659952,447687
143,659952,447687
143.25,659952,447687
143.5,659952,447687
143.75,659952,447687
144,659953,447688
144.25,659953,447688
144.5,659953,447688
144.75,659953,447688
145,659953,447688
145.25,659953,447688
145.5,659953,447688
145.75,659953,447688
146,659953,447688
146.25,659953,447688
146.5,659953,447688
146.75,659953,447688
147,659953,447688
147.25,659953,447688
147.5,659953,447688
147.75,659953,447688
