Day,num_positive,num_tested,num_hospitalised,num_cumulative_hospitalizations,num_critical,num_fatalities
226,0,0,0,350,0,51
227,0,0,0,350,0,51
228,0,0,0,350,0,51
229,0,0,0,350,0,51
230,0,0,0,350,0,51
231,0,0,0,350,0,51
232,0,0,0,350,0,51
233,0,0,0,350,0,51
234,0,0,0,350,0,51
235,0,0,0,350,0,51
236,0,0,0,350,0,51
237,0,0,0,350,0,51
238,0,0,0,350,0,51
239,0,0,0,350,0,51
240,0,0,0,350,0,51
241,0,0,0,350,0,51
242,0,0,0,350,0,51
243,0,0,0,350,0,51
244,0,0,0,350,0,51
245,0,0,0,350,0,51
246,0,0,0,350,0,51
247,0,0,0,350,0,51
248,0,0,0,350,0,51
249,0,0,0,350,0,51
250,0,0,0,350,0,51
251,0,0,0,350,0,51
252,0,0,0,350,0,51
253,0,0,0,350,0,51
254,0,0,0,350,0,51
255,0,0,0,350,0,51
256,0,0,0,350,0,51
257,0,0,0,350,0,51
258,0,0,0,350,0,51
259,0,0,0,350,0,51
260,0,0,0,350,0,51
261,0,0,0,350,0,51
262,0,0,0,350,0,51
263,0,0,0,350,0,51
264,0,0,0,350,0,51
265,0,0,0,350,0,51
266,0,0,0,350,0,51
267,0,0,0,350,0,51
268,0,0,0,350,0,51
269,0,0,0,350,0,51
270,0,0,0,350,0,51
271,0,0,0,350,0,51
272,0,0,0,350,0,51
273,0,0,0,350,0,51
274,0,0,0,350,0,51
275,0,0,0,350,0,51
276,0,0,0,350,0,51
277,0,0,0,350,0,51
278,0,0,0,350,0,51
279,0,0,0,350,0,51
280,0,0,0,350,0,51
281,0,0,0,350,0,51
282,0,0,0,350,0,51
283,0,0,0,350,0,51
284,0,0,0,350,0,51
285,0,0,0,350,0,51
286,0,0,0,350,0,51
287,0,0,0,350,0,51
288,0,0,0,350,0,51
289,0,0,0,350,0,51
290,0,0,0,350,0,51
291,0,0,0,350,0,51
292,0,0,0,350,0,51
293,0,0,0,350,0,51
294,0,0,0,350,0,51
295,0,0,0,350,0,51
296,0,0,0,350,0,51
297,0,0,0,350,0,51
298,0,0,0,350,0,51
299,0,0,0,350,0,51
300,0,0,0,350,0,51
301,0,0,0,350,0,51
302,0,0,0,350,0,51
303,0,0,0,350,0,51
304,0,0,0,350,0,51
305,0,0,0,350,0,51
306,0,0,0,350,0,51
307,0,0,0,350,0,51
308,0,0,0,350,0,51
309,0,0,0,350,0,51
310,0,0,0,350,0,51
311,0,0,0,350,0,51
312,0,0,0,350,0,51
313,0,0,0,350,0,51
314,0,0,0,350,0,51
315,0,0,0,350,0,51
316,0,0,0,350,0,51
317,0,0,0,350,0,51
318,0,0,0,350,0,51
319,0,0,0,350,0,51
320,0,0,0,350,0,51
321,0,0,0,350,0,51
322,0,0,0,350,0,51
323,0,0,0,350,0,51
324,0,0,0,350,0,51
325,0,0,0,350,0,51
326,0,0,0,350,0,51
327,0,0,0,350,0,51
328,0,0,0,350,0,51
329,0,0,0,350,0,51
330,0,0,0,350,0,51
331,0,0,0,350,0,51
332,0,0,0,350,0,51
333,0,0,0,350,0,51
334,0,0,0,350,0,51
335,0,0,0,350,0,51
336,0,0,0,350,0,51
337,0,0,0,350,0,51
338,0,0,0,350,0,51
339,0,0,0,350,0,51
340,0,0,0,350,0,51
341,0,0,0,350,0,51
342,0,0,0,350,0,51
343,0,0,0,350,0,51
344,0,0,0,350,0,51
345,0,0,0,350,0,51
346,0,0,0,350,0,51
347,0,0,0,350,0,51
348,0,0,0,350,0,51
349,0,0,0,350,0,51
350,0,0,0,350,0,51
351,0,0,0,350,0,51
352,0,0,0,350,0,51
353,0,0,0,350,0,51
354,0,0,0,350,0,51
355,0,0,0,350,0,51
356,0,0,0,350,0,51
357,0,0,0,350,0,51
358,0,0,0,350,0,51
359,0,0,0,350,0,51
360,0,0,0,350,0,51
361,0,0,0,350,0,51
362,0,0,0,350,0,51
363,0,0,0,350,0,51
364,0,0,0,350,0,51
365,0,0,0,350,0,51
366,0,0,0,350,0,51
367,0,0,0,350,0,51
368,0,0,0,350,0,51
369,0,0,0,350,0,51
370,0,0,0,350,0,51
371,0,0,0,350,0,51
372,0,0,0,350,0,51
373,0,0,0,350,0,51
374,0,0,0,350,0,51
375,0,0,0,350,0,51
376,0,0,0,350,0,51
377,0,0,0,350,0,51
378,0,0,0,350,0,51
379,0,0,0,350,0,51
380,0,0,0,350,0,51
381,0,0,0,350,0,51
382,0,0,0,350,0,51
383,0,0,0,350,0,51
384,0,0,0,350,0,51
385,0,0,0,350,0,51
386,0,0,0,350,0,51
387,0,0,0,350,0,51
388,0,0,0,350,0,51
389,0,0,0,350,0,51
390,0,0,0,350,0,51
391,0,0,0,350,0,51
392,0,0,0,350,0,51
393,0,0,0,350,0,51
394,0,0,0,350,0,51
395,0,0,0,350,0,51
396,0,0,0,350,0,51
397,0,0,0,350,0,51
398,0,0,0,350,0,51
399,0,0,0,350,0,51
400,0,0,0,350,0,51
401,0,0,0,350,0,51
402,0,0,0,350,0,51
403,0,0,0,350,0,51
404,0,0,0,350,0,51
405,0,0,0,350,0,51
406,0,0,0,350,0,51
407,0,0,0,350,0,51
408,0,0,0,350,0,51
409,0,0,0,350,0,51
410,0,0,0,350,0,51
411,0,0,0,350,0,51
412,0,0,0,350,0,51
413,0,0,0,350,0,51
414,0,0,0,350,0,51
415,0,0,0,350,0,51
416,0,0,0,350,0,51
417,0,0,0,350,0,51
418,0,0,0,350,0,51
419,0,0,0,350,0,51
420,0,0,0,350,0,51
421,0,0,0,350,0,51
422,0,0,0,350,0,51
423,0,0,0,350,0,51
424,0,0,0,350,0,51
425,0,0,0,350,0,51
426,0,0,0,350,0,51
427,0,0,0,350,0,51
428,0,0,0,350,0,51
429,0,0,0,350,0,51
430,0,0,0,350,0,51
431,0,0,0,350,0,51
432,0,0,0,350,0,51
433,0,0,0,350,0,51
434,0,0,0,350,0,51
435,0,0,0,350,0,51
436,0,0,0,350,0,51
437,0,0,0,350,0,51
438,0,0,0,350,0,51
439,0,0,0,350,0,51
440,0,0,0,350,0,51
441,0,0,0,350,0,51
442,0,0,0,350,0,51
443,0,0,0,350,0,51
444,0,0,0,350,0,51
445,0,0,0,350,0,51
446,0,0,0,350,0,51
447,0,0,0,350,0,51
448,0,0,0,350,0,51
449,0,0,0,350,0,51
450,0,0,0,350,0,51
451,0,0,0,350,0,51
452,0,0,0,350,0,51
453,0,0,0,350,0,51
454,0,0,0,350,0,51
455,0,0,0,350,0,51
456,0,0,0,350,0,51
457,0,0,0,350,0,51
458,0,0,0,350,0,51
459,0,0,0,350,0,51
460,0,0,0,350,0,51
461,0,0,0,350,0,51
462,0,0,0,350,0,51
463,0,0,0,350,0,51
464,0,0,0,350,0,51
465,0,0,0,350,0,51
466,0,0,0,350,0,51
467,0,0,0,350,0,51
468,0,0,0,350,0,51
469,0,0,0,350,0,51
470,0,0,0,350,0,51
471,0,0,0,350,0,51
472,0,0,0,350,0,51
473,0,0,0,350,0,51
474,0,0,0,350,0,51
475,0,0,0,350,0,51
476,0,0,0,350,0,51
477,0,0,0,350,0,51
478,0,0,0,350,0,51
479,0,0,0,350,0,51
480,0,0,0,350,0,51
481,0,0,0,350,0,51
482,0,0,0,350,0,51
483,0,0,0,350,0,51
484,0,0,0,350,0,51
485,0,0,0,350,0,51
486,0,0,0,350,0,51
487,0,0,0,350,0,51
488,0,0,0,350,0,51
489,0,0,0,350,0,51
490,0,0,0,350,0,51
491,0,0,0,350,0,51
