Time,infections_by_new_infectives
99.25,2629.84
99.5,2967.85
99.75,2624.37
100,2852.54
100.25,3007.51
100.5,2862.2
100.75,2922.23
101,3048.35
101.25,2839.66
101.5,2598.47
101.75,2985.76
102,3001.54
102.25,2819.53
102.5,3241.31
102.75,3267.77
103,3227.02
103.25,3230.49
103.5,3163.09
103.75,3441.53
104,3614.81
104.25,3643.05
104.5,3454.03
104.75,3762.22
105,3715.76
105.25,3430.91
105.5,3646.42
105.75,3570.55
106,3948.91
106.25,4373.41
106.5,3829.5
106.75,4190.33
107,3857.25
107.25,4377.75
107.5,4556.34
107.75,4097.85
108,4371.52
108.25,4138.02
108.5,4722.51
108.75,4244.68
109,4224.07
109.25,3828.63
109.5,4571.51
109.75,4225.95
110,3953.71
110.25,4005.53
110.5,4690.02
110.75,4547.74
111,4566.22
111.25,4784.37
111.5,5105.43
111.75,4498.12
112,5026.79
112.25,4790.79
112.5,5096.78
112.75,5028.99
113,5465.93
113.25,5512.63
113.5,4964.79
113.75,5241.56
114,4999.97
114.25,5471.94
114.5,5480.76
114.75,5433.56
115,5660.31
115.25,5371.09
115.5,5827.8
115.75,5602.95
116,5728.41
116.25,5721.75
116.5,5121.02
116.75,5446.86
117,5466.58
117.25,5647.12
117.5,5958.84
117.75,6022.82
118,5899.44
118.25,6007.82
118.5,6224.77
118.75,5788.21
119,6523.74
119.25,5711.58
119.5,6441.68
119.75,6452.85
120,5906.27
120.25,6358.09
120.5,6682.06
120.75,6695.43
121,6574.72
121.25,6828.47
121.5,6449.83
121.75,7086.45
122,6569.93
122.25,6805.93
122.5,6753.64
122.75,6566.63
123,6583.06
123.25,6852.17
123.5,7039.03
123.75,6880.05
124,7482.71
124.25,6829.08
124.5,7358.71
124.75,7171.5
125,7692.3
125.25,6934.78
125.5,7747.83
125.75,8425.09
126,7292.03
126.25,7644.79
126.5,7693.96
126.75,7152.96
127,7810.25
127.25,7684.67
127.5,7268.41
127.75,7749.34
128,8208.92
128.25,8322.43
128.5,8017.04
128.75,7968.71
129,8021.1
129.25,7599.89
129.5,8054.06
129.75,8320.31
130,8425.91
130.25,8632.03
130.5,7801.31
130.75,8056.87
131,8435.27
131.25,8233.87
131.5,8648.81
131.75,7763.15
132,8727.63
132.25,8565.25
132.5,7772
132.75,8845.36
133,8971.92
133.25,8713.36
133.5,8476.83
133.75,9488.81
134,9087.41
134.25,8764.76
134.5,9063.55
134.75,8587.33
135,8738.99
135.25,8671.5
135.5,8354.71
135.75,8700.14
136,8568.71
136.25,8592.66
136.5,8762.79
136.75,9095.24
137,8987.17
137.25,8528.73
137.5,8568.03
137.75,9060.49
138,8610.77
138.25,8646.03
138.5,8872.44
138.75,9061.54
139,9183.75
139.25,9025.9
