Time,cumulative_mean_fraction_lambda_W
202.25,0.539833
202.5,0.539809
202.75,0.539784
203,0.539765
203.25,0.539733
203.5,0.539718
203.75,0.539689
204,0.539676
204.25,0.539647
204.5,0.539622
204.75,0.539606
205,0.539585
205.25,0.539559
205.5,0.53955
205.75,0.539526
206,0.539521
206.25,0.539495
206.5,0.539469
206.75,0.539472
207,0.53946
207.25,0.539443
207.5,0.539422
207.75,0.539418
208,0.539416
208.25,0.539398
208.5,0.539373
208.75,0.539369
209,0.539341
209.25,0.539329
209.5,0.539298
209.75,0.539275
210,0.539262
210.25,0.539226
210.5,0.539202
210.75,0.539179
211,0.539159
211.25,0.539136
211.5,0.539139
211.75,0.539104
212,0.539076
212.25,0.539069
212.5,0.539043
212.75,0.53902
213,0.538984
213.25,0.538977
213.5,0.538953
213.75,0.538935
214,0.538932
214.25,0.538936
214.5,0.538923
214.75,0.538916
215,0.538893
215.25,0.538874
215.5,0.53886
215.75,0.538858
216,0.53885
216.25,0.538828
216.5,0.538794
216.75,0.538785
217,0.538771
217.25,0.538749
217.5,0.538734
217.75,0.538712
218,0.538708
218.25,0.538703
218.5,0.538681
218.75,0.538679
219,0.538674
219.25,0.538674
219.5,0.538648
219.75,0.538645
220,0.538631
220.25,0.538616
220.5,0.538595
220.75,0.538573
221,0.538552
221.25,0.538548
221.5,0.538538
221.75,0.538516
222,0.538506
222.25,0.538483
222.5,0.538483
222.75,0.538472
223,0.538468
223.25,0.538451
223.5,0.538438
223.75,0.538418
224,0.538387
224.25,0.538384
224.5,0.538358
224.75,0.538349
225,0.53834
225.25,0.538328
225.5,0.53832
225.75,0.538308
226,0.538294
226.25,0.538279
226.5,0.538263
226.75,0.538244
227,0.538219
227.25,0.538215
227.5,0.538202
227.75,0.538185
228,0.538177
228.25,0.538163
228.5,0.538147
228.75,0.538129
229,0.538124
229.25,0.538117
229.5,0.538108
229.75,0.538087
230,0.538081
230.25,0.538061
230.5,0.538053
230.75,0.538055
231,0.538056
231.25,0.538041
