Time,susceptible_lambda_C
63.5,35.7433
63.75,37.2549
64,39.3614
64.25,38.5519
64.5,40.9226
64.75,42.1583
65,44.0383
65.25,44.85
65.5,44.7863
65.75,47.6456
66,48.2332
66.25,46.4399
66.5,44.9926
66.75,46.2549
67,48.8678
67.25,50.3462
67.5,50.2721
67.75,52.389
68,53.4362
68.25,55.1882
68.5,55.838
68.75,56.8813
69,59.8223
69.25,59.4881
69.5,60.711
69.75,56.6117
70,56.9865
70.25,58.0713
70.5,59.0467
70.75,58.9961
71,57.8264
71.25,58.696
71.5,61.2167
71.75,63.5914
72,64.4885
72.25,62.4186
72.5,64.3695
72.75,64.8757
73,69.7947
73.25,67.9095
73.5,69.137
73.75,70.9801
74,67.7647
74.25,65.2537
74.5,65.1305
74.75,70.6661
75,66.2451
75.25,67.7333
75.5,73.6659
75.75,73.9291
76,76.9483
76.25,79.6425
76.5,81.5493
76.75,84.3907
77,85.8497
77.25,84.7799
77.5,87.2907
77.75,85.606
78,87.4007
78.25,87.4313
78.5,91.4505
78.75,92.605
79,92.3137
79.25,96.3763
79.5,100.368
79.75,102.157
80,106.638
80.25,107.672
80.5,109.518
80.75,113.344
81,115.413
81.25,117.235
81.5,118.896
81.75,122.922
82,120.433
82.25,125.273
82.5,122.643
82.75,126.723
83,123.528
83.25,123.92
83.5,124.835
83.75,134.761
84,133.889
84.25,133.856
84.5,136.564
84.75,140.727
85,142.957
85.25,145.235
85.5,141.69
85.75,148.479
86,146.75
86.25,150.497
86.5,153.581
86.75,157.387
87,159.638
87.25,155.142
87.5,156.834
87.75,157.806
88,159.447
88.25,163.854
88.5,169.469
88.75,168.68
89,168.786
89.25,171.099
89.5,178.313
89.75,177.767
90,180.605
90.25,183.668
90.5,188.544
90.75,188.87
91,191.137
91.25,197.236
91.5,201.227
91.75,200.164
92,198.936
92.25,200.551
92.5,203.183
92.75,203.675
93,204.02
93.25,206.667
93.5,208.224
93.75,210.982
94,214.113
94.25,221.892
94.5,219.978
94.75,226.022
95,230.506
95.25,232.254
95.5,232.176
95.75,235.202
96,237.586
96.25,241.701
96.5,244.104
96.75,247.001
97,252.069
97.25,256.221
97.5,263.109
97.75,271.732
98,275.031
98.25,278.152
98.5,277.727
98.75,280.427
99,280.112
