Time,num_cases
114.25,44698
114.5,45293
114.75,45866
115,46426
115.25,47076
115.5,47691
115.75,48294
116,48939
116.25,49571
116.5,50243
116.75,50904
117,51517
117.25,52127
117.5,52761
117.75,53431
118,54116
118.25,54801
118.5,55475
118.75,56191
119,56905
119.25,57629
119.5,58314
119.75,59084
120,59858
120.25,60555
120.5,61311
120.75,62059
121,62804
121.25,63594
121.5,64402
121.75,65193
122,66042
122.25,66841
122.5,67623
122.75,68482
123,69306
123.25,70083
123.5,70882
123.75,71758
124,72591
124.25,73443
124.5,74312
124.75,75222
125,76098
125.25,76937
125.5,77809
125.75,78678
126,79655
126.25,80643
126.5,81579
126.75,82517
127,83428
127.25,84385
127.5,85427
127.75,86329
128,87245
128.25,88214
128.5,89248
128.75,90271
129,91297
129.25,92332
129.5,93349
129.75,94384
130,95424
130.25,96502
130.5,97580
130.75,98635
131,99750
131.25,100831
131.5,101894
131.75,103030
132,104171
132.25,105308
132.5,106471
132.75,107563
133,108683
133.25,109836
133.5,111016
133.75,112183
134,113385
134.25,114559
134.5,115746
134.75,116928
135,118099
135.25,119301
135.5,120503
135.75,121673
136,122864
136.25,124142
136.5,125354
136.75,126553
137,127800
137.25,129087
137.5,130381
137.75,131623
138,132886
138.25,134191
138.5,135468
138.75,136729
139,138063
139.25,139370
139.5,140750
139.75,142143
140,143444
140.25,144791
140.5,146166
140.75,147499
141,148842
141.25,150138
141.5,151448
141.75,152773
142,154136
142.25,155468
142.5,156837
142.75,158209
143,159529
143.25,160932
143.5,162291
143.75,163653
144,165103
144.25,166523
144.5,167965
144.75,169384
145,170776
145.25,172142
145.5,173532
145.75,174888
146,176297
146.25,177735
146.5,179114
146.75,180480
147,181866
147.25,183301
147.5,184717
147.75,186116
148,187519
148.25,188901
148.5,190344
148.75,191806
149,193193
149.25,194597
149.5,195980
149.75,197386
150,198759
150.25,200154
150.5,201562
150.75,202961
151,204396
151.25,205769
151.5,207184
151.75,208610
152,210026
152.25,211383
152.5,212753
152.75,214170
153,215508
153.25,216923
153.5,218304
153.75,219722
154,221144
154.25,222537
154.5,223867
154.75,225185
155,226518
155.25,227905
155.5,229210
155.75,230516
156,231897
156.25,233206
156.5,234582
156.75,235906
157,237257
157.25,238498
157.5,239800
157.75,241116
158,242328
158.25,243654
158.5,244923
158.75,246219
159,247542
159.25,248832
159.5,250143
159.75,251416
160,252638
160.25,253923
160.5,255180
160.75,256412
161,257706
161.25,258940
161.5,260160
161.75,261373
162,262581
162.25,263880
162.5,265115
162.75,266301
163,267511
163.25,268594
163.5,269806
163.75,271060
164,272253
164.25,273424
164.5,274550
164.75,275714
165,276876
165.25,278049
165.5,279190
165.75,280336
166,281450
166.25,282580
166.5,283681
166.75,284770
167,285825
167.25,286901
167.5,288009
167.75,289068
168,290104
168.25,291232
168.5,292248
168.75,293302
169,294331
169.25,295315
169.5,296374
169.75,297326
170,298371
170.25,299327
170.5,300350
170.75,301298
171,302222
171.25,303186
171.5,304145
171.75,305068
172,306001
172.25,306937
172.5,307815
172.75,308671
173,309577
173.25,310519
173.5,311382
173.75,312316
174,313161
174.25,313992
174.5,314832
174.75,315663
175,316473
175.25,317286
175.5,318116
175.75,318881
176,319658
176.25,320452
176.5,321198
176.75,321901
177,322663
177.25,323402
177.5,324114
177.75,324867
178,325598
178.25,326368
178.5,327077
178.75,327809
179,328528
179.25,329201
179.5,329893
179.75,330578
180,331270
180.25,331905
180.5,332521
180.75,333140
181,333724
181.25,334371
181.5,335001
181.75,335621
182,336187
182.25,336803
182.5,337404
182.75,338004
183,338589
183.25,339199
183.5,339792
183.75,340334
184,340903
184.25,341435
184.5,341952
184.75,342483
185,342989
185.25,343499
185.5,344027
185.75,344524
186,345048
186.25,345546
186.5,346019
186.75,346550
187,347027
187.25,347465
187.5,347960
187.75,348376
188,348824
188.25,349293
188.5,349772
188.75,350197
189,350647
189.25,351070
189.5,351484
189.75,351880
190,352319
190.25,352714
190.5,353140
190.75,353525
191,353930
191.25,354292
191.5,354645
191.75,355007
192,355375
192.25,355764
192.5,356134
192.75,356533
193,356900
193.25,357270
193.5,357624
193.75,357968
194,358298
194.25,358651
194.5,359018
194.75,359363
195,359709
195.25,360028
195.5,360351
195.75,360705
196,361015
196.25,361328
196.5,361631
196.75,361926
197,362196
197.25,362496
197.5,362782
197.75,363074
198,363352
198.25,363644
198.5,363934
198.75,364196
199,364474
199.25,364729
199.5,364971
199.75,365237
200,365480
200.25,365735
200.5,365946
200.75,366185
201,366420
201.25,366656
201.5,366890
201.75,367112
202,367355
202.25,367559
202.5,367777
202.75,367985
203,368196
203.25,368404
203.5,368617
203.75,368821
204,369010
204.25,369245
204.5,369455
204.75,369625
205,369813
205.25,369998
205.5,370188
205.75,370386
206,370571
206.25,370739
206.5,370911
206.75,371091
207,371254
207.25,371414
207.5,371566
207.75,371766
208,371935
208.25,372109
208.5,372267
208.75,372427
209,372592
209.25,372742
209.5,372907
209.75,373048
210,373196
210.25,373340
210.5,373477
210.75,373615
211,373760
211.25,373885
211.5,374022
211.75,374162
212,374301
212.25,374465
212.5,374598
212.75,374728
213,374862
213.25,374982
213.5,375090
213.75,375226
214,375341
214.25,375457
